%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1536692144733683000,7903,1536692144732944248,NED,-3.92999982834,0.797830879688
1536692144747360408,7904,1536692144746870200,NED,-4.2999997139,0.797830879688
1536692144786440792,7905,1536692144785331352,NED,-4.2999997139,0.797830879688
1536692144836514104,7906,1536692144835764440,NED,-4.63999986649,0.183815330267
1536692144898461464,7907,1536692144897928696,NED,-4.61999988556,0.183815330267
1536692144962933016,7908,1536692144962164152,NED,-6.98000001907,0.183815330267
1536692145030120216,7909,1536692145029268856,NED,-6.94000005722,0.183815330267
1536692145045709336,7910,1536692145044014008,NED,-9.25,0.183815330267
1536692145093571448,7911,1536692145092808856,NED,-9.19999980927,0.183815330267
1536692145147942616,7912,1536692145146379608,NED,-11.3599996567,0.183815330267
1536692145201438552,7913,1536692145199716440,NED,-11.3199996948,0.183815330267
1536692145283004152,7914,1536692145282459640,NED,-13.3699998856,0.183815330267
1536692145356440568,7915,1536692145354035320,NED,-15.3099994659,-1.26719081402
1536692145409989848,7916,1536692145407054136,NED,-15.2999992371,-1.26719081402
1536692145462930840,7917,1536692145462453848,NED,-17.0200004578,-1.26719081402
1536692145486004472,7918,1536692145484486808,NED,-17.0100002289,-1.26719081402
1536692145557519800,7919,1536692145556207288,NED,-18.5100002289,-1.26719081402
1536692145605902872,7920,1536692145604641496,NED,-18.5,-1.26719081402
1536692145664577240,7921,1536692145664247320,NED,-19.8099994659,-1.26719081402
1536692145686522744,7922,1536692145686204984,NED,-19.7999992371,-1.26719081402
1536692145778713176,7923,1536692145778245080,NED,-20.9300003052,-5.64133548737
1536692145860493560,7924,1536692145859616792,NED,-20.6899986267,-5.64133548737
1536692145878507480,7925,1536692145876750104,NED,-20.6299991608,-5.64133548737
1536692145948928344,7926,1536692145948560216,NED,-20.4399986267,-5.64133548737
1536692145994830296,7927,1536692145993986296,NED,-20.359998703,-5.64133548737
1536692146055957176,7928,1536692146055190552,NED,-20.3500003815,-5.64133548737
1536692146079416728,7929,1536692146078742712,NED,-20.3699989319,-10.8105831146
1536692146161943032,7930,1536692146161242424,NED,-20.4599990845,-10.8105831146
1536692146247821144,7931,1536692146247470040,NED,-20.5799999237,-10.8105831146
1536692146326330808,7932,1536692146320815128,NED,-20.5900001526,-10.8105831146
1536692146365284472,7933,1536692146364851768,NED,-20.5799999237,-10.8105831146
1536692146397943480,7934,1536692146397441272,NED,-20.5799999237,-10.8105831146
1536692146425083896,7935,1536692146424692312,NED,-20.5699996948,-10.8105831146
1536692146461803064,7936,1536692146461494072,NED,-20.609998703,-14.9408359528
1536692146503763960,7937,1536692146502776120,NED,-20.6599998474,-14.9408359528
1536692146596255544,7938,1536692146594977592,NED,-20.859998703,-14.9408359528
1536692146618338840,7939,1536692146617933496,NED,-20.9300003052,-14.9408359528
1536692146687902872,7940,1536692146687043544,NED,-21.2799987793,-14.9408359528
1536692146697681912,7941,1536692146697216536,NED,-21.3699989319,-14.9408359528
1536692146782935000,7942,1536692146782494104,NED,-21.6499996185,-17.0812397003
1536692146824644216,7943,1536692146824204024,NED,-21.75,-17.0812397003
1536692146881724632,7944,1536692146880007416,NED,-21.8899993896,-17.0812397003
1536692146913579192,7945,1536692146912929880,NED,-21.9599990845,-17.0812397003
1536692146964525080,7946,1536692146962047160,NED,-22.1499996185,-17.0812397003
1536692147028333848,7947,1536692147026674648,NED,-22.2999992371,-17.0812397003
1536692147063012824,7948,1536692147062539416,NED,-22.3899993896,-17.0812397003
1536692147130562584,7949,1536692147129535800,NED,-22.5199985504,-17.0812397003
1536692147188709080,7950,1536692147188406392,NED,-22.6700000763,-17.0812397003
1536692147217979800,7951,1536692147216900536,NED,-22.7099990845,-20.2002239227
1536692147277518040,7952,1536692147275942328,NED,-22.8699989319,-20.2002239227
1536692147349117912,7953,1536692147348514040,NED,-22.9899997711,-20.2002239227
1536692147397011864,7954,1536692147396665368,NED,-23.0799999237,-20.2002239227
1536692147418085400,7955,1536692147417015000,NED,-23.1199989319,-20.2002239227
1536692147465885656,7956,1536692147465441976,NED,-23.2799987793,-20.2002239227
1536692147499474936,7957,1536692147498901848,NED,-23.3999996185,-20.2002239227
1536692147568184856,7958,1536692147564512280,NED,-23.5599994659,-21.6839237213
1536692147602340088,7959,1536692147601728920,NED,-23.6599998474,-21.6839237213
1536692147671010808,7960,1536692147669087384,NED,-23.7999992371,-21.6839237213
1536692147726326744,7961,1536692147725737656,NED,-23.9099998474,-21.6839237213
1536692147764376952,7962,1536692147760276792,NED,-23.9899997711,-21.6839237213
1536692147856446808,7963,1536692147856163800,NED,-24.1000003815,-21.6839237213
1536692147881889368,7964,1536692147881343928,NED,-24.1199989319,-21.6839237213
1536692147926231320,7965,1536692147925715064,NED,-24.1700000763,-21.6839237213
1536692147982829784,7966,1536692147982300184,NED,-24.1999988556,-23.4066066742
1536692148002438488,7967,1536692148001843096,NED,-24.2399997711,-23.4066066742
1536692148058181048,7968,1536692148057587736,NED,-24.3199996948,-23.4066066742
1536692148144705496,7969,1536692148144221432,NED,-24.4200000763,-23.4066066742
1536692148208416952,7970,1536692148204169432,NED,-24.4499988556,-23.4066066742
1536692148224022712,7971,1536692148223562712,NED,-24.4899997711,-23.4066066742
1536692148264931832,7972,1536692148263282008,NED,-23.4899997711,-23.4066066742
1536692148307891672,7973,1536692148307124024,NED,-23.4899997711,-23.4066066742
1536692148389707576,7974,1536692148388490264,NED,-21.109998703,-23.733215332
1536692148416229304,7975,1536692148415232632,NED,-21.109998703,-23.733215332
1536692148466014104,7976,1536692148465205528,NED,-18.75,-23.733215332
1536692148506102904,7977,1536692148503168792,NED,-18.75,-23.733215332
1536692148560948888,7978,1536692148560353816,NED,-16.4099998474,-23.733215332
1536692148611098904,7979,1536692148608549560,NED,-16.4099998474,-23.733215332
1536692148685710072,7980,1536692148680030744,NED,-14.0999994278,-23.733215332
1536692148732195096,7981,1536692148728991256,NED,-14.1099996567,-23.330450058
1536692148816091256,7982,1536692148815516312,NED,-11.6999998093,-23.330450058
1536692148880877624,7983,1536692148880478712,NED,-9.28999996185,-23.330450058
1536692148927386360,7984,1536692148926836824,NED,-9.28999996185,-23.330450058
1536692148966542840,7985,1536692148960300536,NED,-6.8799996376,-23.330450058
1536692149016742392,7986,1536692149015904344,NED,-6.8799996376,-23.330450058
1536692149080131704,7987,1536692149075671000,NED,-4.61000013351,-23.330450058
1536692149115252056,7988,1536692149110090136,NED,-4.61000013351,-20.3636169434
1536692149159676120,7989,1536692149158536408,NED,-2.53999996185,-20.3636169434
1536692149199317816,7990,1536692149195199064,NED,-2.53999996185,-20.3636169434
1536692149308859480,7991,1536692149308347736,NED,-0.75,-20.3636169434
1536692149341943448,7992,1536692149340194808,NED,0.839999973774,-20.3636169434
1536692149414417176,7993,1536692149412299224,NED,0.839999973774,-20.3636169434
