%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1536692144733721848,7903,1536692144732945336,NED,104.0,-70.1561889648
1536692144747371832,7904,1536692144746871352,NED,104.0,-70.1561889648
1536692144786465720,7905,1536692144785332184,NED,104.0,-70.1561889648
1536692144836527032,7906,1536692144835765400,NED,104.0,-71.0142974854
1536692144898478872,7907,1536692144897930424,NED,104.0,-71.0142974854
1536692144962958520,7908,1536692144962165048,NED,-44.0,-71.0142974854
1536692145030136120,7909,1536692145029269912,NED,-44.0,-71.0142974854
1536692145045729176,7910,1536692145044014968,NED,-44.0,-71.0142974854
1536692145093849144,7911,1536692145092810392,NED,-44.0,-71.0142974854
1536692145147952792,7912,1536692145146380568,NED,-44.0,-71.0142974854
1536692145202440728,7913,1536692145199717496,NED,-44.0,-71.0142974854
1536692145283036696,7914,1536692145282460920,NED,-44.0,-71.0142974854
1536692145356581688,7915,1536692145354036344,NED,-44.0,-71.1456604004
1536692145410025464,7916,1536692145407055896,NED,-44.0,-71.1456604004
1536692145463223096,7917,1536692145462455128,NED,-44.0,-71.1456604004
1536692145486153976,7918,1536692145484488376,NED,-44.0,-71.1456604004
1536692145557544056,7919,1536692145556208280,NED,-44.0,-71.1456604004
1536692145605943736,7920,1536692145604642488,NED,-44.0,-71.1456604004
1536692145664655832,7921,1536692145664248568,NED,-44.0,-71.1456604004
1536692145686602296,7922,1536692145686206264,NED,-44.0,-71.1456604004
1536692145779363384,7923,1536692145778246008,NED,-44.0,-68.4891891479
1536692145861055576,7924,1536692145859618072,NED,-44.0,-68.4891891479
1536692145878524696,7925,1536692145876751384,NED,-44.0,-68.4891891479
1536692145948941560,7926,1536692145948561112,NED,-44.0,-68.4891891479
1536692145994925272,7927,1536692145993987192,NED,-44.0,-68.4891891479
1536692146055979608,7928,1536692146055191608,NED,-44.0,-68.4891891479
1536692146079430680,7929,1536692146078743992,NED,-44.0,-65.1971893311
1536692146161953944,7930,1536692146161243448,NED,-44.0,-65.1971893311
1536692146247834104,7931,1536692146247471096,NED,-44.0,-65.1971893311
1536692146326670968,7932,1536692146320816952,NED,-44.0,-65.1971893311
1536692146365295384,7933,1536692146364852760,NED,-44.0,-65.1971893311
1536692146397955288,7934,1536692146397442392,NED,-44.0,-65.1971893311
1536692146425094488,7935,1536692146424693208,NED,-44.0,-65.1971893311
1536692146461817432,7936,1536692146461495000,NED,-44.0,-61.70885849
1536692146503781208,7937,1536692146502777304,NED,-44.0,-61.70885849
1536692146596269752,7938,1536692146594978520,NED,-44.0,-61.70885849
1536692146618376504,7939,1536692146617934520,NED,-44.0,-61.70885849
1536692146687929464,7940,1536692146687044952,NED,-44.0,-61.70885849
1536692146697696184,7941,1536692146697217528,NED,-44.0,-61.70885849
1536692146782973528,7942,1536692146782495000,NED,-44.0,-59.1612205505
1536692146824656408,7943,1536692146824205016,NED,-44.0,-59.1612205505
1536692146881930072,7944,1536692146880008888,NED,-44.0,-59.1612205505
1536692146913635768,7945,1536692146912931480,NED,-44.0,-59.1612205505
1536692146964543832,7946,1536692146962048152,NED,-44.0,-59.1612205505
