%time,field.header.seq,field.header.stamp,field.header.frame_id,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1536692144965974904,2934,1536692144965814104,,1500,1580,1428,1548,1596,1596,1500,1926
1536692145325294328,2935,1536692145325035352,,1500,1590,1348,1521,1544,1544,1500,1926
1536692145633121912,2936,1536692145629442584,,1500,1594,1276,1512,1524,1524,1500,1926
1536692145954752664,2937,1536692145954403576,,1500,1584,1220,1500,1500,1500,1500,1926
1536692146368327896,2938,1536692146368091000,,1500,1569,1172,1489,1478,1478,1500,1926
1536692146598901048,2939,1536692146598705048,,1500,1566,1148,1484,1468,1468,1500,1926
1536692146928674200,2940,1536692146928336216,,1500,1565,1124,1486,1471,1471,1500,1926
1536692147326608792,2941,1536692147326336984,,1500,1565,1108,1483,1465,1465,1500,1926
1536692147584245432,2942,1536692147584034648,,1500,1565,1108,1483,1466,1466,1500,1926
1536692147861025816,2943,1536692147860887768,,1500,1564,1100,1486,1471,1471,1500,1926
1536692148208724312,2944,1536692148207491256,,1500,1565,1108,1485,1470,1470,1500,1926
1536692148514876152,2945,1536692148514658968,,1500,1548,1188,1490,1480,1480,1500,1926
1536692148821921624,2946,1536692148821409080,,1500,1526,1292,1494,1488,1488,1500,1926
1536692149165855768,2947,1536692149165544728,,1500,1513,1396,1495,1489,1489,1500,1926
1536692149496452120,2948,1536692149496192184,,1500,1508,1500,1496,1492,1492,1500,1926
1536692149922878040,2949,1536692149922536632,,1500,1517,1548,1508,1516,1516,1500,1926
1536692150203482552,2950,1536692150203065880,,1500,1525,1580,1511,1522,1522,1500,1926
1536692150501729272,2951,1536692150501559960,,1500,1534,1588,1511,1523,1523,1500,1926
1536692150936507800,2952,1536692150936172472,,1500,1548,1580,1511,1522,1522,1500,1926
1536692151200702872,2953,1536692151200425656,,1500,1557,1564,1509,1518,1518,1500,1926
1536692151486918808,2954,1536692151486001880,,1500,1567,1540,1509,1518,1518,1500,1926
1536692151878070072,2955,1536692151877510744,,1500,1575,1508,1505,1510,1510,1500,1926
1536692152205475288,2956,1536692152205015256,,1500,1577,1484,1509,1518,1518,1500,1926
1536692152539129048,2957,1536692152535725944,,1500,1575,1476,1504,1509,1509,1500,1926
1536692152941264120,2958,1536692152940866968,,1500,1568,1468,1511,1523,1523,1500,1926
1536692153324389624,2959,1536692153324125848,,1500,1559,1476,1515,1531,1531,1500,1926
1536692153620586200,2960,1536692153619895864,,1500,1551,1492,1512,1524,1524,1500,1926
1536692153918545208,2961,1536692153916716632,,1500,1540,1500,1511,1523,1523,1500,1926
1536692154323936504,2962,1536692154323775288,,1500,1526,1532,1527,1555,1555,1500,1926
1536692154643971320,2963,1536692154643769944,,1500,1513,1556,1517,1536,1536,1500,1926
1536692155056250008,2964,1536692155055684568,,1500,1500,1596,1510,1520,1520,1500,1926
1536692155390446680,2965,1536692155388705336,,1500,1492,1636,1506,1512,1512,1500,1926
1536692155783872536,2966,1536692155783617272,,1500,1487,1676,1499,1498,1498,1500,1926
1536692156181792408,2967,1536692156181590424,,1500,1487,1700,1497,1494,1494,1500,1926
1536692156642022232,2968,1536692156641808504,,1500,1491,1692,1500,1499,1499,1500,1926
1536692157008430168,2969,1536692157002151000,,1500,1499,1684,1501,1503,1503,1500,1926
1536692157276465464,2970,1536692157275954936,,1500,1506,1676,1501,1502,1502,1500,1926
1536692157587068280,2971,1536692157586604728,,1500,1510,1660,1500,1499,1499,1500,1926
1536692157836589656,2972,1536692157835590904,,1500,1512,1652,1498,1495,1495,1500,1926
1536692158241463160,2973,1536692158241243000,,1500,1519,1636,1495,1490,1490,1500,1926
1536692158528334872,2974,1536692158528150008,,1500,1525,1612,1499,1498,1498,1500,1926
1536692158876832152,2975,1536692158876372824,,1500,1527,1572,1501,1502,1502,1500,1926
1536692159296089528,2976,1536692159295622104,,1500,1527,1564,1496,1491,1491,1500,1926
1536692159637783064,2977,1536692159635950392,,1500,1525,1548,1488,1475,1475,1500,1926
1536692159957611128,2978,1536692159957354168,,1500,1526,1532,1480,1459,1459,1500,1926
1536692160247904824,2979,1536692160247496824,,1500,1529,1508,1470,1439,1439,1500,1926
1536692160536568376,2980,1536692160536303672,,1500,1538,1484,1461,1421,1421,1500,1926
