%time,field.header.seq,field.header.stamp,field.header.frame_id,field.connected,field.armed,field.guided,field.mode,field.system_status
1536692144753870200,937,1536692144753307800,,1,1,1,GUIDED,4
1536692145814424952,938,1536692145814144152,,1,1,1,GUIDED,4
1536692146743961304,939,1536692146743383384,,1,1,1,GUIDED,4
1536692147737019448,940,1536692147734693336,,1,1,1,GUIDED,4
1536692148777547192,941,1536692148776692792,,1,1,1,GUIDED,4
1536692149773434680,942,1536692149772029752,,1,1,1,GUIDED,4
1536692150728967608,943,1536692150728348728,,1,1,1,GUIDED,4
1536692151749996152,944,1536692151747319896,,1,1,1,GUIDED,4
1536692152743956440,945,1536692152743562840,,1,1,1,GUIDED,4
1536692153777644920,946,1536692153777218520,,1,1,1,GUIDED,4
1536692154746472888,947,1536692154745175928,,1,1,1,GUIDED,4
1536692155728012568,948,1536692155727711736,,1,1,1,GUIDED,4
1536692156730359064,949,1536692156730089304,,1,1,1,GUIDED,4
1536692157730388248,950,1536692157729978456,,1,1,1,GUIDED,4
1536692158746624632,951,1536692158746260024,,1,1,1,GUIDED,4
1536692159749429400,952,1536692159748929176,,1,1,1,GUIDED,4
1536692160748597912,953,1536692160748089240,,1,1,1,GUIDED,4
1536692161759605976,954,1536692161759138328,,1,1,1,GUIDED,4
1536692162753360248,955,1536692162752803512,,1,1,1,GUIDED,4
1536692163744243384,956,1536692163743681912,,1,1,1,GUIDED,4
1536692164803129400,957,1536692164802472472,,1,1,1,GUIDED,4
1536692165717369496,958,1536692165716902712,,1,1,1,GUIDED,4
1536692166749691576,959,1536692166749068376,,1,1,1,GUIDED,4
1536692167752940728,960,1536692167752075160,,1,1,1,GUIDED,4
1536692168735824696,961,1536692168735611832,,1,1,1,GUIDED,4
1536692169747363352,962,1536692169745898424,,1,1,1,GUIDED,4
1536692170734073560,963,1536692170733668248,,1,1,1,GUIDED,4
1536692171742947736,964,1536692171742635992,,1,1,1,GUIDED,4
1536692172735039672,965,1536692172734757528,,1,1,1,GUIDED,4
1536692173715779224,966,1536692173715495384,,1,1,1,GUIDED,4
1536692174754801592,967,1536692174754510264,,1,1,1,GUIDED,4
1536692175782420536,968,1536692175781279896,,1,1,1,GUIDED,4
1536692176780335096,969,1536692176780087544,,1,1,1,GUIDED,4
1536692177735444504,970,1536692177735078584,,1,1,1,GUIDED,4
1536692178711515832,971,1536692178711283032,,1,1,1,GUIDED,4
1536692179720026808,972,1536692179717503320,,1,1,1,GUIDED,4
1536692180793570200,973,1536692180792745304,,1,1,1,GUIDED,4
1536692181748088248,974,1536692181747845304,,1,1,1,GUIDED,4
1536692182720534072,975,1536692182720158584,,1,1,1,GUIDED,4
1536692183754875064,976,1536692183754427320,,1,1,1,GUIDED,4
1536692184746450136,977,1536692184745537528,,1,1,1,GUIDED,4
1536692185735070296,978,1536692185734513560,,1,1,1,GUIDED,4
1536692186745151480,979,1536692186744788952,,1,1,1,GUIDED,4
1536692187725760600,980,1536692187725229912,,1,1,1,GUIDED,4
1536692188778643192,981,1536692188778219224,,1,1,1,GUIDED,4
1536692189748861592,982,1536692189747409048,,1,1,1,GUIDED,4
1536692190753252056,983,1536692190752875416,,1,1,1,GUIDED,4
1536692191758704056,984,1536692191756617144,,1,1,1,GUIDED,4
1536692192739068856,985,1536692192738467128,,1,1,1,GUIDED,4
1536692193764475512,986,1536692193764120920,,1,1,1,GUIDED,4
1536692194765879160,987,1536692194764545208,,1,1,1,GUIDED,4
1536692195736972664,988,1536692195736515128,,1,1,1,GUIDED,4
1536692196759934136,989,1536692196759355000,,1,1,1,GUIDED,4
1536692197753992216,990,1536692197753760824,,1,1,1,GUIDED,4
1536692198744148024,991,1536692198743816312,,1,1,1,GUIDED,4
1536692199771752376,992,1536692199771435544,,1,1,1,GUIDED,4
1536692200746707288,993,1536692200740926648,,1,1,1,GUIDED,4
1536692201730264760,994,1536692201728119256,,1,1,1,GUIDED,4
1536692202723833400,995,1536692202722627384,,1,1,1,GUIDED,4
1536692203731287352,996,1536692203730929496,,1,1,1,GUIDED,4
1536692204811452600,997,1536692204811192248,,1,1,1,GUIDED,4
1536692205734786584,998,1536692205734180216,,1,1,1,GUIDED,4
1536692206735407544,999,1536692206735097560,,1,1,1,GUIDED,4
1536692207758294872,1000,1536692207757904248,,1,1,1,GUIDED,4
1536692208713455384,1001,1536692208713028984,,1,1,1,GUIDED,4
1536692209752972536,1002,1536692209752596472,,1,1,1,GUIDED,4
1536692210745814232,1003,1536692210744259480,,1,1,1,GUIDED,4
1536692211746666680,1004,1536692211746296216,,1,1,1,GUIDED,4
