%time,field.header.seq,field.header.stamp,field.header.frame_id,field.airspeed,field.groundspeed,field.heading,field.throttle,field.altitude,field.climb
1536692144813606648,2533,1536692144813257432,,0.0,21.2753868103,288,0.419999986887,410.979980469,2.02833414078
1536692145288424728,2534,1536692145286961784,,0.0,20.5326251984,288,0.310000002384,411.619995117,5.47273778915
1536692145689541272,2535,1536692145689206552,,0.0,19.9398479462,291,0.189999997616,411.729980469,2.83441114426
1536692146059403576,2536,1536692146059144952,,0.0,19.4139690399,294,0.129999995232,411.119995117,-0.804450452328
1536692146439877208,2537,1536692146439531032,,0.0,19.0551776886,298,0.070000000298,409.899993896,-2.4009847641
1536692146734559992,2538,1536692146734205816,,0.0,18.9337177277,300,0.0500000007451,408.679992676,-3.47741127014
1536692147192983416,2539,1536692147191373592,,0.0,18.9135837555,305,0.019999999553,406.449981689,-7.03779459
1536692147535980408,2540,1536692147535615704,,0.0,19.1045036316,308,0.00999999977648,404.369995117,-5.50444030762
1536692147965198072,2541,1536692147964791256,,0.0,19.3266067505,312,0.0,401.910003662,-7.23588085175
1536692148342744952,2542,1536692148342333976,,0.0,19.6024570465,313,0.070000000298,399.16998291,-8.00468730927
1536692148691181016,2543,1536692148690264696,,0.0,19.8288593292,314,0.20000000298,396.690002441,-7.97824001312
1536692149080801208,2544,1536692149079267736,,0.0,20.1338386536,315,0.370000004768,393.639984131,-8.25872707367
1536692149417858328,2545,1536692149417015256,,0.0,20.9997215271,315,0.469999998808,391.489990234,-8.41648864746
1536692149799486552,2546,1536692149798914968,,0.0,21.7623844147,315,0.550000011921,389.789978027,-8.7417640686
1536692150260831352,2547,1536692150260412920,,0.0,22.0400485992,314,0.600000023842,388.869995117,-3.67747402191
1536692150686066296,2548,1536692150682523672,,0.0,21.7979831696,313,0.610000014305,389.029998779,-2.14499568939
1536692151089218840,2549,1536692151088877880,,0.0,21.2364177704,313,0.579999983311,389.979980469,2.13771986961
1536692151472774072,2550,1536692151463896056,,0.0,20.5253543854,312,0.550000011921,391.16998291,4.71188783646
1536692151902397304,2551,1536692151900838616,,0.0,19.7296218872,313,0.509999990463,392.75,5.33001565933
1536692152340894808,2552,1536692152339824440,,0.0,19.1408500671,314,0.479999989271,394.100006104,4.72866439819
1536692152666623416,2553,1536692152665988056,,0.0,18.7737751007,315,0.460000008345,394.789978027,4.01249599457
1536692153146824824,2554,1536692153146287384,,0.0,18.3272647858,315,0.469999998808,395.119995117,1.09588313103
1536692153540196888,2555,1536692153539873080,,0.0,18.1063251495,317,0.490000009537,395.059997559,0.385888814926
1536692153945319768,2556,1536692153944942712,,0.0,18.035943985,320,0.509999990463,394.799987793,-1.59230542183
1536692154403583352,2557,1536692154403142648,,0.0,18.1471939087,326,0.550000011921,394.259979248,-2.47826457024
1536692154788659384,2558,1536692154788333176,,0.0,18.4269123077,332,0.600000023842,393.589996338,-1.60890924931
1536692155216760120,2559,1536692155216048824,,0.0,19.0175247192,341,0.649999976158,392.759979248,-2.78710436821
1536692155723698744,2560,1536692155722920024,,0.0,19.88788414,354,0.709999978542,391.949981689,-2.52283930779
1536692156268540792,2561,1536692156268118968,,0.0,21.0197944641,9,0.75,391.479980469,-1.07289195061
1536692156726264888,2562,1536692156726035544,,0.0,21.7816123962,21,0.740000009537,391.429992676,0.0927162244916
1536692157177765528,2563,1536692157177292568,,0.0,22.2194690704,33,0.72000002861,391.75,0.494505167007
1536692157554994520,2564,1536692157554681880,,0.0,22.3359928131,43,0.699999988079,392.380004883,1.61684274673
1536692157885498840,2565,1536692157885177112,,0.0,22.3697929382,52,0.689999997616,393.179992676,4.44344425201
1536692158352403576,2566,1536692158352115768,,0.0,22.3611831665,63,0.649999976158,394.309997559,3.15421104431
1536692158739037496,2567,1536692158738789272,,0.0,22.2956256866,71,0.610000014305,395.179992676,3.8959646225
1536692159039151256,2568,1536692159038924152,,0.0,22.1501998901,78,0.589999973774,395.66998291,4.62004995346
1536692159483154776,2569,1536692159482679064,,0.0,21.9449653625,87,0.560000002384,396.220001221,1.59035086632
1536692159934661464,2570,1536692159934294744,,0.0,21.7470207214,97,0.540000021458,396.519989014,0.25716984272
1536692160271120024,2571,1536692160270870168,,0.0,21.5966491699,104,0.5,396.579986572,0.140731021762
1536692160738512472,2572,1536692160737893176,,0.0,21.2943229675,110,0.460000008345,396.779998779,-0.162476301193
1536692161099028600,2573,1536692161098447928,,0.0,20.9286899567,113,0.419999986887,397.100006104,1.89147007465
1536692161567041688,2574,1536692161566749848,,0.0,20.4120159149,115,0.379999995232,397.649993896,-0.145061284304
1536692162086168440,2575,1536692162085718360,,0.0,19.9097537994,113,0.370000004768,397.989990234,0.686553776264
1536692162458236120,2576,1536692162457843800,,0.0,19.6658496857,110,0.370000004768,398.109985352,-0.0432344973087
1536692162914700216,2577,1536692162914274040,,0.0,19.4740371704,105,0.379999995232,397.850006104,-0.0911072045565
1536692163285231576,2578,1536692163284842680,,0.0,19.415189743,102,0.40000000596,397.279998779,-1.57124638557
1536692163655920632,2579,1536692163655528024,,0.0,19.4378471375,98,0.430000007153,396.609985352,-1.97619903088
1536692164116149816,2580,1536692164115697912,,0.0,19.5558567047,93,0.449999988079,395.789978027,-3.5408847332
1536692164593088920,2581,1536692164592736728,,0.0,19.6731777191,89,0.469999998808,395.009979248,-2.95606422424
1536692164986529816,2582,1536692164986126040,,0.0,19.6864814758,87,0.490000009537,394.5,-2.07552742958
1536692165485586552,2583,1536692165484007896,,0.0,19.553981781,86,0.490000009537,394.160003662,-1.32543325424
1536692165930387256,2584,1536692165928875576,,0.0,19.3462429047,85,0.490000009537,394.069976807,-0.895354092121
1536692166444691288,2585,1536692166444239032,,0.0,19.125377655,86,0.490000009537,394.079986572,0.848640263081
1536692166799114648,2586,1536692166798824760,,0.0,18.9794864655,87,0.490000009537,394.130004883,-0.907551288605
1536692167145696536,2587,1536692167145168312,,0.0,18.8263225555,87,0.490000009537,394.16998291,0.0529600903392
1536692167610955960,2588,1536692167610425304,,0.0,18.6955451965,88,0.490000009537,394.16998291,0.437488257885
