%time,field.data
1536693128654835256,1
1536693129164326136,1
1536693129655692952,1
1536693130163727992,1
1536693130656109336,1
1536693131191250808,1
1536693131650113176,1
1536693132177824152,1
1536693132651572568,1
1536693133161177272,1
1536693133656146616,1
1536693134160656760,1
1536693134665115832,1
1536693135160273400,1
1536693135663588248,1
1536693136163136504,1
1536693136657557208,1
1536693137160604216,1
1536693137655262520,1
1536693138158598808,1
1536693138660248824,1
1536693139155382072,1
1536693139648065944,1
1536693140158375704,1
1536693140654197176,1
1536693141172710456,1
