%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1536693065394947032,1665,1536693065393792568,map,base_link,-181.22552076,22.5235697674,43.498,0.0159276822204,-0.0388077308583,-0.996085707281,0.0778044517711,0.409599981689,0.0,0.0,0.0,0.0,0.0,0.0,0.409599981689,0.0,0.0,0.0,0.0,0.0,0.0,1.63839992676,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,-3.98,-21.47,-0.61,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693065617221560,1666,1536693065615130200,map,base_link,-185.94094758,21.7352165096,43.669,0.0297258960275,-0.203602955977,-0.976524544083,0.0637339958401,0.409599981689,0.0,0.0,0.0,0.0,0.0,0.0,0.409599981689,0.0,0.0,0.0,0.0,0.0,0.0,1.63839992676,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,-3.28,-21.33,-0.41,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693065850986360,1667,1536693065849793816,map,base_link,-191.045793985,21.1134543002,43.823,0.024485525433,-0.284451030919,-0.957520293231,0.0405334195871,0.409599981689,0.0,0.0,0.0,0.0,0.0,0.0,0.409599981689,0.0,0.0,0.0,0.0,0.0,0.0,1.63839992676,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,-2.2,-21.22,-0.18,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693066082225080,1668,1536693066081079096,map,base_link,-196.116768948,20.8248509132,43.95,0.024485525433,-0.284451030919,-0.957520293231,0.0405334195871,0.409599981689,0.0,0.0,0.0,0.0,0.0,0.0,0.409599981689,0.0,0.0,0.0,0.0,0.0,0.0,1.63839992676,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,-0.73,-21.14,-0.2,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693066302153880,1669,1536693066301374328,map,base_link,-200.713654224,20.9027101372,44.079,-5.9049789019e-05,-0.319346443046,-0.947526697323,-0.0145259660021,0.409599981689,0.0,0.0,0.0,0.0,0.0,0.0,0.409599981689,0.0,0.0,0.0,0.0,0.0,0.0,1.63839992676,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.84,-21.05,-0.31,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693066517569688,1670,1536693066513539512,map,base_link,-205.251271161,21.4025689582,44.291,-5.9049789019e-05,-0.319346443046,-0.947526697323,-0.0145259660021,0.409599981689,0.0,0.0,0.0,0.0,0.0,0.0,0.409599981689,0.0,0.0,0.0,0.0,0.0,0.0,1.63839992676,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,2.81,-20.8,-0.94,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693066796892152,1671,1536693066791669048,map,base_link,-210.525391726,22.5132384497,44.637,-0.048732086025,-0.344221646799,-0.935538727011,-0.0624814526853,0.409599981689,0.0,0.0,0.0,0.0,0.0,0.0,0.409599981689,0.0,0.0,0.0,0.0,0.0,0.0,1.63839992676,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,4.65,-20.35,-1.26,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693067055978104,1672,1536693067055198456,map,base_link,-215.613252746,24.079220189,44.989,-0.048732086025,-0.344221646799,-0.935538727011,-0.0624814526853,0.409599981689,0.0,0.0,0.0,0.0,0.0,0.0,0.409599981689,0.0,0.0,0.0,0.0,0.0,0.0,1.63839992676,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,6.72,-19.54,-1.56,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693067268429304,1673,1536693067267586488,map,base_link,-219.685221149,25.8117537,45.311,-0.112294306326,-0.368936375572,-0.905821109866,-0.175396854212,0.409599981689,0.0,0.0,0.0,0.0,0.0,0.0,0.409599981689,0.0,0.0,0.0,0.0,0.0,0.0,1.63839992676,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,8.71,-18.42,-1.94,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693067547618136,1674,1536693067546752568,map,base_link,-224.383625677,28.6770415063,45.906,-0.172940001951,-0.345935617304,-0.887404016552,-0.250867327112,0.409599981689,0.0,0.0,0.0,0.0,0.0,0.0,0.409599981689,0.0,0.0,0.0,0.0,0.0,0.0,1.63839992676,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,11.23,-16.44,-2.71,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
