%time,field.data
1536693065394961528,43.498
1536693065617250840,43.669
1536693065850992824,43.823
1536693066082243544,43.95
1536693066302618552,44.079
1536693066517772984,44.291
1536693066796897688,44.637
1536693067055984376,44.989
1536693067268767256,45.311
1536693067547626328,45.906
1536693067806881752,46.611
1536693068012731544,47.293
1536693068277445976,48.13
1536693068517319736,48.765
1536693068784646616,49.526
1536693069004377528,50.064
1536693069281260024,50.58
1536693069509994296,50.902
1536693069765794584,51.122
1536693070010192504,51.272
1536693070326567224,51.389
1536693070492155096,51.364
1536693070718249976,51.269
1536693070980524696,51.171
1536693071238840312,51.075
1536693071482282104,51.021
1536693071726037112,51.06
1536693071971637688,51.165
1536693072209858680,51.23
1536693072473094648,51.259
1536693072741552536,51.305
1536693072937214616,51.317
1536693073212312664,51.256
1536693073414413208,51.158
1536693073662071736,50.982
1536693073877995096,50.798
1536693074079727544,50.509
1536693074325084280,50.162
1536693074587232952,49.766
1536693074814221080,49.459
1536693075068056856,49.294
1536693075319190744,49.258
1536693075579027672,49.301
1536693075829307128,49.444
1536693076084415640,49.646
1536693076277336632,49.742
1536693076525246648,49.794
1536693076768982904,49.801
1536693077018631704,49.695
1536693077265397304,49.469
1536693077507869016,49.178
1536693077726375352,48.921
1536693078004155384,48.644
1536693078215862328,48.438
1536693078505165080,48.109
1536693078726041368,47.873
1536693078978521688,47.527
1536693079213260248,47.297
1536693079467398936,47.117
1536693079719037368,47.04
1536693079978187320,47.001
1536693080229667544,46.912
1536693080481061720,46.87
1536693080715596856,46.907
1536693081018308728,47.092
1536693081205402648,47.241
1536693081464168728,47.506
1536693081735743000,47.825
1536693081982229688,48.234
1536693082233314136,48.656
1536693082448862232,49.144
1536693082717359736,49.631
1536693082954785688,49.983
1536693083197210456,50.242
1536693083452045048,50.444
1536693083685924376,50.543
1536693083944271032,50.591
1536693084179562872,50.562
1536693084426360504,50.507
1536693084667961624,50.397
1536693084921630040,50.233
1536693085174859640,50.041
1536693085447545624,49.894
1536693085703530520,49.74
1536693085928930008,49.65
1536693086214187256,49.47
1536693086409900664,49.342
1536693086675965464,49.174
1536693086930074744,49.053
1536693087167954776,48.966
1536693087384232760,48.947
1536693087614915672,48.994
1536693087882878904,49.086
1536693088119719064,49.186
1536693088385109944,49.235
1536693088591691960,49.191
1536693088808296504,49.097
1536693089067147320,48.997
1536693089351086008,48.914
1536693089607352376,48.885
1536693089832779928,48.857
1536693090076259928,48.856
1536693090346484632,48.903
1536693090538403416,48.981
1536693090810538232,49.134
1536693091030689112,49.324
1536693091267105816,49.581
1536693091524566648,49.748
1536693091785489208,49.806
1536693092031889816,49.825
1536693092267601880,49.863
1536693092570138232,49.865
1536693092777814168,49.837
1536693093036292632,49.804
1536693093261110648,49.793
1536693093506427000,49.816
1536693093749449976,49.874
1536693094010955640,49.979
1536693094234500504,50.084
1536693094488758424,50.157
1536693094715165880,50.236
1536693095009819736,50.37
1536693095211433592,50.452
1536693095522477944,50.592
1536693095712418744,50.659
1536693095984738072,50.806
1536693096218399192,50.979
1536693096471865688,51.133
1536693096713962744,51.256
1536693096970758296,51.37
1536693097231494712,51.466
1536693097518204088,51.629
1536693097726090936,51.702
1536693098037103736,51.722
1536693098214703928,51.693
1536693098524815992,51.587
1536693098732211352,51.512
1536693098954452088,51.398
1536693099186100856,51.307
1536693099413813176,51.238
1536693099671271832,51.131
1536693099934651640,51.037
1536693100180731960,51.001
1536693100434152824,51.02
1536693100657600408,51.06
1536693100924141816,51.066
1536693101179399864,51.022
1536693101417927320,50.954
1536693101664650200,50.851
1536693101914620216,50.712
1536693102139236856,50.604
1536693102373673176,50.546
1536693102621892920,50.519
1536693102895232504,50.465
1536693103170665432,50.368
1536693103382215800,50.251
1536693103622978296,50.162
1536693103894310744,50.071
1536693104120707192,49.897
1536693104385179256,49.68
1536693104614006136,49.463
1536693104877012280,49.32
1536693105119309912,49.204
1536693105433688504,49.073
1536693105616540408,49.026
1536693105881568920,49.061
1536693106115716344,49.228
1536693106359110808,49.463
1536693106573920984,49.738
1536693106832838136,50.029
1536693107105345432,50.392
1536693107323980472,50.672
1536693107519582552,50.876
1536693107737732088,51.061
1536693107968631544,51.179
1536693108232862360,51.224
1536693108469920920,51.189
1536693108718177016,51.086
1536693108956903928,50.94
1536693109163065624,50.763
1536693109439126232,50.487
1536693109630023736,50.306
1536693109913195448,50.111
1536693110124729176,49.936
1536693110392741560,49.718
1536693110635617336,49.492
1536693110917372888,49.232
1536693111124535576,49.047
1536693111376290008,48.87
1536693111613594200,48.784
1536693111876301720,48.786
1536693112126813016,48.895
1536693112368957368,49.03
1536693112593254136,49.133
1536693112836058520,49.179
1536693113077666104,49.177
1536693113317438200,49.119
1536693113542893624,49.049
1536693113793626584,48.996
1536693114043680152,48.937
1536693114290197240,48.835
1536693114557051736,48.703
1536693114802200408,48.587
1536693115055549656,48.44
1536693115249018456,48.328
1536693115519710680,48.101
1536693115736438136,47.882
1536693115998379768,47.599
