%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1536693065209189720,1143,1536693065208821848,base_link,0.0159276822204,-0.0388077308583,-0.996085707281,0.0778044517711,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.917758345604,0.0294363256544,-0.0738326013088,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.55897905,0.4511059,10.18910935,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536693065538151704,1144,1536693065537869688,base_link,0.0297258960275,-0.203602955977,-0.976524544083,0.0637339958401,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.900783777237,0.0314983651042,-0.0634310096502,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-1.0983448,0.5099458,10.46369555,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536693065821093112,1145,1536693065820802840,base_link,0.024485525433,-0.284451030919,-0.957520293231,0.0405334195871,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.374801874161,-0.171544104815,-0.185962826014,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.8825985,0.8825985,9.95374975,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536693066214254904,1146,1536693066212847736,base_link,-5.9049789019e-05,-0.319346443046,-0.947526697323,-0.0145259660021,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0738962218165,-0.256363451481,-0.218438372016,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0784532,0.69627215,12.20927925,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536693066573322296,1147,1536693066573099896,base_link,-0.048732086025,-0.344221646799,-0.935538727011,-0.0624814526853,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.116720892489,-0.262916684151,-0.15443430841,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.5099458,2.12804305,13.9450563,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536693067076259192,1148,1536693067076021944,base_link,-0.112294306326,-0.368936375572,-0.905821109866,-0.175396854212,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.275217622519,-0.3511929214,-0.304215073586,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.9022118,1.12776475,13.46453045,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536693067470539192,1149,1536693067466823704,base_link,-0.172940001951,-0.345935617304,-0.887404016552,-0.250867327112,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.424947112799,-0.491739779711,-0.168511465192,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,1.18660465,1.2160246,17.2008641,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536693067886041688,1150,1536693067885628376,base_link,-0.217522677871,-0.309678831289,-0.871557091615,-0.311722861076,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.12074765563,-0.195877581835,-0.285650193691,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.89240515,1.52003075,11.9052731,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536693068225090584,1151,1536693068224625944,base_link,-0.226683429485,-0.300366589095,-0.844180872148,-0.381776361305,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0281187146902,-0.197060450912,-0.387039899826,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.61781895,1.3140911,11.71894675,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536693068523206776,1152,1536693068522870232,base_link,-0.241756526563,-0.299424305747,-0.81182675451,-0.439131173631,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00092077604495,-0.229396745563,-0.327281266451,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.38245935,0.9414384,11.03248125,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
