%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1536693065395348152,1550,1536693065394680248,map,-182.550323486,26.8126354218,43.4982948303,0.0159276822204,-0.0388077308583,-0.996085707281,0.0778044517711
1536693065617321112,1551,1536693065616862200,map,-187.258209229,26.0231819153,43.6690101624,0.0297258960275,-0.203602955977,-0.976524544083,0.0637339958401
1536693065851680184,1552,1536693065850962712,map,-192.354446411,25.4028434753,43.8236465454,0.024485525433,-0.284451030919,-0.957520293231,0.0405334195871
1536693066087123864,1553,1536693066086480184,map,-197.418197632,25.1091365814,43.9509315491,0.024485525433,-0.284451030919,-0.957520293231,0.0405334195871
1536693066305453176,1554,1536693066304791096,map,-202.009658813,25.1834602356,44.0797767639,-5.9049789019e-05,-0.319346443046,-0.947526697323,-0.0145259660021
1536693066550624472,1555,1536693066548550680,map,-206.946777344,25.7612018585,44.3166847229,-5.9049789019e-05,-0.319346443046,-0.947526697323,-0.0145259660021
1536693066796910744,1556,1536693066793192152,map,-211.807998657,26.8010978699,44.6375045776,-0.048732086025,-0.344221646799,-0.935538727011,-0.0624814526853
1536693067057176472,1557,1536693067056832760,map,-216.888916016,28.3681335449,44.9896469116,-0.048732086025,-0.344221646799,-0.935538727011,-0.0624814526853
1536693067273875704,1558,1536693067273332760,map,-221.327163696,30.2985458374,45.3462219238,-0.112294306326,-0.368936375572,-0.905821109866,-0.175396854212
1536693067552333976,1559,1536693067551736440,map,-225.647644043,32.9727935791,45.9066696167,-0.172940001951,-0.345935617304,-0.887404016552,-0.250867327112
1536693067807176536,1560,1536693067806434808,map,-229.169876099,35.9070396423,46.6117019653,-0.172940001951,-0.345935617304,-0.887404016552,-0.250867327112
1536693068014109272,1561,1536693068013515384,map,-232.060256958,38.7914733887,47.2937698364,-0.217522677871,-0.309678831289,-0.871557091615,-0.311722861076
1536693068279200760,1562,1536693068278800376,map,-235.315750122,42.595539093,48.1308288574,-0.226683429485,-0.300366589095,-0.844180872148,-0.381776361305
1536693068518323416,1563,1536693068517906584,map,-237.54586792,45.7151641846,48.7654075623,-0.226683429485,-0.300366589095,-0.844180872148,-0.381776361305
1536693068787969400,1564,1536693068787351384,map,-239.870834351,49.7636604309,49.5264320374,-0.241756526563,-0.299424305747,-0.81182675451,-0.439131173631
1536693069007825880,1565,1536693069007241016,map,-241.33934021,53.0533065796,50.0648651123,-0.259092686041,-0.304571903766,-0.773317154756,-0.492023895391
1536693069284183384,1566,1536693069282958840,map,-242.674240112,57.0231170654,50.5804862976,-0.277478456099,-0.314337453858,-0.732774729348,-0.535946702138
1536693069519903320,1567,1536693069519233080,map,-243.593200684,61.054901123,50.9212722778,-0.277478456099,-0.314337453858,-0.732774729348,-0.535946702138
1536693069767436440,1568,1536693069766025016,map,-244.011703491,64.7870101929,51.1223526001,-0.277750525224,-0.294695786655,-0.691851741669,-0.59778776051
1536693070011109976,1569,1536693070010714872,map,-243.994094849,68.4151000977,51.2720794678,-0.277750525224,-0.294695786655,-0.691851741669,-0.59778776051
1536693070328541752,1570,1536693070327680888,map,-243.44190979,73.0116577148,51.3896980286,-0.262577673152,-0.249289360598,-0.633747424504,-0.683572953085
1536693070492333688,1571,1536693070491050680,map,-242.900238037,75.7034454346,51.3641395569,-0.23927980455,-0.223349220111,-0.595683658466,-0.733499338818
1536693070721211704,1572,1536693070719440184,map,-241.944671631,79.2489395142,51.2697525024,-0.23927980455,-0.223349220111,-0.595683658466,-0.733499338818
1536693070983787352,1573,1536693070983195800,map,-240.613876343,82.9993515015,51.1717796326,-0.185408371551,-0.163116346877,-0.560663564497,-0.790362676615
1536693071242146296,1574,1536693071239760952,map,-239.184356689,86.3739624023,51.0756454468,-0.185408371551,-0.163116346877,-0.560663564497,-0.790362676615
1536693071484241528,1575,1536693071483725208,map,-237.489776611,89.9544219971,51.021232605,-0.124816092339,-0.103508069877,-0.538557027729,-0.826839374031
1536693071729520344,1576,1536693071728869432,map,-236.002502441,92.9508209229,51.0609893799,-0.0447726007228,-0.0466044732956,-0.526892751612,-0.847471218149
1536693071972047992,1577,1536693071971460344,map,-234.143249512,96.7480545044,51.1746520996,-0.0447726007228,-0.0466044732956,-0.526892751612,-0.847471218149
1536693072211790584,1578,1536693072210251416,map,-232.745559692,99.7390060425,51.230140686,0.0410312081369,0.000785890696861,-0.517997375312,-0.854397180183
1536693072476547480,1579,1536693072475910520,map,-231.081741333,103.58391571,51.2643203735,0.0690265866169,0.0173200718701,-0.522012434924,-0.849963742306
1536693072742542712,1580,1536693072742020344,map,-229.807556152,106.907905579,51.3059387207,0.0936080695327,0.0286272883014,-0.535638155067,-0.838754895377
1536693072939879160,1581,1536693072939103064,map,-228.764480591,110.00227356,51.3171882629,0.0936080695327,0.0286272883014,-0.535638155067,-0.838754895377
1536693073213586872,1582,1536693073212959096,map,-227.690597534,113.666175842,51.2569656372,0.114586013186,0.0356390154916,-0.550756171431,-0.825994882422
1536693073415577240,1583,1536693073415182488,map,-226.886260986,116.816040039,51.1586799622,0.105661837557,0.0228963677282,-0.561779844727,-0.820191891259
1536693073664257752,1584,1536693073663338712,map,-226.102798462,120.283432007,50.9823722839,0.105661837557,0.0228963677282,-0.561779844727,-0.820191891259
1536693073881729688,1585,1536693073881341880,map,-225.51234436,123.194297791,50.7984199524,0.0964051688489,0.0025067717388,-0.581145862741,-0.808065124686
1536693074102815608,1586,1536693074102315992,map,-224.853530884,126.708763123,50.4802970886,0.0964051688489,0.0025067717388,-0.581145862741,-0.808065124686
1536693074326349016,1587,1536693074325802200,map,-224.343719482,129.663131714,50.1620178223,0.0816182545775,-0.0133872735815,-0.60430204001,-0.792450809745
1536693074588692632,1588,1536693074588092600,map,-223.696899414,133.844543457,49.7390632629,0.0650272079296,-0.0157779973824,-0.626058451781,-0.776899821071
1536693074816130616,1589,1536693074815627480,map,-223.227706909,137.461410522,49.4597663879,0.0650272079296,-0.0157779973824,-0.626058451781,-0.776899821071
1536693075076924856,1590,1536693075076103352,map,-222.807250977,141.431671143,49.2863693237,0.0285501888157,-0.0096701133702,-0.640909313156,-0.767024528901
1536693075319265400,1591,1536693075318717208,map,-222.492874146,144.7993927,49.2585449219,0.0285501888157,-0.0096701133702,-0.640909313156,-0.767024528901
1536693075579085080,1592,1536693075578720376,map,-222.095428467,148.748687744,49.3012504578,-0.00155726436839,-0.0206470355594,-0.63763058566,-0.770063965578
1536693075830287416,1593,1536693075829966552,map,-221.597381592,152.657470703,49.4440574646,-0.0620801807102,-0.0587755016263,-0.632273751492,-0.770013892567
1536693076087273432,1594,1536693076085067288,map,-220.970672607,156.512557983,49.6459999084,-0.0620801807102,-0.0587755016263,-0.632273751492,-0.770013892567
1536693076282215832,1595,1536693076279604504,map,-220.404663086,159.40838623,49.7420730591,-0.0943191919344,-0.0921123483007,-0.630995537005,-0.764502346368
1536693076529832728,1596,1536693076529294296,map,-219.699966431,162.580856323,49.7940063477,-0.105602556619,-0.113784737179,-0.609750242623,-0.777242417294
1536693076776016920,1597,1536693076775622648,map,-218.634979248,166.623031616,49.7967071533,-0.105602556619,-0.113784737179,-0.609750242623,-0.777242417294
1536693077020562648,1598,1536693077019767096,map,-217.559173584,170.046264648,49.695941925,-0.13540343328,-0.14313771757,-0.572970076056,-0.795539311417
1536693077267135960,1599,1536693077266711000,map,-216.273178101,173.432601929,49.4699325562,-0.189623910224,-0.17725203137,-0.535124546008,-0.803906841808
1536693077509682680,1600,1536693077509280536,map,-214.729568481,176.743881226,49.1785583496,-0.189623910224,-0.17725203137,-0.535124546008,-0.803906841808
1536693077731680760,1601,1536693077730555416,map,-213.057373047,179.689315796,48.9217948914,-0.219913437408,-0.164562846957,-0.503705802542,-0.819046771518
