%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1536693065179170296,405,1536693065178818040,NED,44.2399978638,-0.74634295702
1536693065223215064,406,1536693065222787480,NED,44.9799995422,4.57801771164
1536693065322082616,407,1536693065314468280,NED,44.9799995422,4.57801771164
1536693065390557016,408,1536693065388756376,NED,44.9799995422,4.57801771164
1536693065418769496,409,1536693065417223832,NED,44.9799995422,4.57801771164
1536693065475091416,410,1536693065473958392,NED,44.9799995422,4.57801771164
1536693065513041400,411,1536693065504120056,NED,44.9799995422,4.57801771164
1536693065549483064,412,1536693065549120696,NED,44.969997406,23.6809120178
1536693065608940376,413,1536693065608323896,NED,44.969997406,23.6809120178
1536693065636106840,414,1536693065635417304,NED,44.9799995422,23.6809120178
1536693065720928600,415,1536693065719202648,NED,44.9799995422,23.6809120178
1536693065745180152,416,1536693065744639576,NED,44.9799995422,23.6809120178
1536693065813293112,417,1536693065812066744,NED,44.9899978638,23.6809120178
1536693065847871960,418,1536693065845464408,NED,44.9899978638,33.152923584
1536693065903401912,419,1536693065902284888,NED,44.0,33.152923584
1536693065946656696,420,1536693065946436856,NED,44.0,33.152923584
1536693065982619320,421,1536693065982081304,NED,44.6599998474,33.152923584
1536693066000583544,422,1536693066000188440,NED,44.6599998474,33.152923584
1536693066036363640,423,1536693066036048664,NED,44.6599998474,33.152923584
1536693066100929944,424,1536693066100536280,NED,44.6599998474,33.152923584
1536693066155743544,425,1536693066155424664,NED,44.6599998474,33.152923584
1536693066183143128,426,1536693066182389848,NED,44.6599998474,33.152923584
1536693066222676632,427,1536693066222223512,NED,44.6599998474,37.2436447144
1536693066281721688,428,1536693066281322040,NED,44.6599998474,37.2436447144
1536693066328245784,429,1536693066327832920,NED,44.7700004578,37.2436447144
1536693066384167192,430,1536693066381371960,NED,44.7599983215,37.2436447144
1536693066423081816,431,1536693066422237112,NED,44.75,37.2436447144
1536693066442432664,432,1536693066441837656,NED,44.7399978638,37.2436447144
1536693066500175032,433,1536693066499711640,NED,44.7299995422,37.2436447144
1536693066557846328,434,1536693066556257880,NED,44.719997406,37.2436447144
1536693066657335160,435,1536693066657050744,NED,44.7000007629,40.6102905273
1536693066725417080,436,1536693066724347000,NED,44.7000007629,40.6102905273
1536693066761353656,437,1536693066760862232,NED,44.6899986267,40.6102905273
1536693066801513880,438,1536693066800877464,NED,44.6899986267,40.6102905273
1536693066865607224,439,1536693066864886296,NED,44.6800003052,40.6102905273
1536693066904085944,440,1536693066903721848,NED,44.6699981689,40.6102905273
1536693066984211736,441,1536693066979091640,NED,44.6499977112,40.6102905273
1536693067049623960,442,1536693067049121272,NED,44.6399993896,40.6102905273
1536693067154916376,443,1536693067154005528,NED,44.6100006104,45.2121047974
1536693067202953656,444,1536693067202528568,NED,44.5900001526,45.2121047974
1536693067242719000,445,1536693067242339064,NED,44.5599975586,45.2121047974
1536693067346356056,446,1536693067343258552,NED,44.4799995422,45.2121047974
1536693067426205496,447,1536693067425128536,NED,44.3899993896,45.2121047974
1536693067455826808,448,1536693067455105368,NED,44.3600006104,45.2121047974
1536693067542597880,449,1536693067542052536,NED,44.2299995422,44.9958572388
1536693067705821880,450,1536693067704753208,NED,43.9799995422,44.9958572388
1536693067791819640,451,1536693067791273112,NED,43.9199981689,44.9958572388
1536693067825247032,452,1536693067817530968,NED,43.9199981689,44.9958572388
1536693067871648440,453,1536693067871245176,NED,43.9399986267,44.9958572388
1536693067904650680,454,1536693067901416344,NED,43.9500007629,43.4268417358
1536693067965286680,455,1536693067962150520,NED,43.9799995422,43.4268417358
1536693068008298808,456,1536693068007930520,NED,44.0099983215,43.4268417358
1536693068066696344,457,1536693068065714392,NED,44.0599975586,43.4268417358
1536693068102125880,458,1536693068100373592,NED,44.0900001526,43.4268417358
1536693068188863544,459,1536693068188207928,NED,44.1699981689,43.4268417358
1536693068205953080,460,1536693068205491864,NED,44.1800003052,43.4268417358
1536693068267536984,461,1536693068265922968,NED,44.2299995422,43.500202179
1536693068316185784,462,1536693068315556440,NED,44.25,43.500202179
1536693068370975992,463,1536693068369996600,NED,44.2900009155,43.500202179
1536693068398314584,464,1536693068395848760,NED,44.3099975586,43.500202179
1536693068421062616,465,1536693068420657080,NED,44.3099975586,43.500202179
1536693068510839960,466,1536693068510138008,NED,44.3499984741,43.500202179
1536693068546155800,467,1536693068545776312,NED,44.3600006104,44.7830085754
1536693068601336728,468,1536693068600986488,NED,44.3799972534,44.7830085754
1536693068621056312,469,1536693068620796280,NED,44.3899993896,44.7830085754
1536693068697858296,470,1536693068697491128,NED,44.4300003052,44.7830085754
1536693068767862840,471,1536693068766989208,NED,44.4599990845,44.7830085754
1536693068806493688,472,1536693068805913784,NED,44.4799995422,44.7830085754
1536693068893467704,473,1536693068892329240,NED,44.5099983215,44.7830085754
1536693068924657368,474,1536693068921615992,NED,44.5200004578,46.8657073975
1536693068952068120,475,1536693068950880504,NED,44.5399971008,46.8657073975
1536693068985453624,476,1536693068984595608,NED,44.5499992371,46.8657073975
1536693069038160792,477,1536693069037255896,NED,44.5599975586,46.8657073975
1536693069106071832,478,1536693069105657752,NED,44.5900001526,46.8657073975
1536693069156092024,479,1536693069153061912,NED,44.6100006104,46.8657073975
1536693069234121208,480,1536693069229185016,NED,44.6399993896,46.8657073975
1536693069269798424,481,1536693069268892024,NED,44.6499977112,49.4601249695
1536693069322610776,482,1536693069322038072,NED,44.6699981689,49.4601249695
1536693069353498744,483,1536693069353117176,NED,44.1899986267,49.4601249695
1536693069451487768,484,1536693069450832088,NED,43.0499992371,49.4601249695
1536693069506863608,485,1536693069503218872,NED,43.0599975586,49.4601249695
1536693069554264696,486,1536693069553407640,NED,41.75,49.4601249695
1536693069592569240,487,1536693069591478616,NED,41.7599983215,49.4601249695
1536693069645195704,488,1536693069644185208,NED,40.0499992371,47.7503509521
1536693069714218264,489,1536693069713979320,NED,40.0499992371,47.7503509521
1536693069736862200,490,1536693069734907832,NED,38.3199996948,47.7503509521
1536693069803172952,491,1536693069802446552,NED,38.3199996948,47.7503509521
1536693069814219192,492,1536693069813473528,NED,36.1599998474,47.7503509521
1536693069879523960,493,1536693069879282456,NED,36.1599998474,47.7503509521
1536693069928928344,494,1536693069928379096,NED,33.8699989319,47.7503509521
1536693070007166360,495,1536693070006740376,NED,33.8699989319,47.7503509521
