%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1536693065179343192,405,1536693065178822744,NED,78.0,-99.0702209473
1536693065223443096,406,1536693065222791416,NED,78.0,-98.9914855957
1536693065322120056,407,1536693065314473496,NED,78.0,-98.9914855957
1536693065392597496,408,1536693065388760568,NED,78.0,-98.9914855957
1536693065418792152,409,1536693065417227160,NED,-31.0,-98.9914855957
1536693065475204280,410,1536693065473962072,NED,-31.0,-98.9914855957
1536693065513076920,411,1536693065504124536,NED,-31.0,-98.9914855957
1536693065549755672,412,1536693065549124216,NED,-29.0,-97.8540802002
1536693065609308152,413,1536693065608328312,NED,-29.0,-97.8540802002
1536693065636226552,414,1536693065635420824,NED,-27.0,-97.8540802002
1536693065721137656,415,1536693065719205944,NED,-26.0,-97.8540802002
1536693065745232344,416,1536693065744644216,NED,-26.0,-97.8540802002
1536693065813321976,417,1536693065812070232,NED,-26.0,-97.8540802002
1536693065849072440,418,1536693065845468120,NED,-24.0,-95.2544555664
1536693065904182552,419,1536693065902288920,NED,-24.0,-95.2544555664
1536693065947127736,420,1536693065946440376,NED,-22.0,-95.2544555664
1536693065982649400,421,1536693065982085944,NED,-22.0,-95.2544555664
1536693066000727160,422,1536693066000192888,NED,-22.0,-95.2544555664
1536693066036581944,423,1536693066036052600,NED,-20.0,-95.2544555664
1536693066100967320,424,1536693066100540280,NED,-20.0,-95.2544555664
1536693066155828696,425,1536693066155428216,NED,-18.0,-95.2544555664
1536693066183277144,426,1536693066182394008,NED,-18.0,-95.2544555664
1536693066222707864,427,1536693066222227224,NED,-17.0,-88.4203643799
1536693066281768280,428,1536693066281326296,NED,-17.0,-88.4203643799
1536693066330705368,429,1536693066327836664,NED,-15.0,-88.4203643799
1536693066384320824,430,1536693066381376792,NED,-15.0,-88.4203643799
1536693066423324344,431,1536693066422240376,NED,-13.0,-88.4203643799
1536693066442557080,432,1536693066441842008,NED,-13.0,-88.4203643799
1536693066503720152,433,1536693066499716536,NED,-13.0,-88.4203643799
1536693066557941400,434,1536693066556261720,NED,-11.0,-88.4203643799
1536693066657503000,435,1536693066657054840,NED,-9.0,-81.3364639282
1536693066725466680,436,1536693066724351032,NED,-8.0,-81.3364639282
1536693066761841560,437,1536693066760867128,NED,-8.0,-81.3364639282
1536693066801596536,438,1536693066800881432,NED,-8.0,-81.3364639282
1536693066865643416,439,1536693066864890776,NED,-6.0,-81.3364639282
1536693066904654040,440,1536693066903726360,NED,-6.0,-81.3364639282
1536693066984325944,441,1536693066979095640,NED,-4.0,-81.3364639282
1536693067050713048,442,1536693067049125560,NED,-3.0,-81.3364639282
1536693067154998552,443,1536693067154009400,NED,-1.0,-66.3144302368
1536693067203224824,444,1536693067202533336,NED,-1.0,-66.3144302368
1536693067242808088,445,1536693067242343096,NED,0.0,-66.3144302368
1536693067348392472,446,1536693067343265112,NED,1.0,-66.3144302368
1536693067426270904,447,1536693067425133816,NED,2.0,-66.3144302368
1536693067455859736,448,1536693067455108696,NED,2.0,-66.3144302368
1536693067542638968,449,1536693067542056920,NED,4.0,-55.2507896423
1536693067705921560,450,1536693067704762776,NED,5.0,-55.2507896423
1536693067791886008,451,1536693067791279512,NED,7.0,-55.2507896423
1536693067825946264,452,1536693067817536280,NED,7.0,-55.2507896423
