%time,field.header.seq,field.header.stamp,field.header.frame_id,field.connected,field.armed,field.guided,field.mode,field.system_status
1536693065228915192,407,1536693065228633304,,1,1,1,GUIDED,4
1536693066229799448,408,1536693066229557176,,1,1,1,GUIDED,4
1536693067210046264,409,1536693067209588344,,1,1,1,GUIDED,4
1536693068228028792,410,1536693068227747032,,1,1,1,GUIDED,4
1536693069251216536,411,1536693069250417560,,1,1,1,GUIDED,4
1536693070323256600,412,1536693070322106808,,1,1,1,GUIDED,4
1536693071243245464,413,1536693071240704728,,1,1,1,GUIDED,4
1536693072223065752,414,1536693072217336504,,1,1,1,GUIDED,4
1536693073239146680,415,1536693073238566360,,1,1,1,GUIDED,4
1536693074236739512,416,1536693074236161592,,1,1,1,GUIDED,4
1536693075230679800,417,1536693075229897752,,1,1,1,GUIDED,4
1536693076231817496,418,1536693076231515064,,1,1,1,GUIDED,4
1536693077262712440,419,1536693077262206872,,1,1,1,GUIDED,4
1536693078222315832,420,1536693078221847576,,1,1,1,GUIDED,4
1536693079227493656,421,1536693079226978712,,1,1,1,GUIDED,4
1536693080231585912,422,1536693080231078072,,1,1,1,GUIDED,4
1536693081221448696,423,1536693081220581560,,1,1,1,GUIDED,4
1536693082235719640,424,1536693082225429752,,1,1,1,GUIDED,4
1536693083238800312,425,1536693083236263672,,1,1,1,GUIDED,4
1536693084212640472,426,1536693084211885432,,1,1,1,GUIDED,4
1536693085245861688,427,1536693085244694616,,1,1,1,GUIDED,4
1536693086238069272,428,1536693086236512696,,1,1,1,GUIDED,4
1536693087232922648,429,1536693087229091864,,1,1,1,GUIDED,4
1536693088256574744,430,1536693088255966712,,1,1,1,GUIDED,4
1536693089214228280,431,1536693089213904728,,1,1,1,GUIDED,4
1536693090241056888,432,1536693090240060632,,1,1,1,GUIDED,4
1536693091202417464,433,1536693091202088536,,1,1,1,GUIDED,4
1536693092234065528,434,1536693092233667512,,1,1,1,GUIDED,4
1536693093226748632,435,1536693093225097752,,1,1,1,GUIDED,4
1536693094229564376,436,1536693094229108664,,1,1,1,GUIDED,4
1536693095227580344,437,1536693095227033144,,1,1,1,GUIDED,4
1536693096220532536,438,1536693096217806296,,1,1,1,GUIDED,4
1536693097236799480,439,1536693097236241272,,1,1,1,GUIDED,4
1536693098218012440,440,1536693098217538424,,1,1,1,GUIDED,4
1536693099205413016,441,1536693099205077432,,1,1,1,GUIDED,4
1536693100237196920,442,1536693100236800888,,1,1,1,GUIDED,4
1536693101209428952,443,1536693101208926456,,1,1,1,GUIDED,4
1536693102244139640,444,1536693102243177944,,1,1,1,GUIDED,4
1536693103235710584,445,1536693103234492376,,1,1,1,GUIDED,4
1536693104236958872,446,1536693104236369784,,1,1,1,GUIDED,4
1536693105247673208,447,1536693105247303736,,1,1,1,GUIDED,4
1536693106218580984,448,1536693106218084120,,1,1,1,GUIDED,4
1536693107196595768,449,1536693107191855704,,1,1,1,GUIDED,4
1536693108238735960,450,1536693108238212632,,1,1,1,GUIDED,4
1536693109229164120,451,1536693109228607480,,1,1,1,GUIDED,4
1536693110233021816,452,1536693110232624248,,1,1,1,GUIDED,4
1536693111249108248,453,1536693111248733912,,1,1,1,GUIDED,4
1536693112237535704,454,1536693112236806424,,1,1,1,GUIDED,4
1536693113216841016,455,1536693113214284280,,1,1,1,GUIDED,4
1536693114227971032,456,1536693114227516888,,1,1,1,GUIDED,4
1536693115250482040,457,1536693115243378136,,1,1,1,GUIDED,4
1536693116232000344,458,1536693116231654744,,1,1,1,GUIDED,4
1536693117235820888,459,1536693117234909304,,1,1,1,GUIDED,4
1536693118222637080,460,1536693118222358296,,1,1,1,GUIDED,4
1536693119223871096,461,1536693119223489720,,1,1,1,GUIDED,4
1536693120232355736,462,1536693120232003064,,1,1,1,GUIDED,4
1536693121243189016,463,1536693121242781624,,1,1,1,GUIDED,4
1536693122228860856,464,1536693122228530776,,1,1,1,GUIDED,4
1536693123248428120,465,1536693123247825688,,1,1,1,GUIDED,4
1536693124237816856,466,1536693124237397240,,1,1,1,GUIDED,4
1536693125216672344,467,1536693125215365976,,1,1,1,GUIDED,4
1536693126227698360,468,1536693126219880216,,1,1,1,GUIDED,4
1536693127233805400,469,1536693127231777016,,1,1,1,GUIDED,4
1536693128227454328,470,1536693128227053784,,1,1,1,GUIDED,4
1536693129226156120,471,1536693129225867192,,1,1,1,GUIDED,4
1536693130236158712,472,1536693130235348792,,1,1,1,GUIDED,4
1536693131230600280,473,1536693131230363480,,1,1,1,GUIDED,4
1536693132217166168,474,1536693132215368920,,1,1,1,GUIDED,4
1536693133207000248,475,1536693133206459544,,1,1,1,GUIDED,4
1536693134229833112,476,1536693134229351928,,1,1,1,GUIDED,4
1536693135222091704,477,1536693135221690904,,1,1,1,GUIDED,4
1536693136225632504,478,1536693136225209240,,1,1,1,GUIDED,4
1536693137237303224,479,1536693137236609432,,1,1,1,GUIDED,4
1536693138220993336,480,1536693138218908568,,1,1,1,GUIDED,4
1536693139219198808,481,1536693139218853976,,1,1,1,GUIDED,4
1536693140214122936,482,1536693140213848952,,1,1,1,GUIDED,4
1536693141234288568,483,1536693141233806488,,1,1,1,GUIDED,4
