%time,field.data
1536693177222009432,279.33
1536693177456296568,281.95
1536693177736525976,285.53
1536693177967520728,290.24
1536693178227484184,294.61
1536693178468642648,298.3
1536693178701378456,302.68
1536693178941471672,306.93
1536693179208135352,310.97
1536693179437603640,314.19
1536693179678290040,316.51
1536693179933920280,318.25
1536693180148606264,319.02
1536693180395859832,319.94
1536693180653075512,320.0
1536693180876747864,319.84
1536693181111640984,319.73
1536693181395265624,319.44
1536693181608175320,318.98
1536693181889912888,318.46
1536693182146238392,317.96
1536693182395161496,317.45
1536693182629294936,317.5
1536693182871040088,317.96
1536693183106815832,318.25
1536693183372788568,319.97
1536693183616543544,322.66
1536693183876147864,326.22
1536693184136291352,329.81
1536693184380974776,332.28
1536693184615815384,335.46
1536693184863259832,339.62
1536693185123487384,344.06
1536693185361288152,347.76
1536693185607267832,351.37
1536693185812833144,353.32
1536693186072266840,355.52
1536693186326051128,356.89
1536693186579153368,358.24
1536693186858999960,359.5
1536693187053604920,0.13
1536693187315976760,1.35
1536693187595813080,2.83
1536693187822046584,4.46
1536693188081666776,6.88
1536693188328713016,9.33
1536693188570787256,12.17
1536693188774440664,14.41
1536693189009965272,17.78
1536693189264503576,21.62
1536693189517803832,25.7
1536693189798056504,30.06
1536693190004208312,33.21
1536693190293651000,37.85
1536693190517466808,41.74
1536693190755917336,45.78
1536693190966409560,49.55
1536693191192172536,53.84
1536693191433515736,58.68
1536693191688008408,63.11
1536693191953329432,67.55
1536693192205475736,72.61
1536693192434400920,76.17
1536693192664382424,79.71
1536693192923068888,82.8
1536693193175108344,84.61
1536693193436752664,86.26
1536693193706171224,87.27
1536693193922508792,87.38
1536693194177473592,86.4
1536693194407475320,85.95
1536693194714119384,86.01
1536693194934632056,86.01
1536693195167636536,85.48
1536693195411614968,84.61
1536693195667131064,83.61
1536693195912879064,83.01
1536693196161628664,82.77
1536693196425728568,82.33
1536693196622420472,82.0
1536693196894395224,81.72
1536693197169001688,81.52
1536693197382252728,81.34
1536693197603931192,81.08
1536693197829232376,80.79
1536693198069177848,80.38
1536693198345284632,80.32
1536693198563231160,80.47
1536693198792177112,80.76
1536693199009482104,80.93
1536693199271139000,81.06
1536693199519218008,80.97
1536693199781399288,80.98
1536693200027457336,81.08
1536693200300432184,80.99
1536693200501960664,81.07
1536693200764627096,81.15
1536693201014461752,81.0
1536693201231832056,80.9
1536693201481564952,81.53
1536693201732878904,82.22
1536693201979637688,82.87
1536693202223175128,83.25
1536693202483336344,83.54
1536693202718291928,83.88
1536693202988405944,84.37
1536693203218950264,85.07
1536693203479524184,85.35
1536693203717289016,85.32
1536693203956550776,85.13
1536693204215476056,84.88
1536693204465558328,84.81
1536693204691007704,84.81
1536693204937683032,84.65
1536693205183196152,83.95
1536693205436043000,83.19
1536693205724055608,82.6
1536693205938819096,82.23
1536693206164012664,81.97
1536693206436177816,81.18
1536693206678358584,79.66
1536693206917511224,79.41
1536693207167908760,80.76
1536693207390792088,82.17
1536693207667084696,83.37
1536693207870385624,83.58
1536693208170018104,83.3
1536693208377320056,83.44
1536693208698812984,83.88
1536693208858620568,84.02
1536693209097971544,84.23
1536693209334234616,84.29
1536693209591404920,84.1
1536693209862494296,84.02
1536693210067528184,84.09
1536693210325675352,84.54
1536693210591050488,85.5
1536693210790506072,86.08
1536693211045702584,85.66
1536693211314845784,85.2
1536693211544202168,84.82
1536693211784702744,84.38
1536693212051621240,83.99
1536693212292372504,84.19
1536693212538102104,84.54
1536693212783100600,85.21
1536693212991331960,85.67
1536693213211957656,85.71
1536693213477475704,85.57
1536693213717439416,85.45
1536693213964157784,85.38
1536693214224273912,85.52
1536693214485644440,85.45
1536693214681690968,84.93
1536693214911532056,86.36
1536693215168806840,88.95
1536693215453125112,91.38
1536693215692537016,91.37
1536693215916564344,91.47
1536693216205065112,94.02
1536693216415595928,95.93
1536693216655005176,97.91
1536693216933694488,99.99
1536693217174401784,101.92
1536693217463311704,104.9
1536693217666197272,106.72
1536693217871267864,108.94
1536693218113815288,111.29
1536693218382658648,115.15
1536693218637793944,120.74
1536693218864079352,125.46
1536693219071445784,129.12
1536693219326787800,132.06
1536693219570907512,135.49
1536693219828789112,139.9
1536693220076850200,145.34
1536693220306193464,149.59
1536693220564604952,153.71
1536693220848953688,157.76
1536693221069553592,161.16
1536693221325988696,163.8
1536693221551871832,166.54
1536693221770050776,170.01
1536693221997729240,173.16
1536693222219161464,175.89
1536693222470763768,178.95
1536693222711764504,181.47
1536693222927233720,183.21
1536693223168573816,184.07
1536693223424267672,184.95
1536693223699221016,185.09
1536693223906717240,184.88
1536693224169304792,183.8
1536693224412414616,182.27
1536693224628854712,180.68
1536693224903114296,179.19
1536693225148929944,178.34
1536693225378201560,178.18
1536693225610078520,177.67
1536693225873458104,176.15
1536693226126370264,174.8
1536693226378517528,173.6
1536693226614004984,172.49
1536693226873406648,171.09
1536693227141943608,170.16
1536693227342989880,170.01
1536693227593124536,170.66
1536693227819989816,171.55
1536693228059986232,172.81
1536693228325254008,173.83
1536693228591546616,174.63
1536693228828184632,175.78
1536693229077480152,176.48
1536693229310821304,176.56
1536693229555550744,176.16
1536693229815091800,175.58
1536693230083271160,174.68
1536693230316525176,173.69
1536693230576967704,173.04
1536693230810782904,172.63
1536693231056708216,172.44
1536693231277319576,172.42
1536693231504896024,172.64
1536693231786207736,174.13
1536693232005365624,176.42
1536693232268649400,179.5
1536693232470800728,182.06
1536693232729333368,185.39
1536693232983697880,189.36
1536693233240288728,193.91
1536693233506616984,199.36
1536693233726519736,204.47
1536693233907218168,209.07
1536693234172205848,216.23
1536693234405309304,221.84
1536693234723166040,229.61
1536693234915162872,234.72
1536693235166695576,239.66
1536693235413173048,244.74
1536693235677593400,249.52
1536693235924611928,254.4
1536693236163817208,259.67
1536693236408537688,265.1
1536693236652012760,269.66
1536693236899757048,273.6
1536693237171328056,277.03
1536693237417070456,279.32
1536693237674933848,281.12
1536693237936370360,282.08
1536693238168723128,282.73
1536693238447703000,283.25
1536693238678775192,283.4
1536693238893110488,284.12
1536693239167704792,284.35
1536693239385294008,284.2
1536693239626605080,283.34
1536693239899480216,282.62
1536693240141944920,282.54
1536693240381378904,281.23
1536693240608648920,279.88
1536693240894345304,278.26
1536693241108851352,278.25
