%time,field.data
1536693177221914808,48.618
1536693177456297048,48.771
1536693177736219896,48.82
1536693177967502744,48.763
1536693178227439800,48.716
1536693178468587800,48.706
1536693178700899768,48.724
1536693178941416280,48.736
1536693179207944440,48.733
1536693179437482008,48.761
1536693179678222520,48.924
1536693179933918424,49.214
1536693180148588472,49.499
1536693180395813336,49.893
1536693180651660536,50.224
1536693180876717752,50.494
1536693181111629688,50.691
1536693181395256536,50.889
1536693181608128632,50.955
1536693181889882168,50.962
1536693182146218264,50.894
1536693182395154360,50.8
1536693182629272824,50.691
1536693182870981912,50.524
1536693183106804984,50.345
1536693183372778008,50.044
1536693183616528312,49.746
1536693183876135320,49.368
1536693184136281400,48.98
1536693184380968216,48.678
1536693184615793848,48.438
1536693184863229528,48.222
1536693185123467096,48.093
1536693185361269240,48.056
1536693185607252088,48.042
1536693185812820120,48.066
1536693186072165944,48.167
1536693186325964632,48.338
1536693186579147640,48.518
1536693186858929560,48.686
1536693187053570872,48.795
1536693187315943992,48.897
1536693187595798968,48.988
1536693187822044920,49.024
1536693188081651544,48.991
1536693188328700376,48.914
1536693188570730808,48.807
1536693188774431448,48.73
1536693189009742008,48.619
1536693189264184312,48.47
1536693189517391800,48.253
1536693189798046872,47.945
1536693190004162840,47.722
1536693190293613784,47.439
1536693190517462200,47.265
1536693190755906296,47.1
1536693190966384760,46.975
1536693191192153144,46.858
1536693191433505848,46.781
1536693191687986968,46.805
1536693191952988952,46.925
1536693192205464344,47.184
1536693192434335832,47.467
1536693192664345432,47.811
1536693192922967768,48.169
1536693193175083192,48.487
1536693193436736248,48.827
1536693193706167032,49.21
1536693193922485240,49.523
1536693194177461432,49.892
1536693194407465944,50.166
1536693194714109944,50.446
1536693194934606488,50.595
1536693195167279000,50.677
1536693195411605336,50.701
1536693195667120920,50.681
1536693195912831800,50.58
1536693196161611512,50.446
1536693196425728440,50.316
1536693196622407480,50.209
1536693196894199992,50.034
1536693197168802232,49.857
1536693197382237816,49.707
1536693197603921432,49.518
1536693197829222488,49.362
1536693198069160056,49.222
1536693198345268152,49.105
1536693198563216312,49.058
1536693198792118360,49.018
1536693199009450968,48.998
1536693199271136280,48.987
1536693199518928056,48.986
1536693199781385432,48.987
1536693200027454776,48.99
1536693200300403992,48.997
1536693200501928568,48.99
1536693200764524728,48.956
1536693201014451032,48.912
1536693201231814872,48.892
1536693201481549944,48.874
1536693201732876312,48.901
1536693201979598808,49.01
1536693202222917496,49.146
1536693202483317848,49.28
1536693202718264504,49.364
1536693202988391672,49.443
1536693203218939576,49.518
1536693203479468568,49.619
1536693203717279032,49.707
1536693203956431000,49.767
1536693204215451736,49.802
1536693204465560504,49.772
1536693204690987448,49.7
1536693204937641592,49.602
1536693205183181528,49.48
1536693205436024056,49.374
1536693205724015224,49.28
1536693205938799512,49.224
1536693206163872088,49.229
1536693206436152600,49.339
1536693206678298552,49.559
1536693206917473976,49.771
1536693207167865016,49.963
1536693207390406680,50.011
1536693207666872184,49.934
1536693207870373528,49.854
1536693208169999928,49.783
1536693208377306264,49.759
1536693208698418456,49.763
1536693208858422456,49.779
1536693209097975608,49.82
1536693209334217048,49.862
1536693209591343544,49.849
1536693209862440664,49.795
1536693210067406744,49.734
1536693210325561624,49.636
1536693210591048664,49.506
1536693210790485368,49.377
1536693211045685976,49.279
1536693211314835576,49.28
1536693211544190072,49.408
1536693211784692856,49.633
1536693212051610200,49.924
1536693212292353752,50.213
1536693212538071864,50.449
1536693212783087960,50.663
1536693212991320152,50.772
1536693213211936824,50.817
1536693213477475864,50.841
1536693213717424760,50.853
1536693213964128920,50.897
1536693214224058776,50.95
1536693214485621368,51.04
1536693214681666360,51.067
1536693214911387416,51.08
1536693215168581112,51.116
1536693215453113336,51.166
1536693215692530968,51.265
1536693215916547512,51.464
1536693216205015992,51.714
1536693216415591224,51.901
1536693216654992600,52.092
1536693216933655576,52.182
1536693217174347288,52.239
1536693217463306200,52.289
1536693217666196504,52.279
1536693217871095288,52.22
1536693218113803448,52.115
1536693218382601016,51.93
1536693218637370616,51.592
1536693218864042680,51.266
1536693219071415768,50.946
1536693219326773688,50.692
1536693219570678776,50.466
1536693219826624536,50.24
1536693220076324568,50.024
1536693220306182008,49.889
1536693220564589560,49.796
1536693220848628280,49.821
1536693221069538872,49.975
1536693221325686392,50.224
1536693221551860248,50.43
1536693221770016664,50.553
1536693221997709368,50.602
1536693222219143096,50.57
1536693222470750872,50.428
1536693222711754648,50.288
1536693222927224024,50.174
1536693223168562520,50.061
1536693223424213496,50.011
1536693223697897208,50.112
