%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1536693419520797464,10960,1536693419520305432,map,-17.4203478059,4.53116787603,0.0,0.0,0.0,0.0
1536693419703109880,10961,1536693419701588824,map,-17.2198108709,4.99629998787,0.0,0.0,0.0,0.0
1536693419903503736,10962,1536693419903046712,map,-17.0303455991,5.6718452707,0.0,0.0,0.0,0.0
1536693420105262744,10963,1536693420104777048,map,-16.7951103654,6.30617695721,0.0,0.0,0.0,0.0
1536693420332705688,10964,1536693420325402104,map,-16.483201232,7.03068112954,0.0,0.0,0.0,0.0
1536693420492724696,10965,1536693420492178616,map,-16.0835295863,7.83403957392,0.0,0.0,0.0,0.0
1536693420667286520,10966,1536693420666928088,map,-15.5922684744,8.58610294742,0.0,0.0,0.0,0.0
1536693420886472984,10967,1536693420885895576,map,-15.1650345547,9.22411117418,0.0,0.0,0.0,0.0
1536693421081473816,10968,1536693421080986840,map,-14.7424769515,9.81343331028,0.0,0.0,0.0,0.0
1536693421279873432,10969,1536693421279042680,map,-14.3419267276,10.2186710359,0.0,0.0,0.0,0.0
1536693421480110584,10970,1536693421479249816,map,-14.0056024432,10.542485485,0.0,0.0,0.0,0.0
1536693421675698232,10971,1536693421674854776,map,-13.6663944988,10.7698496462,0.0,0.0,0.0,0.0
1536693421880874168,10972,1536693421879762424,map,-13.4821145054,10.9996631068,0.0,0.0,0.0,0.0
1536693422067584792,10973,1536693422067222680,map,-13.2790355199,11.1819862127,0.0,0.0,0.0,0.0
1536693422324020152,10974,1536693422323230136,map,-13.1419035338,11.4039629739,0.0,0.0,0.0,0.0
1536693422531483672,10975,1536693422530761912,map,-13.0802148685,11.5805388041,0.0,0.0,0.0,0.0
1536693422725637656,10976,1536693422725243000,map,-13.0723744868,11.7993696983,0.0,0.0,0.0,0.0
1536693422926144696,10977,1536693422925597400,map,-13.0846538961,12.0530466033,0.0,0.0,0.0,0.0
1536693423116073592,10978,1536693423115286360,map,-13.1573891367,12.2394448855,0.0,0.0,0.0,0.0
1536693423285140312,10979,1536693423284039288,map,-13.2984264659,12.4400945949,0.0,0.0,0.0,0.0
1536693423474087704,10980,1536693423472684216,map,-13.4342025204,12.602325287,0.0,0.0,0.0,0.0
1536693423680987000,10981,1536693423679124440,map,-13.5841185883,12.7786627696,0.0,0.0,0.0,0.0
1536693423913747160,10982,1536693423913512664,map,-13.7640766645,12.8352091364,0.0,0.0,0.0,0.0
1536693424074534488,10983,1536693424073831608,map,-13.9611817921,12.9463123309,0.0,0.0,0.0,0.0
1536693424273680664,10984,1536693424273202584,map,-14.1471059566,13.054573645,0.0,0.0,0.0,0.0
1536693424468680024,10985,1536693424467453240,map,-14.3161309862,13.1367154794,0.0,0.0,0.0,0.0
1536693424672970296,10986,1536693424672377336,map,-14.5166523777,13.2137694752,0.0,0.0,0.0,0.0
1536693424874871832,10987,1536693424873599192,map,-14.7412153853,13.427589842,0.0,0.0,0.0,0.0
1536693425071239256,10988,1536693425070430584,map,-14.9941688492,13.6101947275,0.0,0.0,0.0,0.0
1536693425296394424,10989,1536693425294942392,map,-15.172838531,13.8595624358,0.0,0.0,0.0,0.0
1536693425499484280,10990,1536693425498966200,map,-15.3844759513,14.0430338497,0.0,0.0,0.0,0.0
1536693425715247224,10991,1536693425714830104,map,-15.6358488638,14.2125694477,0.0,0.0,0.0,0.0
1536693425878829400,10992,1536693425877585304,map,-15.7839521427,14.3321057335,0.0,0.0,0.0,0.0
1536693426117417464,10993,1536693426117019160,map,-15.8065171771,14.292309636,0.0,0.0,0.0,0.0
1536693426321258840,10994,1536693426320930200,map,-15.772004979,14.211149107,0.0,0.0,0.0,0.0
