%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1536693419523319448,27845,1536693419522770648,NED,39.7799987793,9.61367321014
1536693419549132120,27846,1536693419546811800,NED,39.7799987793,9.61367321014
1536693419663381656,27847,1536693419659546744,NED,41.4199981689,23.8746452332
1536693419674699544,27848,1536693419673826136,NED,41.4199981689,23.8746452332
1536693419738878808,27849,1536693419735691192,NED,42.969997406,23.8746452332
1536693419799192984,27850,1536693419798496824,NED,35.4399986267,23.8746452332
1536693419865203576,27851,1536693419864497336,NED,35.4300003052,23.8746452332
1536693419905189880,27852,1536693419904543576,NED,34.2299995422,23.8746452332
1536693419955439576,27853,1536693419954573592,NED,34.219997406,23.8746452332
1536693419999853048,27854,1536693419999322264,NED,32.8800010681,30.8074798584
1536693420071750968,27855,1536693420071202008,NED,32.8699989319,30.8074798584
1536693420106598168,27856,1536693420106256984,NED,31.4899997711,30.8074798584
1536693420137172696,27857,1536693420136890104,NED,31.4799995422,30.8074798584
1536693420165464888,27858,1536693420165069912,NED,31.4799995422,30.8074798584
1536693420262976760,27859,1536693420262473848,NED,29.9200000763,30.8074798584
1536693420332911096,27860,1536693420328092056,NED,28.2399997711,30.8074798584
1536693420371967000,27861,1536693420370086360,NED,28.2399997711,30.8074798584
1536693420462519704,27862,1536693420461581272,NED,26.3899993896,32.6370697021
1536693420494853496,27863,1536693420494062776,NED,26.3799991608,32.6370697021
1536693420524285464,27864,1536693420523969048,NED,24.4699993134,32.6370697021
1536693420587083992,27865,1536693420586607096,NED,24.4499988556,32.6370697021
1536693420641243096,27866,1536693420640519992,NED,22.5,32.6370697021
1536693420670492024,27867,1536693420669735416,NED,22.4899997711,32.6370697021
1536693420713814552,27868,1536693420713218008,NED,20.609998703,32.6370697021
1536693420788430456,27869,1536693420788052728,NED,20.5900001526,32.6370697021
1536693420842412408,27870,1536693420842033048,NED,18.8199996948,30.1643619537
1536693420887602328,27871,1536693420886977016,NED,18.7999992371,30.1643619537
1536693420932099064,27872,1536693420931644600,NED,17.1800003052,30.1643619537
1536693420990672376,27873,1536693420990033848,NED,17.1700000763,30.1643619537
1536693421030612408,27874,1536693421029849560,NED,15.5799999237,30.1643619537
1536693421083292632,27875,1536693421082656344,NED,15.5599994659,30.1643619537
1536693421136012344,27876,1536693421135599544,NED,14.0099992752,30.1643619537
1536693421172519832,27877,1536693421170317496,NED,14.0,30.1643619537
1536693421224087032,27878,1536693421223338072,NED,12.5399999619,25.1092643738
1536693421280725400,27879,1536693421279644312,NED,12.5199995041,25.1092643738
1536693421322649016,27880,1536693421322317912,NED,11.1999998093,25.1092643738
1536693421373878040,27881,1536693421373199448,NED,11.1799993515,25.1092643738
