%time,field.header.seq,field.header.stamp,field.header.frame_id,field.coordinate_frame,field.type_mask,field.latitude,field.longitude,field.altitude,field.velocity.x,field.velocity.y,field.velocity.z,field.acceleration_or_force.x,field.acceleration_or_force.y,field.acceleration_or_force.z,field.yaw,field.yaw_rate
1536693419526154296,27292,1536693419525460856,,5,65528,40.591458,-79.8981131,420.849975586,0.0,0.0,0.0,-17.3055858612,5.05671310425,-0.2999355793,-15.0,-0.0
1536693419566751800,27293,1536693419559253592,,5,65528,40.591458,-79.8981131,420.849975586,0.0,0.0,0.0,-17.2618179321,5.16429376602,-0.328086227179,-15.0,-0.0
1536693419665334648,27294,1536693419662276824,,5,65528,40.591458,-79.8981131,420.849975586,0.0,0.0,0.0,-17.1851348877,5.39040660858,-0.407860130072,-15.0,-0.0
1536693419681755352,27295,1536693419681297528,,5,65528,40.591458,-79.8981131,420.849975586,0.0,0.0,0.0,-17.1633701324,5.4593205452,-0.434650987387,-15.0,-0.0
1536693419741718136,27296,1536693419740506072,,5,65528,40.591458,-79.8981131,420.849975586,3.94430452611e-31,16.0,-1.95943496414e-15,-17.0743637085,5.71118736267,-0.520975589752,-15.0,-0.0
1536693419801949048,27297,1536693419801016280,,5,65528,40.591458,-79.8981131,420.849975586,3.94430452611e-31,16.0,-1.95943496414e-15,-17.004404068,5.90691184998,-0.595986127853,-16.0,-0.0
1536693419867117112,27298,1536693419866536536,,5,65528,40.591458,-79.8981131,420.849975586,3.94430452611e-31,16.0,-1.95943496414e-15,-16.9479408264,6.06195402145,-0.635198831558,-16.0,-0.0
1536693419908791864,27299,1536693419908091160,,5,65528,40.591458,-79.8981131,420.849975586,3.94430452611e-31,16.0,-1.95943496414e-15,-16.8803672791,6.28815221786,-0.711028695107,-16.0,-0.0
1536693419963821528,27300,1536693419959923192,,5,65528,40.591458,-79.8981131,420.849975586,3.94430452611e-31,16.0,-1.95943496414e-15,-16.8236255646,6.44750547409,-0.757028758526,-16.0,-0.0
1536693420003266520,27301,1536693420002123768,,5,65528,40.591458,-79.8981131,420.849975586,3.94430452611e-31,16.0,-1.95943496414e-15,-16.7533569336,6.68707704544,-0.85091227293,-16.0,-0.0
1536693420074417976,27302,1536693420074151608,,5,65528,40.591458,-79.8981131,420.849975586,3.94430452611e-31,16.0,-1.95943496414e-15,-16.6757164001,6.90689229965,-0.956367969513,-16.0,-0.0
1536693420108906456,27303,1536693420108252696,,5,65528,40.591458,-79.8981131,420.849975586,3.94430452611e-31,16.0,-1.95943496414e-15,-16.6107769012,7.07939863205,-1.02847337723,-16.0,-0.0
1536693420138182008,27304,1536693420137761304,,5,65528,40.591458,-79.8981131,420.849975586,3.94430452611e-31,16.0,-1.95943496414e-15,-16.5546302795,7.2301659584,-1.09859311581,-16.0,-0.0
1536693420180536824,27305,1536693420180288216,,5,65528,40.591458,-79.8981131,420.849975586,3.94430452611e-31,16.0,-1.95943496414e-15,-16.4802322388,7.40161848068,-1.16092133522,-16.0,-0.0
1536693420268509208,27306,1536693420268104344,,5,65528,40.591458,-79.8981131,420.849975586,3.94430452611e-31,16.0,-1.95943496414e-15,-16.3397884369,7.72803783417,-1.27569413185,-16.0,-0.0
