%time,field.data
1536693546798842648,71.078
1536693547059367256,71.338
1536693547230623832,71.546
1536693547480423512,71.691
1536693547741685176,71.634
1536693547998247416,71.311
1536693548271907320,70.714
1536693548488808920,69.997
1536693548758992952,68.878
1536693548962996088,67.952
1536693549189964664,66.783
1536693549423608728,65.627
1536693549686556760,64.169
1536693549935380824,62.737
1536693550197045752,61.033
1536693550447521656,59.489
1536693550678346040,57.852
1536693550915080120,56.206
1536693551145342552,54.688
1536693551396041016,52.886
1536693551613793880,51.395
1536693551928212728,49.566
1536693552130371032,48.181
1536693552382113112,47.071
1536693552652162616,46.246
1536693552894978552,45.936
1536693553121148056,46.016
1536693553377475160,46.396
1536693553613833048,46.962
1536693553865575416,47.608
1536693554090544728,48.226
1536693554367012824,48.981
1536693554606279288,49.531
1536693554805124024,49.961
1536693555022856664,50.266
1536693555322280792,50.542
1536693555556540664,50.597
1536693555784917368,50.539
1536693556034782840,50.36
1536693556278680760,50.158
1536693556481088760,49.939
1536693556708259224,49.717
1536693556953248728,49.492
1536693557190618232,49.302
1536693557461563096,49.137
1536693557688002648,49.087
1536693557937931096,49.103
1536693558185211768,49.233
1536693558423948152,49.434
1536693558651137464,49.663
1536693558934575032,49.965
1536693559142976888,50.174
1536693559377896184,50.404
1536693559581854232,50.646
1536693559851051576,50.93
1536693560076333688,51.173
1536693560325603224,51.375
1536693560572431896,51.533
1536693560812752024,51.662
1536693561063347672,51.744
1536693561333970936,51.813
1536693561541518488,51.815
1536693561843803064,51.714
1536693562062503672,51.568
1536693562257212792,51.406
1536693562495119128,51.143
1536693562749098520,50.833
1536693562982025560,50.551
1536693563238018872,50.28
1536693563503887448,50.066
1536693563734831832,49.902
1536693563978280728,49.771
1536693564210456088,49.684
1536693564443265208,49.64
1536693564705675000,49.665
1536693564989385688,49.755
1536693565201986712,49.883
1536693565439888632,49.993
1536693565687943224,50.044
1536693565962888984,50.066
1536693566183370552,50.093
1536693566459419800,50.158
1536693566679227128,50.267
1536693566928209848,50.373
1536693567205400536,50.421
1536693567464892856,50.417
1536693567699450424,50.395
1536693567900007544,50.379
1536693568156981400,50.366
1536693568392743576,50.372
1536693568633284312,50.404
1536693568856884664,50.427
1536693569114797080,50.446
1536693569369491256,50.456
1536693569601250168,50.478
1536693569868178936,50.499
1536693570094345112,50.534
1536693570368232888,50.556
1536693570576752088,50.529
1536693570840993752,50.434
1536693571079309656,50.306
1536693571364743992,50.115
1536693571583627224,49.981
1536693571815314776,49.853
1536693572066326200,49.761
1536693572303003896,49.698
1536693572528771736,49.686
1536693572791083320,49.714
1536693573011827800,49.78
1536693573300444920,49.857
1536693573519207416,49.91
1536693573730055256,49.938
1536693573976391928,49.935
1536693574220259320,49.907
1536693574466149176,49.869
1536693574696207960,49.837
1536693574958498104,49.797
1536693575182452984,49.766
1536693575430916056,49.737
1536693575691211512,49.706
1536693575931973880,49.698
1536693576132303960,49.681
1536693576361856472,49.648
1536693576583839544,49.65
1536693576844223288,49.773
1536693577092645016,50.057
1536693577328152440,50.351
1536693577602323128,50.722
1536693577821937272,51.104
1536693578083268632,51.575
1536693578376116984,52.102
1536693578575450680,52.439
1536693578848094168,52.84
1536693579068184952,53.096
1536693579286008408,53.277
1536693579541822904,53.39
1536693579774084088,53.405
1536693580090960856,53.31
1536693580250168280,53.196
1536693580513682200,52.898
1536693580769732248,52.561
1536693580949679896,52.267
1536693581223670136,51.802
1536693581464352024,51.496
1536693581725950104,51.198
1536693581927848056,51.032
1536693582160516248,50.938
1536693582378606424,50.895
1536693582621151800,50.901
1536693582869769272,50.91
1536693583165406264,50.884
1536693583396507576,50.823
1536693583628206168,50.755
1536693583852948728,50.632
1536693584081052568,50.477
1536693584332201112,50.285
1536693584566667992,50.134
1536693584803787096,49.967
1536693585030443864,49.833
1536693585294062072,49.715
1536693585512982840,49.64
1536693585817957464,49.557
1536693586004890872,49.507
1536693586308145976,49.404
1536693586495967864,49.32
1536693586739196856,49.118
1536693586982698584,48.871
1536693587246480248,48.525
1536693587433709368,48.242
1536693587692766456,47.876
1536693587919886648,47.595
1536693588166852024,47.32
1536693588423321464,47.101
1536693588641459224,46.953
1536693588912711896,46.827
1536693589190551416,46.768
1536693589411987736,46.816
1536693589601377336,46.99
1536693589837171992,47.362
1536693590074301400,47.768
1536693590295499544,48.173
1536693590531251864,48.66
1536693590799048824,49.264
1536693591043702840,49.996
1536693591312763736,50.722
1536693591544817144,51.321
1536693591824804248,51.858
1536693592029822744,52.171
1536693592250131896,52.478
1536693592525410488,52.764
1536693592745053848,52.912
1536693593016773048,52.981
1536693593240231736,52.954
1536693593519397112,52.879
1536693593750662744,52.682
1536693594010934264,52.345
1536693594269220280,51.972
1536693594497357240,51.611
1536693594718156504,51.293
1536693594986497336,50.837
1536693595194414744,50.489
1536693595431081528,50.17
1536693595681457048,49.843
1536693595914352600,49.619
1536693596219746488,49.46
1536693596397048600,49.409
1536693596645116184,49.39
1536693596883178840,49.42
1536693597166390168,49.535
1536693597401462616,49.66
1536693597630440920,49.761
1536693597891838232,49.828
1536693598140161912,49.881
1536693598397026904,49.901
1536693598664483064,49.935
1536693598892066776,49.908
1536693599141750072,49.738
1536693599380693464,49.342
1536693599626315000,48.764
1536693599887836952,48.079
1536693600090693400,47.57
1536693600333843512,46.992
1536693600609080568,46.485
1536693600806485624,46.105
1536693601049483064,45.805
1536693601308892408,45.549
1536693601532445592,45.431
1536693601747991544,45.416
1536693601937957528,45.462
1536693602186846296,45.553
1536693602441272760,45.726
1536693602709261784,45.922
1536693602927003896,46.111
1536693603216042648,46.313
1536693603414291192,46.438
1536693603670992504,46.572
1536693603898584248,46.681
1536693604160507256,46.803
1536693604371967736,46.87
1536693604667593784,46.938
1536693604888461624,46.975
1536693605131246776,47.008
1536693605393112312,47.033
1536693605627063416,47.065
1536693605881872056,47.103
1536693606098604408,47.165
1536693606325866648,47.273
1536693606609473784,47.393
1536693606847932824,47.582
1536693607102391544,47.745
1536693607367974072,48.006
1536693607535749496,48.205
1536693607772896344,48.452
1536693607991517560,48.746
1536693608242723384,49.082
1536693608441585048,49.37
1536693608699260920,49.738
1536693608923452120,50.041
1536693609172144504,50.277
1536693609375532568,50.502
1536693609644690968,50.757
1536693609943733400,51.2
1536693610139624184,51.747
1536693610379273720,52.492
1536693610618151000,53.463
1536693610901659672,54.693
1536693611123118616,55.775
1536693611355536600,56.863
1536693611584392696,57.914
1536693611855923064,59.27
1536693612103603352,60.606
1536693612347193848,61.985
1536693612578239576,63.371
1536693612795456696,64.695
1536693613032728728,65.794
1536693613229989560,66.686
1536693613536641976,67.803
1536693613735631960,68.46
1536693613982794008,69.019
1536693614194452920,69.566
1536693614443832088,70.067
1536693614699715800,70.495
1536693614934377016,70.825
1536693615182009848,71.015
1536693615407518328,71.092
1536693615637962968,71.065
