%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fluid_pressure,field.variance
1536693546566603192,22992,1536693546565980632,base_link,97442.0043945,0.0
1536693546683962808,22993,1536693546683377720,base_link,97437.5976562,0.0
1536693546781623096,22994,1536693546781197912,base_link,97436.5661621,0.0
1536693546873510808,22995,1536693546873057784,base_link,97426.550293,0.0
1536693547051009688,22996,1536693547050324376,base_link,97425.0305176,0.0
1536693547084990168,22997,1536693547084349784,base_link,97425.0305176,0.0
1536693547170548472,22998,1536693547169853048,base_link,97421.2585449,0.0
1536693547308529752,22999,1536693547307003032,base_link,97411.2426758,0.0
1536693547373960024,23000,1536693547372176376,base_link,97411.2426758,0.0
1536693547479271032,23001,1536693547478727480,base_link,97411.1938477,0.0
1536693547592554328,23002,1536693547591554776,base_link,97407.4951172,0.0
1536693547677251480,23003,1536693547676648696,base_link,97407.4951172,0.0
1536693547806845144,23004,1536693547806234680,base_link,97405.6762695,0.0
1536693547892433336,23005,1536693547891526488,base_link,97405.6762695,0.0
1536693547980234264,23006,1536693547978107416,base_link,97402.8259277,0.0
1536693548071128536,23007,1536693548070818008,base_link,97408.6853027,0.0
1536693548188016536,23008,1536693548177588312,base_link,97411.5234375,0.0
1536693548283395640,23009,1536693548283042680,base_link,97415.7470703,0.0
1536693548378725336,23010,1536693548378152184,base_link,97415.7470703,0.0
1536693548485867544,23011,1536693548485261144,base_link,97417.755127,0.0
1536693548587866840,23012,1536693548587578712,base_link,97425.2563477,0.0
1536693548674591992,23013,1536693548674287416,base_link,97425.2563477,0.0
1536693548797256664,23014,1536693548796824568,base_link,97431.4147949,0.0
1536693548878582392,23015,1536693548877444248,base_link,97431.4147949,0.0
1536693548969524568,23016,1536693548966442616,base_link,97435.9741211,0.0
1536693549092064536,23017,1536693549091591768,base_link,97452.130127,0.0
1536693549171579192,23018,1536693549171325368,base_link,97452.130127,0.0
1536693549295516152,23019,1536693549295192440,base_link,97461.5356445,0.0
1536693549378805688,23020,1536693549378345176,base_link,97462.1704102,0.0
1536693549498218040,23021,1536693549496933400,base_link,97478.8635254,0.0
1536693549591843512,23022,1536693549591321752,base_link,97487.9760742,0.0
1536693549685204952,23023,1536693549684942840,base_link,97495.2819824,0.0
1536693549779024984,23024,1536693549778708856,base_link,97495.2819824,0.0
1536693549890566264,23025,1536693549890008792,base_link,97501.3793945,0.0
1536693549979052664,23026,1536693549978538136,base_link,97509.967041,0.0
1536693550092129464,23027,1536693550091811992,base_link,97525.6469727,0.0
1536693550186719704,23028,1536693550182257656,base_link,97525.6469727,0.0
1536693550273806232,23029,1536693550273411768,base_link,97530.6640625,0.0
1536693550369929144,23030,1536693550369687416,base_link,97538.1835938,0.0
1536693550491210968,23031,1536693550490956312,base_link,97557.635498,0.0
1536693550575969720,23032,1536693550573019960,base_link,97557.635498,0.0
1536693550694388728,23033,1536693550694021464,base_link,97570.880127,0.0
1536693550818298264,23034,1536693550817321720,base_link,97581.5673828,0.0
1536693550879320312,23035,1536693550878704728,base_link,97581.5673828,0.0
1536693550979685016,23036,1536693550979417368,base_link,97589.074707,0.0
1536693551071406328,23037,1536693551071125880,base_link,97597.9248047,0.0
1536693551173669560,23038,1536693551171693880,base_link,97606.4331055,0.0
1536693551310118904,23039,1536693551309867256,base_link,97617.980957,0.0
1536693551394718616,23040,1536693551394409944,base_link,97625.5615234,0.0
1536693551491576664,23041,1536693551491057368,base_link,97625.5615234,0.0
1536693551578518072,23042,1536693551578030968,base_link,97637.7502441,0.0
1536693551680331864,23043,1536693551680023864,base_link,97643.3288574,0.0
1536693551821550136,23044,1536693551818775736,base_link,97664.0625,0.0
1536693551919510136,23045,1536693551918301496,base_link,97672.5341797,0.0
1536693552000328632,23046,1536693552000045592,base_link,97682.0678711,0.0
1536693552071022744,23047,1536693552070513880,base_link,97682.0678711,0.0
1536693552180450552,23048,1536693552180247096,base_link,97691.2780762,0.0
1536693552309509688,23049,1536693552309032440,base_link,97704.5593262,0.0
1536693552380297176,23050,1536693552379981208,base_link,97704.5593262,0.0
1536693552491040120,23051,1536693552490799640,base_link,97717.1203613,0.0
1536693552593470584,23052,1536693552592973400,base_link,97717.1203613,0.0
1536693552689676856,23053,1536693552689389176,base_link,97723.4130859,0.0
1536693552810907192,23054,1536693552810564920,base_link,97725.9094238,0.0
1536693552893196824,23055,1536693552892715896,base_link,97725.9094238,0.0
1536693552974785560,23056,1536693552974367384,base_link,97733.0810547,0.0
1536693553085667480,23057,1536693553085371160,base_link,97729.1870117,0.0
1536693553165000664,23058,1536693553164370456,base_link,97729.1870117,0.0
1536693553300315512,23059,1536693553299983736,base_link,97729.0222168,0.0
1536693553380171896,23060,1536693553379945112,base_link,97733.9172363,0.0
1536693553473924824,23061,1536693553473705240,base_link,97733.9172363,0.0
1536693553552272024,23062,1536693553551447160,base_link,97720.5505371,0.0
1536693553690761304,23063,1536693553690124216,base_link,97721.6003418,0.0
1536693553772821464,23064,1536693553772276568,base_link,97715.7409668,0.0
1536693553871756056,23065,1536693553871529624,base_link,97715.7409668,0.0
1536693553972549112,23066,1536693553972032440,base_link,97719.4213867,0.0
1536693554059934584,23067,1536693554059142904,base_link,97711.8164062,0.0
1536693554190354680,23068,1536693554187642008,base_link,97704.5288086,0.0
1536693554291746872,23069,1536693554291483000,base_link,97700.3417969,0.0
1536693554385260312,23070,1536693554384977080,base_link,97692.9199219,0.0
1536693554482699640,23071,1536693554482422296,base_link,97692.9199219,0.0
1536693554592335864,23072,1536693554591802712,base_link,97688.9038086,0.0
1536693554670447256,23073,1536693554670106808,base_link,97688.9038086,0.0
1536693554771350744,23074,1536693554771074840,base_link,97686.2854004,0.0
1536693554911031736,23075,1536693554910753688,base_link,97679.9926758,0.0
1536693554976909720,23076,1536693554975858904,base_link,97679.9926758,0.0
1536693555070141912,23077,1536693555069803736,base_link,97675.5432129,0.0
1536693555179028504,23078,1536693555178559896,base_link,97680.1330566,0.0
1536693555282648504,23079,1536693555282111256,base_link,97670.4772949,0.0
1536693555373045880,23080,1536693555372679864,base_link,97671.8078613,0.0
1536693555498483000,23081,1536693555498231768,base_link,97670.2697754,0.0
1536693555573241752,23082,1536693555572961944,base_link,97670.2697754,0.0
1536693555686309784,23083,1536693555683795928,base_link,97671.4538574,0.0
1536693555783122904,23084,1536693555781798872,base_link,97671.4538574,0.0
1536693555892052600,23085,1536693555891757688,base_link,97672.9431152,0.0
1536693555985957016,23086,1536693555985478552,base_link,97667.3095703,0.0
1536693556077902744,23087,1536693556077680216,base_link,97669.6472168,0.0
1536693556217425720,23088,1536693556216735928,base_link,97675.5615234,0.0
1536693556273164728,23089,1536693556272660792,base_link,97675.5615234,0.0
1536693556373443416,23090,1536693556372824344,base_link,97677.7954102,0.0
1536693556469390904,23091,1536693556468761528,base_link,97671.6491699,0.0
1536693556585175256,23092,1536693556581439512,base_link,97676.3000488,0.0
1536693556669649496,23093,1536693556668514616,base_link,97678.0273438,0.0
1536693556794197688,23094,1536693556793827576,base_link,97679.3579102,0.0
1536693556901247736,23095,1536693556900814008,base_link,97678.1616211,0.0
1536693556966662360,23096,1536693556966175896,base_link,97678.1616211,0.0
1536693557080127096,23097,1536693557079822040,base_link,97680.7067871,0.0
1536693557187651896,23098,1536693557187210264,base_link,97685.2539062,0.0
1536693557291952856,23099,1536693557291592856,base_link,97676.763916,0.0
1536693557397575928,23100,1536693557396682808,base_link,97683.1176758,0.0
1536693557500684664,23101,1536693557500380056,base_link,97687.310791,0.0
1536693557577059928,23102,1536693557576403256,base_link,97687.310791,0.0
1536693557686464312,23103,1536693557686145304,base_link,97683.7341309,0.0
1536693557784292632,23104,1536693557784081240,base_link,97684.6435547,0.0
1536693557901348088,23105,1536693557897687032,base_link,97689.2700195,0.0
1536693558006463512,23106,1536693558006007416,base_link,97688.3422852,0.0
1536693558084998808,23107,1536693558083945240,base_link,97688.3422852,0.0
1536693558182876120,23108,1536693558182138488,base_link,97681.7016602,0.0
1536693558301048504,23109,1536693558300740088,base_link,97683.4716797,0.0
1536693558380731608,23110,1536693558371437304,base_link,97682.0495605,0.0
1536693558486134648,23111,1536693558477372248,base_link,97682.2814941,0.0
1536693558578599416,23112,1536693558578075032,base_link,97681.060791,0.0
1536693558668520344,23113,1536693558668165560,base_link,97679.0466309,0.0
1536693558788293208,23114,1536693558787031160,base_link,97677.0629883,0.0
1536693558910686296,23115,1536693558909285880,base_link,97679.1625977,0.0
1536693558954402008,23116,1536693558954041464,base_link,97679.1625977,0.0
1536693559078558040,23117,1536693559077984920,base_link,97671.2341309,0.0
1536693559218617976,23118,1536693559217553752,base_link,97668.4020996,0.0
1536693559274351544,23119,1536693559272180536,base_link,97668.4020996,0.0
1536693559382462424,23120,1536693559381904856,base_link,97669.2260742,0.0
1536693559500843544,23121,1536693559499745784,base_link,97667.0776367,0.0
1536693559579057752,23122,1536693559578354008,base_link,97665.1672363,0.0
1536693559683229976,23123,1536693559682871032,base_link,97663.067627,0.0
1536693559792330392,23124,1536693559789785784,base_link,97661.920166,0.0
1536693559939504600,23125,1536693559938996920,base_link,97660.7299805,0.0
1536693559994407160,23126,1536693559993854232,base_link,97660.7299805,0.0
1536693560073373688,23127,1536693560072961016,base_link,97653.8269043,0.0
1536693560187785080,23128,1536693560187346360,base_link,97656.6711426,0.0
1536693560281531608,23129,1536693560280963992,base_link,97654.8706055,0.0
1536693560400363384,23130,1536693560399832056,base_link,97650.6713867,0.0
1536693560506724856,23131,1536693560502520440,base_link,97654.9926758,0.0
1536693560578481016,23132,1536693560578147288,base_link,97654.9926758,0.0
1536693560693579288,23133,1536693560692883288,base_link,97649.5666504,0.0
1536693560771783832,23134,1536693560771426424,base_link,97649.5666504,0.0
1536693560878382648,23135,1536693560877954008,base_link,97649.005127,0.0
1536693561002187192,23136,1536693561001670168,base_link,97648.6083984,0.0
1536693561074458520,23137,1536693561073495576,base_link,97648.6083984,0.0
1536693561178865112,23138,1536693561178067544,base_link,97644.2626953,0.0
1536693561282816984,23139,1536693561282434744,base_link,97647.5036621,0.0
1536693561360828504,23140,1536693561360073400,base_link,97647.5585938,0.0
1536693561512907864,23141,1536693561507438552,base_link,97646.4111328,0.0
1536693561589305848,23142,1536693561588973784,base_link,97647.1252441,0.0
1536693561688700568,23143,1536693561688269432,base_link,97647.467041,0.0
1536693561811798360,23144,1536693561811416664,base_link,97648.6450195,0.0
1536693561904970232,23145,1536693561898014104,base_link,97646.9482422,0.0
1536693561985247544,23146,1536693561984842808,base_link,97646.9482422,0.0
1536693562094951768,23147,1536693562094628152,base_link,97647.4121094,0.0
1536693562198795992,23148,1536693562195538104,base_link,97651.0131836,0.0
1536693562328392504,23149,1536693562327652568,base_link,97652.2705078,0.0
1536693562384195544,23150,1536693562383174136,base_link,97652.2705078,0.0
1536693562492392216,23151,1536693562492099672,base_link,97654.3334961,0.0
1536693562594113016,23152,1536693562593709112,base_link,97660.0341797,0.0
1536693562684211608,23153,1536693562683771864,base_link,97660.0341797,0.0
1536693562774420472,23154,1536693562773729464,base_link,97661.7004395,0.0
1536693562903202712,23155,1536693562902881112,base_link,97663.7390137,0.0
1536693562979182584,23156,1536693562978889848,base_link,97663.7390137,0.0
