%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1536693546565675512,22993,1536693546565085400,base_link,-1547000.0,43000.0,-1754000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693546679695416,22994,1536693546678976696,base_link,-1015000.0,8000.0,-1502000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693546776359000,22995,1536693546775854936,base_link,-775000.0,8000.0,-1444000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693546871811512,22996,1536693546870542296,base_link,-675000.0,-84000.0,-995000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693547048334136,22997,1536693547047600984,base_link,-404000.0,-148000.0,-806000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693547082851736,22998,1536693547082190200,base_link,-404000.0,-148000.0,-806000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693547168773464,22999,1536693547168304760,base_link,-332000.0,-162000.0,-755000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693547308180184,23000,1536693547302009624,base_link,-204000.0,-189000.0,-644000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693547373886904,23001,1536693547370303896,base_link,-204000.0,-189000.0,-644000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693547476818296,23002,1536693547476061400,base_link,-160000.0,-201000.0,-613000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693547587951544,23003,1536693547586077176,base_link,-103000.0,-211000.0,-578000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693547673943544,23004,1536693547673081144,base_link,-55000.0,-219000.0,-538000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693547804254104,23005,1536693547802892408,base_link,25000.0,-226000.0,-490000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693547890035928,23006,1536693547888755544,base_link,25000.0,-226000.0,-490000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693547975116408,23007,1536693547974268216,base_link,60000.0,-226000.0,-468000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693548056903672,23008,1536693548055924152,base_link,92000.0,-229000.0,-447000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693548187206680,23009,1536693548175232184,base_link,119000.0,-225000.0,-435000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693548282435160,23010,1536693548281669944,base_link,165000.0,-213000.0,-415000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693548376501176,23011,1536693548375751800,base_link,165000.0,-213000.0,-415000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693548482984568,23012,1536693548482372184,base_link,184000.0,-206000.0,-408000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693548586553944,23013,1536693548585867896,base_link,190000.0,-197000.0,-410000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693548672684408,23014,1536693548672024088,base_link,198000.0,-188000.0,-409000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693548794864152,23015,1536693548794292280,base_link,213000.0,-178000.0,-404000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693548878294776,23016,1536693548876864792,base_link,213000.0,-178000.0,-404000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693548965487800,23017,1536693548964882456,base_link,208000.0,-172000.0,-409000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693549071428472,23018,1536693549070967224,base_link,210000.0,-168000.0,-412000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693549167048568,23019,1536693549166579800,base_link,211000.0,-162000.0,-415000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693549294141752,23020,1536693549293706456,base_link,212000.0,-153000.0,-417000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693549376444088,23021,1536693549376017656,base_link,213000.0,-144000.0,-422000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693549496041880,23022,1536693549494835576,base_link,216000.0,-126000.0,-427000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693549589882712,23023,1536693549589051960,base_link,216000.0,-126000.0,-427000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693549683142840,23024,1536693549682611416,base_link,218000.0,-120000.0,-428000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693549777980664,23025,1536693549777108024,base_link,217000.0,-113000.0,-429000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693549887845176,23026,1536693549887058328,base_link,217000.0,-111000.0,-432000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693549976058008,23027,1536693549975368600,base_link,212000.0,-108000.0,-436000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693550078077144,23028,1536693550077371480,base_link,210000.0,-107000.0,-438000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
