%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1536693546566525048,22992,1536693546565980632,base_link,40.56,0.0
1536693546683943672,22993,1536693546683377720,base_link,40.55,0.0
1536693546781586904,22994,1536693546781197912,base_link,40.55,0.0
1536693546873434968,22995,1536693546873057784,base_link,40.55,0.0
1536693547050915704,22996,1536693547050324376,base_link,40.54,0.0
1536693547084954136,22997,1536693547084349784,base_link,40.54,0.0
1536693547170366872,22998,1536693547169853048,base_link,40.54,0.0
1536693547308516312,22999,1536693547307003032,base_link,40.53,0.0
1536693547373903352,23000,1536693547372176376,base_link,40.53,0.0
1536693547478950360,23001,1536693547478727480,base_link,40.53,0.0
1536693547592526808,23002,1536693547591554776,base_link,40.53,0.0
1536693547677198648,23003,1536693547676648696,base_link,40.53,0.0
1536693547806769912,23004,1536693547806234680,base_link,40.52,0.0
1536693547892246872,23005,1536693547891526488,base_link,40.52,0.0
1536693547980171896,23006,1536693547978107416,base_link,40.52,0.0
1536693548071062872,23007,1536693548070818008,base_link,40.52,0.0
1536693548187891640,23008,1536693548177588312,base_link,40.51,0.0
1536693548283352248,23009,1536693548283042680,base_link,40.51,0.0
1536693548378671544,23010,1536693548378152184,base_link,40.51,0.0
1536693548485828472,23011,1536693548485261144,base_link,40.5,0.0
1536693548587820600,23012,1536693548587578712,base_link,40.5,0.0
1536693548674531512,23013,1536693548674287416,base_link,40.5,0.0
1536693548797241816,23014,1536693548796824568,base_link,40.49,0.0
1536693548878568216,23015,1536693548877444248,base_link,40.49,0.0
1536693548969501112,23016,1536693548966442616,base_link,40.49,0.0
1536693549092048440,23017,1536693549091591768,base_link,40.49,0.0
1536693549171553080,23018,1536693549171325368,base_link,40.49,0.0
1536693549295465240,23019,1536693549295192440,base_link,40.48,0.0
1536693549378786232,23020,1536693549378345176,base_link,40.48,0.0
1536693549498200376,23021,1536693549496933400,base_link,40.48,0.0
1536693549591505976,23022,1536693549591321752,base_link,40.48,0.0
1536693549685185720,23023,1536693549684942840,base_link,40.47,0.0
1536693549779008632,23024,1536693549778708856,base_link,40.47,0.0
1536693549890546232,23025,1536693549890008792,base_link,40.47,0.0
1536693549979009304,23026,1536693549978538136,base_link,40.47,0.0
1536693550092058712,23027,1536693550091811992,base_link,40.47,0.0
1536693550182609400,23028,1536693550182257656,base_link,40.47,0.0
1536693550273778840,23029,1536693550273411768,base_link,40.46,0.0
1536693550369888280,23030,1536693550369687416,base_link,40.46,0.0
1536693550491197976,23031,1536693550490956312,base_link,40.46,0.0
1536693550575957208,23032,1536693550573019960,base_link,40.46,0.0
1536693550694351000,23033,1536693550694021464,base_link,40.45,0.0
1536693550818286104,23034,1536693550817321720,base_link,40.45,0.0
1536693550879285784,23035,1536693550878704728,base_link,40.45,0.0
1536693550979650168,23036,1536693550979417368,base_link,40.45,0.0
1536693551071267704,23037,1536693551071125880,base_link,40.44,0.0
1536693551173554296,23038,1536693551171693880,base_link,40.44,0.0
1536693551310073944,23039,1536693551309867256,base_link,40.44,0.0
1536693551394712472,23040,1536693551394409944,base_link,40.44,0.0
1536693551491508344,23041,1536693551491057368,base_link,40.44,0.0
1536693551578518232,23042,1536693551578030968,base_link,40.43,0.0
1536693551680279160,23043,1536693551680023864,base_link,40.43,0.0
1536693551821554680,23044,1536693551818775736,base_link,40.43,0.0
1536693551919495832,23045,1536693551918301496,base_link,40.43,0.0
1536693552000315736,23046,1536693552000045592,base_link,40.43,0.0
1536693552070979800,23047,1536693552070513880,base_link,40.43,0.0
1536693552180427672,23048,1536693552180247096,base_link,40.42,0.0
1536693552309475992,23049,1536693552309032440,base_link,40.42,0.0
1536693552380281880,23050,1536693552379981208,base_link,40.42,0.0
1536693552490932152,23051,1536693552490799640,base_link,40.41,0.0
1536693552593449208,23052,1536693552592973400,base_link,40.41,0.0
1536693552689636856,23053,1536693552689389176,base_link,40.41,0.0
1536693552810863896,23054,1536693552810564920,base_link,40.4,0.0
1536693552893143704,23055,1536693552892715896,base_link,40.4,0.0
1536693552974754648,23056,1536693552974367384,base_link,40.41,0.0
1536693553085603896,23057,1536693553085371160,base_link,40.4,0.0
1536693553164564696,23058,1536693553164370456,base_link,40.4,0.0
1536693553300230104,23059,1536693553299983736,base_link,40.4,0.0
1536693553380108216,23060,1536693553379945112,base_link,40.39,0.0
1536693553473911832,23061,1536693553473705240,base_link,40.39,0.0
1536693553552247288,23062,1536693553551447160,base_link,40.39,0.0
1536693553690708728,23063,1536693553690124216,base_link,40.39,0.0
1536693553772789464,23064,1536693553772276568,base_link,40.38,0.0
1536693553871740824,23065,1536693553871529624,base_link,40.38,0.0
1536693553972534424,23066,1536693553972032440,base_link,40.39,0.0
1536693554059922584,23067,1536693554059142904,base_link,40.38,0.0
1536693554190354616,23068,1536693554187642008,base_link,40.38,0.0
1536693554291691288,23069,1536693554291483000,base_link,40.38,0.0
1536693554385216856,23070,1536693554384977080,base_link,40.37,0.0
1536693554482634456,23071,1536693554482422296,base_link,40.37,0.0
1536693554592297688,23072,1536693554591802712,base_link,40.37,0.0
1536693554670296312,23073,1536693554670106808,base_link,40.37,0.0
1536693554771353240,23074,1536693554771074840,base_link,40.37,0.0
1536693554910961528,23075,1536693554910753688,base_link,40.36,0.0
1536693554976885432,23076,1536693554975858904,base_link,40.36,0.0
1536693555070128536,23077,1536693555069803736,base_link,40.36,0.0
1536693555178755064,23078,1536693555178559896,base_link,40.36,0.0
1536693555282321304,23079,1536693555282111256,base_link,40.36,0.0
1536693555372999800,23080,1536693555372679864,base_link,40.36,0.0
1536693555498463960,23081,1536693555498231768,base_link,40.35,0.0
1536693555573201400,23082,1536693555572961944,base_link,40.35,0.0
1536693555686171960,23083,1536693555683795928,base_link,40.35,0.0
1536693555783110168,23084,1536693555781798872,base_link,40.35,0.0
1536693555891993656,23085,1536693555891757688,base_link,40.35,0.0
1536693555985959160,23086,1536693555985478552,base_link,40.35,0.0
1536693556077890136,23087,1536693556077680216,base_link,40.34,0.0
1536693556216975640,23088,1536693556216735928,base_link,40.34,0.0
1536693556272839096,23089,1536693556272660792,base_link,40.34,0.0
1536693556373258104,23090,1536693556372824344,base_link,40.34,0.0
1536693556469378264,23091,1536693556468761528,base_link,40.33,0.0
1536693556585070200,23092,1536693556581439512,base_link,40.33,0.0
1536693556669430872,23093,1536693556668514616,base_link,40.33,0.0
1536693556794073336,23094,1536693556793827576,base_link,40.33,0.0
1536693556901169560,23095,1536693556900814008,base_link,40.33,0.0
1536693556966635032,23096,1536693556966175896,base_link,40.33,0.0
1536693557080120344,23097,1536693557079822040,base_link,40.32,0.0
1536693557187631992,23098,1536693557187210264,base_link,40.32,0.0
1536693557291832280,23099,1536693557291592856,base_link,40.32,0.0
1536693557397466904,23100,1536693557396682808,base_link,40.31,0.0
1536693557500682360,23101,1536693557500380056,base_link,40.31,0.0
1536693557577033880,23102,1536693557576403256,base_link,40.31,0.0
1536693557686464056,23103,1536693557686145304,base_link,40.31,0.0
1536693557784223928,23104,1536693557784081240,base_link,40.31,0.0
1536693557901293656,23105,1536693557897687032,base_link,40.3,0.0
1536693558006313848,23106,1536693558006007416,base_link,40.3,0.0
1536693558084952344,23107,1536693558083945240,base_link,40.3,0.0
1536693558182742232,23108,1536693558182138488,base_link,40.29,0.0
1536693558300989912,23109,1536693558300740088,base_link,40.29,0.0
1536693558371686232,23110,1536693558371437304,base_link,40.3,0.0
1536693558486180280,23111,1536693558477372248,base_link,40.29,0.0
1536693558578541944,23112,1536693558578075032,base_link,40.29,0.0
1536693558668482456,23113,1536693558668165560,base_link,40.29,0.0
1536693558788255096,23114,1536693558787031160,base_link,40.28,0.0
1536693558910578168,23115,1536693558909285880,base_link,40.28,0.0
1536693558954371256,23116,1536693558954041464,base_link,40.28,0.0
1536693559078499512,23117,1536693559077984920,base_link,40.28,0.0
1536693559218582904,23118,1536693559217553752,base_link,40.27,0.0
1536693559274291480,23119,1536693559272180536,base_link,40.27,0.0
1536693559382396792,23120,1536693559381904856,base_link,40.27,0.0
1536693559500083480,23121,1536693559499745784,base_link,40.27,0.0
1536693559579064056,23122,1536693559578354008,base_link,40.27,0.0
1536693559683134520,23123,1536693559682871032,base_link,40.26,0.0
1536693559792270936,23124,1536693559789785784,base_link,40.26,0.0
1536693559939391064,23125,1536693559938996920,base_link,40.26,0.0
1536693559994343384,23126,1536693559993854232,base_link,40.26,0.0
1536693560073287768,23127,1536693560072961016,base_link,40.25,0.0
1536693560187677176,23128,1536693560187346360,base_link,40.25,0.0
1536693560281428920,23129,1536693560280963992,base_link,40.25,0.0
1536693560400332344,23130,1536693560399832056,base_link,40.25,0.0
