%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1536693546802676696,9691,1536693546801747480,map,-275.881866455,74.125213623,71.0783004761,-0.131939872748,-0.218393784398,-0.809134860834,-0.529336189863
1536693547067773304,9692,1536693547066256344,map,-277.781738281,79.583770752,71.3607635498,-0.131939872748,-0.218393784398,-0.809134860834,-0.529336189863
1536693547231774296,9693,1536693547231143480,map,-278.837005615,83.3474960327,71.5467987061,-0.174785328317,-0.263896128312,-0.767121684913,-0.557972439286
1536693547492309560,9694,1536693547485371768,map,-280.043457031,88.7557144165,71.6956863403,-0.174785328317,-0.263896128312,-0.767121684913,-0.557972439286
1536693547743302392,9695,1536693547742552248,map,-280.858428955,93.6966934204,71.6345901489,-0.191090705847,-0.313206773448,-0.716368831114,-0.593465716797
1536693548000269144,9696,1536693547997927000,map,-281.451416016,98.9638900757,71.3115234375,-0.187140262098,-0.331604645359,-0.686126903249,-0.61987640229
1536693548273605208,9697,1536693548273038136,map,-281.786865234,104.190879822,70.7143554687,-0.187140262098,-0.331604645359,-0.686126903249,-0.61987640229
1536693548489532120,9698,1536693548488867640,map,-281.852233887,108.555397034,69.9975814819,-0.162507637994,-0.337583281832,-0.634271258288,-0.676260871507
1536693548770474520,9699,1536693548770034488,map,-281.563262939,114.451850891,68.7861099243,-0.162507637994,-0.337583281832,-0.634271258288,-0.676260871507
1536693548964764760,9700,1536693548964038968,map,-281.155029297,117.957267761,67.9525756836,-0.161437689687,-0.342018785249,-0.588638995954,-0.714468442499
1536693549191979096,9701,1536693549191590168,map,-280.315612793,122.568321228,66.7830734253,-0.161437689687,-0.342018785249,-0.588638995954,-0.714468442499
1536693549425251288,9702,1536693549424822168,map,-279.243377686,126.780982971,65.6270904541,-0.157641589408,-0.332411385147,-0.548917801605,-0.750560488831
1536693549691311384,9703,1536693549690922040,map,-277.521759033,132.010162354,64.0473632812,-0.153646583051,-0.328510621358,-0.522308151155,-0.771795111677
1536693549937539416,9704,1536693549936776280,map,-275.69342041,136.358596802,62.621471405,-0.163736747404,-0.322428646285,-0.486936750177,-0.795061410792
1536693550199708952,9705,1536693550199131480,map,-273.322784424,140.951293945,61.0334663391,-0.180113977121,-0.315151400426,-0.457751812686,-0.811604477586
1536693550452794712,9706,1536693550452163992,map,-270.622497559,145.379684448,59.3560028076,-0.180113977121,-0.315151400426,-0.457751812686,-0.811604477586
1536693550679953560,9707,1536693550679374840,map,-268.139709473,148.976348877,57.8529090881,-0.18385158607,-0.2984808534,-0.416695951869,-0.838732530756
1536693550918459288,9708,1536693550917863096,map,-265.158111572,152.74647522,56.20652771,-0.18385158607,-0.2984808534,-0.416695951869,-0.838732530756
1536693551146936984,9709,1536693551146336536,map,-262.18927002,156.081573486,54.6881713867,-0.165517196375,-0.276979323695,-0.373134714259,-0.869860331872
1536693551397918072,9710,1536693551397497208,map,-258.454406738,159.852478027,52.8869361877,-0.165517196375,-0.276979323695,-0.373134714259,-0.869860331872
1536693551631780056,9711,1536693551630500696,map,-254.843017578,163.161773682,51.267375946,-0.134525313259,-0.249645700874,-0.346051467926,-0.894331228166
1536693551929330904,9712,1536693551928660632,map,-250.693771362,166.648666382,49.5661048889,-0.105738700259,-0.222727173581,-0.32371229689,-0.913467176344
1536693552167715992,9713,1536693552166335672,map,-246.359146118,169.977432251,48.077003479,-0.105738700259,-0.222727173581,-0.32371229689,-0.913467176344
1536693552383406808,9714,1536693552382973560,map,-242.498931885,172.718185425,47.0713424683,-0.0904217704996,-0.160131749912,-0.305934029241,-0.934123169525
1536693552652218936,9715,1536693552650517432,map,-237.778793335,175.868057251,46.2464752197,-0.073094731005,-0.105570101377,-0.294688218602,-0.946927118532
1536693552899707256,9716,1536693552896296088,map,-233.331787109,178.706634521,45.9361114502,-0.073094731005,-0.105570101377,-0.294688218602,-0.946927118532
1536693553122174872,9717,1536693553121489592,map,-228.869506836,181.506469727,46.0167121887,-0.0510566933755,-0.0485151385752,-0.284619070107,-0.956049936103
1536693553378693432,9718,1536693553378167608,map,-224.150192261,184.473403931,46.3967819214,-0.0510566933755,-0.0485151385752,-0.284619070107,-0.956049936103
1536693553615293048,9719,1536693553614890584,map,-219.864151001,187.156570435,46.9623718262,-0.0434006043357,-0.00390033623679,-0.274310978515,-0.960653247528
1536693553866858136,9720,1536693553866535448,map,-215.660171509,189.745895386,47.6088409424,-0.0853077417208,0.00951402230793,-0.276553973866,-0.957157234795
