%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1536693546803116440,9704,1536693546801747480,map,-8.27314949036,21.2801818848,0.82424479723,0.218985006213,-0.0891739279032,-0.149727910757
1536693547067801720,9705,1536693547066256344,map,-6.74784994125,21.4172897339,0.761269569397,0.218985006213,-0.0891739279032,-0.149727910757
1536693547231840664,9706,1536693547231143480,map,-5.68854856491,21.3972606659,0.450775980949,0.253227561712,-0.0510744377971,-0.23456761241
1536693547492425560,9707,1536693547485371768,map,-4.3319849968,21.2536201477,-0.3520142138,0.253227561712,-0.0510744377971,-0.23456761241
1536693547743347320,9708,1536693547742552248,map,-3.13834381104,21.0580291748,-1.25982320309,0.114782117307,0.0248251874,-0.246895775199
1536693548000759864,9709,1536693547997927000,map,-1.98813438416,20.7750377655,-2.33875417709,0.0344711765647,-0.000961646437645,-0.241212874651
1536693548273704664,9710,1536693548273038136,map,-0.9067081213,20.4884853363,-3.41319990158,0.0344711765647,-0.000961646437645,-0.241212874651
1536693548489553528,9711,1536693548488867640,map,0.110728122294,20.2676563263,-4.15678787231,-0.0357661470771,-0.0581469982862,-0.301366478205
1536693548770553560,9712,1536693548770034488,map,1.65969061852,19.9724674225,-5.01182413101,-0.0357661470771,-0.0581469982862,-0.301366478205
1536693548964811704,9713,1536693548964038968,map,2.67606806755,19.8031978607,-5.36110544205,0.032108604908,-0.0843193382025,-0.199954628944
1536693549191992024,9714,1536693549191590168,map,4.10928726196,19.5651130676,-5.64368104935,0.032108604908,-0.0843193382025,-0.199954628944
1536693549425685496,9715,1536693549424822168,map,5.21193122864,19.2564811707,-6.08922338486,-0.073066174984,-0.10548492521,-0.268207103014
1536693549691497880,9716,1536693549690922040,map,6.85112953186,18.7862091064,-6.38770484924,0.0162909459323,-0.109476178885,-0.28635174036
1536693549937550360,9717,1536693549936776280,map,8.23652267456,18.3205623627,-6.57302999496,0.0611682236195,-0.130935683846,-0.175543144345
1536693550199802328,9718,1536693550199131480,map,9.79141139984,17.7199687958,-6.63825416565,-0.0561519339681,-0.130819573998,-0.178517907858
1536693550452794648,9719,1536693550452163992,map,10.8339805603,17.0633239746,-7.13680505753,-0.0561519339681,-0.130819573998,-0.178517907858
1536693550679968824,9720,1536693550679374840,map,11.8921442032,16.4513969421,-7.221118927,-0.0652900636196,-0.159446462989,-0.217786818743
1536693550918568248,9721,1536693550917863096,map,13.0462751389,15.7467823029,-7.18874788284,-0.0652900636196,-0.159446462989,-0.217786818743
1536693551147010776,9722,1536693551146336536,map,13.9694023132,15.1201076508,-7.20021533966,-0.069050014019,-0.119300238788,-0.17129214108
1536693551398009112,9723,1536693551397497208,map,14.9307165146,14.4294261932,-7.12568998337,-0.069050014019,-0.119300238788,-0.17129214108
1536693551631794328,9724,1536693551630500696,map,15.7015695572,13.8674554825,-6.95243120193,-0.251408398151,-0.103001661599,-0.156987294555
1536693551929358808,9725,1536693551928660632,map,16.5791721344,13.3224163055,-6.48854923248,-0.155133202672,-0.171985402703,-0.136384889483
1536693552167782200,9726,1536693552166335672,map,17.5414924622,12.8311510086,-5.3662314415,-0.155133202672,-0.171985402703,-0.136384889483
1536693552383550872,9727,1536693552382973560,map,18.2450523376,12.4430274963,-4.16741657257,-0.11466576159,-0.294749766588,-0.0718559101224
1536693552652231896,9728,1536693552650517432,map,18.8626747131,12.0532026291,-2.43689632416,-0.269434243441,-0.267995655537,-0.0634206086397
1536693552899724888,9729,1536693552896296088,map,19.1505851746,11.7738265991,-0.583796560764,-0.269434243441,-0.267995655537,-0.0634206086397
1536693553122170968,9730,1536693553121489592,map,19.0833358765,11.5600376129,0.80082899332,-0.178739205003,-0.227627068758,-0.0428349524736
1536693553378877240,9731,1536693553378167608,map,18.8136234283,11.3167209625,2.02423858643,-0.178739205003,-0.227627068758,-0.0428349524736
1536693553615460472,9732,1536693553614890584,map,18.4926013947,10.9822626114,2.72919821739,0.0283153802156,-0.146298080683,-0.0128513984382
1536693553866968056,9733,1536693553866535448,map,18.1346931458,10.5983095169,3.05699276924,0.211060419679,-0.065634213388,0.00470556877553
1536693554093528376,9734,1536693554093014648,map,17.8227081299,10.100112915,3.23351550102,0.211060419679,-0.065634213388,0.00470556877553
1536693554369557400,9735,1536693554368889240,map,17.5944919586,9.46168518066,3.00137281418,0.268148869276,-0.000950924120843,-0.107269860804
1536693554607833848,9736,1536693554607129112,map,17.5129623413,8.75463294983,2.62819170952,0.340970635414,0.0176339671016,-0.120391517878
1536693554852059128,9737,1536693554851046520,map,17.541431427,7.86274576187,2.15062785149,0.340970635414,0.0176339671016,-0.120391517878
1536693555023000760,9738,1536693555022465080,map,17.6033325195,7.31468582153,1.79037821293,0.213244989514,0.012317545712,-0.114708632231
1536693555324902520,9739,1536693555324096632,map,17.7449531555,6.32553672791,0.971576809883,0.0458900593221,0.0130797531456,-0.189727082849
1536693555557757176,9740,1536693555557066936,map,17.8946113586,5.57962417603,0.373382478952,0.0458900593221,0.0130797531456,-0.189727082849
1536693555791027160,9741,1536693555790465784,map,18.133398056,4.675552845,-0.145807400346,0.0396966561675,-0.0404584556818,-0.212621673942
1536693556038732952,9742,1536693556037934360,map,18.4488677979,3.61352753639,-0.523540854454,0.0396966561675,-0.0404584556818,-0.212621673942
1536693556281280376,9743,1536693556280384216,map,18.7515544891,2.62184977531,-0.778110325336,-0.0942953377962,-0.0392217002809,-0.171875327826
1536693556484063992,9744,1536693556482873752,map,18.9751338959,1.82358038425,-0.848606348038,-0.0942953377962,-0.0392217002809,-0.171875327826
1536693556710398840,9745,1536693556709582040,map,19.1834049225,0.996604859829,-0.857638657093,-0.197349399328,-0.081082418561,-0.163217350841
1536693556955520600,9746,1536693556954275160,map,19.3668766022,0.21167576313,-0.8409486413,-0.209509879351,-0.0579643584788,-0.148198306561
1536693557193102872,9747,1536693557192483704,map,19.5167675018,-0.52111774683,-0.689826309681,-0.209509879351,-0.0579643584788,-0.148198306561
