%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1536693546560001336,29663,1536693546559523736,NED,-2.88999986649,-1.5155274868
1536693546645382776,29664,1536693546644799512,NED,-3.25999999046,-1.5155274868
1536693546674556728,29665,1536693546673914776,NED,-3.25999999046,-1.01379668713
1536693546746682232,29666,1536693546745968760,NED,-3.49000000954,-1.01379668713
1536693546772654840,29667,1536693546772222424,NED,-3.48000001907,-1.01379668713
1536693546838243832,29668,1536693546837690136,NED,-5.67999982834,-1.01379668713
1536693546864239672,29669,1536693546863140856,NED,-5.67000007629,-1.01379668713
1536693546914374104,29670,1536693546913248600,NED,-7.8799996376,-1.01379668713
1536693547005442456,29671,1536693547004681016,NED,-10.0599994659,-1.01379668713
1536693547071754776,29672,1536693547069927864,NED,-10.0399999619,-1.01379668713
1536693547094702488,29673,1536693547092853912,NED,-12.2299995422,-1.50878953934
1536693547133252376,29674,1536693547132729304,NED,-12.2100000381,-1.50878953934
1536693547179042136,29675,1536693547178274072,NED,-12.1999998093,-1.50878953934
1536693547209787064,29676,1536693547209361656,NED,-14.2599992752,-1.50878953934
1536693547301359832,29677,1536693547299110264,NED,-14.2299995422,-1.50878953934
1536693547332377208,29678,1536693547330574424,NED,-16.1599998474,-1.50878953934
1536693547363770328,29679,1536693547363110712,NED,-16.1399993896,-1.50878953934
1536693547409612472,29680,1536693547408936184,NED,-17.9099998474,-1.50878953934
1536693547456683704,29681,1536693547456097848,NED,-17.8999996185,-1.50878953934
1536693547521184312,29682,1536693547520789496,NED,-18.4499988556,-1.50878953934
1536693547568542712,29683,1536693547567142296,NED,-18.359998703,-1.50878953934
1536693547614961144,29684,1536693547614326104,NED,-18.25,-5.62240743637
1536693547653323608,29685,1536693547651552568,NED,-18.1800003052,-5.62240743637
1536693547714102232,29686,1536693547713669368,NED,-18.0900001526,-5.62240743637
1536693547758564024,29687,1536693547755472280,NED,-18.0399990082,-5.62240743637
1536693547815761784,29688,1536693547814188056,NED,-18.0100002289,-5.62240743637
1536693547858285944,29689,1536693547854959768,NED,-17.9499988556,-5.62240743637
1536693547929889816,29690,1536693547923952856,NED,-17.9200000763,-5.62240743637
1536693547971906584,29691,1536693547971111128,NED,-17.9300003052,-8.87642383575
1536693548023324664,29692,1536693548022783032,NED,-17.9400005341,-8.87642383575
1536693548037975544,29693,1536693548037270104,NED,-17.9499988556,-8.87642383575
1536693548153015768,29694,1536693548151394264,NED,-18.0200004578,-8.87642383575
1536693548160283896,29695,1536693548159992312,NED,-18.0399990082,-8.87642383575
1536693548263727384,29696,1536693548262756056,NED,-18.1800003052,-8.87642383575
1536693548318494360,29697,1536693548316674136,NED,-18.2899990082,-8.87642383575
1536693548348687000,29698,1536693548348132344,NED,-18.359998703,-8.87642383575
1536693548413947064,29699,1536693548413476056,NED,-18.4699993134,-8.87642383575
1536693548453273176,29700,1536693548452944728,NED,-18.5399990082,-14.5036029816
1536693548518192344,29701,1536693548517636088,NED,-18.5799999237,-14.5036029816
1536693548582315896,29702,1536693548581794552,NED,-18.5900001526,-14.5036029816
1536693548608196568,29703,1536693548607240312,NED,-18.5599994659,-14.5036029816
1536693548655628888,29704,1536693548655156184,NED,-18.5200004578,-14.5036029816
1536693548754357528,29705,1536693548753378968,NED,-18.5599994659,-14.5036029816
1536693548847324024,29706,1536693548846659640,NED,-18.6199989319,-14.5036029816
1536693548873226808,29707,1536693548872868824,NED,-18.6199989319,-17.3775100708
1536693548904645944,29708,1536693548903595032,NED,-18.6399993896,-17.3775100708
1536693548932651064,29709,1536693548930650456,NED,-18.6599998474,-17.3775100708
1536693548979701560,29710,1536693548978917976,NED,-18.6800003052,-17.3775100708
1536693549009249784,29711,1536693549006697912,NED,-18.6999988556,-17.3775100708
1536693549042397432,29712,1536693549040388536,NED,-18.7399997711,-17.3775100708
1536693549142782648,29713,1536693549142370264,NED,-18.9200000763,-17.3775100708
1536693549163258584,29714,1536693549162850872,NED,-18.9599990845,-17.3775100708
1536693549269349208,29715,1536693549268999896,NED,-19.2099990845,-17.3775100708
1536693549329917336,29716,1536693549329504984,NED,-19.3999996185,-19.0216350555
1536693549357841016,29717,1536693549356328760,NED,-19.4300003052,-19.0216350555
1536693549418624312,29718,1536693549418164632,NED,-19.5,-19.0216350555
1536693549494269016,29719,1536693549492047960,NED,-19.5599994659,-19.0216350555
1536693549528073112,29720,1536693549527425080,NED,-19.609998703,-20.2785224915
1536693549584459320,29721,1536693549583820600,NED,-19.6599998474,-20.2785224915
1536693549638318200,29722,1536693549637921048,NED,-19.6999988556,-20.2785224915
1536693549662797784,29723,1536693549662067672,NED,-19.6899986267,-20.2785224915
1536693549718283480,29724,1536693549714324728,NED,-19.6599998474,-20.2785224915
1536693549772096824,29725,1536693549771597880,NED,-19.6499996185,-20.2785224915
1536693549819924792,29726,1536693549819448088,NED,-19.6499996185,-20.2785224915
1536693549852252824,29727,1536693549851891416,NED,-19.6599998474,-20.685754776
1536693549931878104,29728,1536693549931379768,NED,-19.6599998474,-20.685754776
1536693549970127928,29729,1536693549968461016,NED,-19.609998703,-20.685754776
1536693549997886552,29730,1536693549997230808,NED,-19.5299987793,-20.685754776
1536693550047917560,29731,1536693550047491192,NED,-19.4499988556,-20.685754776
1536693550113173400,29732,1536693550112530840,NED,-19.5,-20.685754776
1536693550155294392,29733,1536693550154728600,NED,-19.5900001526,-20.2832584381
1536693550214365208,29734,1536693550213190392,NED,-19.6499996185,-20.2832584381
1536693550252503544,29735,1536693550251702680,NED,-19.6299991608,-20.2832584381
