%time,field.header.seq,field.header.stamp,field.header.frame_id,field.rssi,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7,field.channels8,field.channels9,field.channels10,field.channels11,field.channels12,field.channels13,field.channels14,field.channels15
1536693546752139736,7217,1536693546751915544,,0,1716,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693547167759128,7218,1536693547167591800,,0,1701,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693547542379672,7219,1536693547542203416,,0,1613,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693547899066680,7220,1536693547895538648,,0,1512,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693548294165272,7221,1536693548293652792,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693548649769400,7222,1536693548649609400,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693548920790104,7223,1536693548920501848,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693549298222232,7224,1536693549297987576,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693549538793336,7225,1536693549538572248,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693549895287032,7226,1536693549894904920,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693550241436600,7227,1536693550241229912,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693550584548184,7228,1536693550584205944,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693551012323352,7229,1536693551012105624,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693551372646104,7230,1536693551372149816,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693551694468152,7231,1536693551694142552,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693552004528888,7232,1536693552003007480,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693552365873976,7233,1536693552365558584,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693552692535832,7234,1536693552692283032,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693552982431928,7235,1536693552979152216,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693553358771480,7236,1536693553356968312,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693553733843800,7237,1536693553733678392,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693554013570168,7238,1536693554013362904,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693554387887640,7239,1536693554387704600,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693554674308984,7240,1536693554673969080,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693554999351704,7241,1536693554999079640,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693555403943544,7242,1536693555403575416,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693555751881176,7243,1536693555751262584,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693556001715608,7244,1536693556001442072,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693556369545016,7245,1536693556369332888,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693556666566232,7246,1536693556666335928,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693557089605848,7247,1536693557088906648,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693557505822296,7248,1536693557503337880,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693557865756056,7249,1536693557865354840,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693558136398104,7250,1536693558134995160,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693558402775320,7251,1536693558402313624,,0,1514,1552,1676,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693558665108856,7252,1536693558664717208,,0,1514,1552,1678,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693559041922232,7253,1536693559034885400,,0,1514,1552,1678,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693559343702680,7254,1536693559343301496,,0,1514,1552,1678,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693559688817528,7255,1536693559688486104,,0,1514,1552,1678,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693560046228408,7256,1536693560045942840,,0,1514,1552,1678,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693560348865816,7257,1536693560348489528,,0,1514,1552,1678,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693560769076600,7258,1536693560768764056,,0,1514,1552,1678,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693561169332088,7259,1536693561169133624,,0,1514,1552,1678,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693561517962840,7260,1536693561514029656,,0,1514,1552,1678,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693561905076984,7261,1536693561902819928,,0,1514,1552,1678,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693562190616856,7262,1536693562190217976,,0,1514,1552,1678,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693562431429368,7263,1536693562430769528,,0,1514,1552,1678,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693562908379128,7264,1536693562908122712,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693563147734424,7265,1536693563147425336,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693563446591288,7266,1536693563446192760,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693563785022680,7267,1536693563783269112,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693564174885944,7268,1536693564174224760,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693564535175512,7269,1536693564534653016,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693564842448696,7270,1536693564842270168,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693565154215480,7271,1536693565153969304,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693565542885272,7272,1536693565542563480,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693565781262744,7273,1536693565781113848,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693566134488760,7274,1536693566134000792,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693566498557688,7275,1536693566498402328,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693566801959320,7276,1536693566801730872,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693567087776056,7277,1536693567087636568,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693567493538328,7278,1536693567493216152,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693567863078808,7279,1536693567862803896,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693568253394776,7280,1536693568250607640,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693568603246904,7281,1536693568603001208,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693568910489560,7282,1536693568910281720,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693569330812376,7283,1536693569330534616,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693569693786680,7284,1536693569693157848,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693569999597720,7285,1536693569996868568,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693570340259128,7286,1536693570339838936,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693570691874520,7287,1536693570691679128,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693570992887832,7288,1536693570990849944,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693571442955800,7289,1536693571442764792,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693571762388824,7290,1536693571762177592,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693572162759288,7291,1536693572162493752,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693572439794456,7292,1536693572439614296,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693572740835160,7293,1536693572740514520,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693573057266296,7294,1536693573057092440,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693573418736152,7295,1536693573417981048,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693573693851800,7296,1536693573693648120,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693574071382776,7297,1536693574071217144,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693574448918360,7298,1536693574448707224,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693574703946040,7299,1536693574702946776,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693574991358360,7300,1536693574991143256,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693575278704024,7301,1536693575278448280,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693575608091128,7302,1536693575607840760,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693575824950616,7303,1536693575824646264,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693576102387640,7304,1536693576102119512,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693576398124088,7305,1536693576397775928,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693576687550360,7306,1536693576687251096,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693577046449912,7307,1536693577045956440,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693577406829496,7308,1536693577406358904,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693577699495192,7309,1536693577699272056,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693578034908152,7310,1536693578034623704,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693578299820280,7311,1536693578299510264,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693578617252568,7312,1536693578616956152,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693578932859672,7313,1536693578932684984,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693579304926072,7314,1536693579304727000,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693579641290712,7315,1536693579640417784,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693579904002936,7316,1536693579903646552,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536693580235985624,7317,1536693580221755480,,0,1514,1552,1678,1509,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
