%time,field.header.seq,field.header.stamp,field.header.frame_id,field.connected,field.armed,field.guided,field.mode,field.system_status
1536693546609447032,2321,1536693546608777272,,1,1,1,GUIDED,4
1536693547602677272,2322,1536693547602028600,,1,1,1,GUIDED,4
1536693548588517336,2323,1536693548588318584,,1,1,1,GUIDED,4
1536693549592452856,2324,1536693549592226424,,1,1,1,GUIDED,4
1536693550631270584,2325,1536693550631027512,,1,1,1,GUIDED,4
1536693551581238104,2326,1536693551580757368,,1,1,1,GUIDED,4
1536693552603878648,2327,1536693552603428600,,1,1,1,GUIDED,4
1536693553596057496,2328,1536693553595658872,,1,1,1,GUIDED,4
1536693554608299768,2329,1536693554607798584,,1,1,1,GUIDED,4
1536693555578562648,2330,1536693555578266520,,1,1,1,GUIDED,4
1536693556604971768,2331,1536693556602925880,,1,1,1,GUIDED,4
1536693557580747320,2332,1536693557579597336,,1,1,1,GUIDED,4
1536693558612656344,2333,1536693558611053496,,1,1,1,GUIDED,4
1536693559594797304,2334,1536693559594209112,,1,1,1,GUIDED,4
1536693560609871096,2335,1536693560609435992,,1,1,1,GUIDED,4
1536693561590417784,2336,1536693561589999384,,1,1,1,GUIDED,4
1536693562597140984,2337,1536693562595090680,,1,1,1,GUIDED,4
1536693563587847608,2338,1536693563587336536,,1,1,1,GUIDED,4
1536693564614060312,2339,1536693564613788248,,1,1,1,GUIDED,4
1536693565611132152,2340,1536693565610577720,,1,1,1,GUIDED,4
1536693566629248568,2341,1536693566628924664,,1,1,1,GUIDED,4
1536693567671890520,2342,1536693567671591896,,1,1,1,GUIDED,4
1536693568604932632,2343,1536693568604434296,,1,1,1,GUIDED,4
1536693569607397304,2344,1536693569606441656,,1,1,1,GUIDED,4
1536693570579069400,2345,1536693570578615512,,1,1,1,GUIDED,4
1536693571606413976,2346,1536693571604256728,,1,1,1,GUIDED,4
1536693572603240568,2347,1536693572602686008,,1,1,1,GUIDED,4
1536693573594030872,2348,1536693573592535000,,1,1,1,GUIDED,4
1536693574605040760,2349,1536693574604439416,,1,1,1,GUIDED,4
1536693575609731832,2350,1536693575608740504,,1,1,1,GUIDED,4
1536693576586839576,2351,1536693576586405304,,1,1,1,GUIDED,4
1536693577602435480,2352,1536693577597553048,,1,1,1,GUIDED,4
1536693578612553944,2353,1536693578611986008,,1,1,1,GUIDED,4
1536693579580038296,2354,1536693579579670808,,1,1,1,GUIDED,4
1536693580662719224,2355,1536693580661973976,,1,1,1,GUIDED,4
1536693581658242488,2356,1536693581651239000,,1,1,1,GUIDED,4
1536693582615139704,2357,1536693582614704664,,1,1,1,GUIDED,4
1536693583618454904,2358,1536693583615326744,,1,1,1,GUIDED,4
1536693584595109912,2359,1536693584594774136,,1,1,1,GUIDED,4
1536693585606633688,2360,1536693585606350936,,1,1,1,GUIDED,4
1536693586598234104,2361,1536693586597818840,,1,1,1,GUIDED,4
1536693587583780632,2362,1536693587583527448,,1,1,1,GUIDED,4
1536693588589565048,2363,1536693588589275576,,1,1,1,GUIDED,4
1536693589606055992,2364,1536693589605651096,,1,1,1,GUIDED,4
1536693590630106232,2365,1536693590625000248,,1,1,1,GUIDED,4
1536693591622797496,2366,1536693591619662808,,1,1,1,GUIDED,4
1536693592605043608,2367,1536693592604576600,,1,1,1,GUIDED,4
1536693593593895704,2368,1536693593593371512,,1,1,1,GUIDED,4
1536693594584136856,2369,1536693594583891384,,1,1,1,GUIDED,4
1536693595577814328,2370,1536693595577474904,,1,1,1,GUIDED,4
1536693596578129560,2371,1536693596577678040,,1,1,1,GUIDED,4
1536693597607635224,2372,1536693597607334328,,1,1,1,GUIDED,4
1536693598581434840,2373,1536693598581205400,,1,1,1,GUIDED,4
1536693599624229880,2374,1536693599623739064,,1,1,1,GUIDED,4
1536693600610892696,2375,1536693600610375736,,1,1,1,GUIDED,4
1536693601607459640,2376,1536693601607246712,,1,1,1,GUIDED,4
1536693602602538584,2377,1536693602602160856,,1,1,1,GUIDED,4
1536693603615218264,2378,1536693603614775960,,1,1,1,GUIDED,4
1536693604629572536,2379,1536693604628982840,,1,1,1,GUIDED,4
1536693605573587928,2380,1536693605573067352,,1,1,1,GUIDED,4
1536693606611151960,2381,1536693606609044056,,1,1,1,GUIDED,4
1536693607595872856,2382,1536693607593631416,,1,1,1,GUIDED,4
1536693608597723384,2383,1536693608597283512,,1,1,1,GUIDED,4
1536693609601481912,2384,1536693609601155768,,1,1,1,GUIDED,4
1536693610616029048,2385,1536693610615349624,,1,1,1,GUIDED,4
1536693611592757624,2386,1536693611591982424,,1,1,1,GUIDED,4
1536693612617020952,2387,1536693612616463928,,1,1,1,GUIDED,4
1536693613599535640,2388,1536693613598980024,,1,1,1,GUIDED,4
1536693614616478552,2389,1536693614616191352,,1,1,1,GUIDED,4
1536693615582284376,2390,1536693615581695576,,1,1,1,GUIDED,4
