%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_ref,field.source
1536693546876283576,5232,1536693546875083096,,1536695670403000000,fcu
1536693547334037304,5233,1536693547333844376,,1536695670862000000,fcu
1536693547899335960,5234,1536693547898028376,,1536695671439000000,fcu
1536693548493067768,5235,1536693548492695384,,1536695672040000000,fcu
1536693549004134360,5236,1536693549003612504,,1536695672540000000,fcu
1536693549393454648,5237,1536693549393081400,,1536695672939000000,fcu
1536693549657734744,5238,1536693549657525432,,1536695673200000000,fcu
1536693550094472984,5239,1536693550094227384,,1536695673640000000,fcu
1536693550723749400,5240,1536693550723563320,,1536695674259000000,fcu
1536693551098829176,5241,1536693551098538872,,1536695674659000000,fcu
1536693551580346328,5242,1536693551580113080,,1536695675122000000,fcu
1536693552091133144,5243,1536693552090957048,,1536695675641000000,fcu
1536693552694368120,5244,1536693552694176728,,1536695676221000000,fcu
1536693553083669816,5245,1536693553083368504,,1536695676623000000,fcu
1536693553649439640,5246,1536693553648981976,,1536695677182000000,fcu
1536693554124734712,5247,1536693554124246904,,1536695677679000000,fcu
1536693554637687000,5248,1536693554632780376,,1536695678179000000,fcu
1536693555073464920,5249,1536693555073295672,,1536695678623000000,fcu
1536693555577637400,5250,1536693555577325080,,1536695679121000000,fcu
1536693555936840984,5251,1536693555935904760,,1536695679478000000,fcu
1536693556547164216,5252,1536693556546764440,,1536695680099000000,fcu
1536693557145417240,5253,1536693557145191960,,1536695680679000000,fcu
1536693557580110520,5254,1536693557578295992,,1536695681121000000,fcu
1536693558041602072,5255,1536693558035117144,,1536695681579000000,fcu
1536693558339404760,5256,1536693558339052408,,1536695681879000000,fcu
1536693558856071032,5257,1536693558855254424,,1536695682382000000,fcu
1536693559277252632,5258,1536693559276340856,,1536695682838000000,fcu
1536693559734862520,5259,1536693559731860120,,1536695683298000000,fcu
1536693560220753496,5260,1536693560220373400,,1536695683759000000,fcu
1536693560848946104,5261,1536693560848661624,,1536695684382000000,fcu
1536693561409455288,5262,1536693561395157112,,1536695684939000000,fcu
1536693561891820504,5263,1536693561891293688,,1536695685421000000,fcu
1536693562222152568,5264,1536693562220199768,,1536695685740000000,fcu
1536693562634342744,5265,1536693562634071256,,1536695686180000000,fcu
1536693563214119352,5266,1536693563208911096,,1536695686738000000,fcu
1536693563641699224,5267,1536693563639228024,,1536695687178000000,fcu
1536693564051927096,5268,1536693564050411832,,1536695687599000000,fcu
1536693564671369784,5269,1536693564670941976,,1536695688199000000,fcu
1536693565098632952,5270,1536693565097912216,,1536695688638000000,fcu
1536693565609579928,5271,1536693565609238360,,1536695689159000000,fcu
1536693565885984248,5272,1536693565885848280,,1536695689422000000,fcu
1536693566380913400,5273,1536693566380663352,,1536695689920000000,fcu
1536693566887911384,5274,1536693566887683128,,1536695690438000000,fcu
1536693567401648056,5275,1536693567401402008,,1536695690938000000,fcu
1536693567988613048,5276,1536693567988197496,,1536695691520000000,fcu
1536693568527767960,5277,1536693568527358840,,1536695692078000000,fcu
1536693569055754840,5278,1536693569055314392,,1536695692598000000,fcu
1536693569651769816,5279,1536693569651450392,,1536695693178000000,fcu
1536693570190180344,5280,1536693570189861336,,1536695693738000000,fcu
1536693570693632760,5281,1536693570693421048,,1536695694223000000,fcu
1536693571126902008,5282,1536693571126706520,,1536695694679000000,fcu
1536693571610514808,5283,1536693571609737880,,1536695695159000000,fcu
1536693572202592024,5284,1536693572202405336,,1536695695738000000,fcu
1536693572643980920,5285,1536693572643762264,,1536695696180000000,fcu
1536693573104395192,5286,1536693573104210520,,1536695696641000000,fcu
1536693573590575896,5287,1536693573589589400,,1536695697121000000,fcu
1536693573903207896,5288,1536693573902971928,,1536695697459000000,fcu
1536693574555035896,5289,1536693574554769496,,1536695698098000000,fcu
1536693574995288024,5290,1536693574994829208,,1536695698538000000,fcu
1536693575338369688,5291,1536693575338181976,,1536695698879000000,fcu
1536693575741871352,5292,1536693575741696344,,1536695699280000000,fcu
1536693576039488920,5293,1536693576039192280,,1536695699578000000,fcu
1536693576316725144,5294,1536693576316430008,,1536695699861000000,fcu
1536693576768273560,5295,1536693576768005432,,1536695700301000000,fcu
1536693577332384184,5296,1536693577332218424,,1536695700878000000,fcu
1536693577723120984,5297,1536693577722937560,,1536695701260000000,fcu
1536693578137471064,5298,1536693578137282808,,1536695701680000000,fcu
1536693578497851544,5299,1536693578497117496,,1536695702038000000,fcu
1536693579045338264,5300,1536693579043445432,,1536695702598000000,fcu
1536693579438366008,5301,1536693579438127608,,1536695702979000000,fcu
1536693579788248664,5302,1536693579787975384,,1536695703339000000,fcu
1536693580253638296,5303,1536693580253423672,,1536695703799000000,fcu
1536693580792408376,5304,1536693580792258232,,1536695704339000000,fcu
1536693581380989912,5305,1536693581380775864,,1536695704919000000,fcu
1536693581806502168,5306,1536693581806265464,,1536695705358000000,fcu
1536693582285406520,5307,1536693582285245784,,1536695705823000000,fcu
1536693582753223512,5308,1536693582753004088,,1536695706299000000,fcu
1536693583463950104,5309,1536693583463583768,,1536695706999000000,fcu
1536693583983064280,5310,1536693583982875736,,1536695707539000000,fcu
1536693584374775288,5311,1536693584374360824,,1536695707919000000,fcu
1536693584825531832,5312,1536693584824550648,,1536695708361000000,fcu
1536693585142262104,5313,1536693585141653048,,1536695708679000000,fcu
1536693585613207640,5314,1536693585613049400,,1536695709159000000,fcu
1536693586118124664,5315,1536693586117171672,,1536695709661000000,fcu
1536693586539412408,5316,1536693586535655576,,1536695710061000000,fcu
1536693587136421048,5317,1536693587135393848,,1536695710698000000,fcu
1536693587558073432,5318,1536693587557897688,,1536695711099000000,fcu
1536693588063037752,5319,1536693588062696536,,1536695711618000000,fcu
1536693588537266264,5320,1536693588536741080,,1536695712079000000,fcu
1536693588968482328,5321,1536693588968269272,,1536695712521000000,fcu
1536693589534004792,5322,1536693589533738808,,1536695713060000000,fcu
1536693589946421752,5323,1536693589945947672,,1536695713479000000,fcu
1536693590433825176,5324,1536693590433622936,,1536695713979000000,fcu
1536693590866820216,5325,1536693590866608024,,1536695714399000000,fcu
1536693591340243320,5326,1536693591339933368,,1536695714879000000,fcu
1536693591861209208,5327,1536693591860675832,,1536695715401000000,fcu
1536693592170679704,5328,1536693592170361240,,1536695715719000000,fcu
1536693592724466520,5329,1536693592724189848,,1536695716259000000,fcu
1536693593148520376,5330,1536693593148251480,,1536695716680000000,fcu
1536693593689235608,5331,1536693593688977560,,1536695717240000000,fcu
1536693594158893112,5332,1536693594158515544,,1536695717681000000,fcu
1536693594583353816,5333,1536693594583205368,,1536695718119000000,fcu
1536693595049474008,5334,1536693595047614008,,1536695718579000000,fcu
1536693595372714488,5335,1536693595371485400,,1536695718921000000,fcu
1536693595954363704,5336,1536693595950604728,,1536695719480000000,fcu
1536693596345146872,5337,1536693596343059160,,1536695719879000000,fcu
1536693596894973944,5338,1536693596893611128,,1536695720440000000,fcu
1536693597435874264,5339,1536693597435185112,,1536695720979000000,fcu
1536693597831819736,5340,1536693597831631416,,1536695721379000000,fcu
1536693598107837336,5341,1536693598107490648,,1536695721640000000,fcu
1536693598791367544,5342,1536693598790621080,,1536695722340000000,fcu
1536693599265226968,5343,1536693599264320024,,1536695722801000000,fcu
1536693599720902712,5344,1536693599711120600,,1536695723258000000,fcu
1536693600147263384,5345,1536693600146984888,,1536695723679000000,fcu
1536693600684666040,5346,1536693600684411576,,1536695724238000000,fcu
1536693601265989912,5347,1536693601265669240,,1536695724799000000,fcu
1536693601790437784,5348,1536693601790290040,,1536695725341000000,fcu
1536693602245215608,5349,1536693602244559320,,1536695725781000000,fcu
1536693602787188344,5350,1536693602786793528,,1536695726339000000,fcu
1536693603324293496,5351,1536693603323739768,,1536695726858000000,fcu
1536693603828394264,5352,1536693603827007544,,1536695727359000000,fcu
1536693604192132760,5353,1536693604190768536,,1536695727721000000,fcu
1536693604572447352,5354,1536693604572241624,,1536695728121000000,fcu
1536693605100331800,5355,1536693605099798200,,1536695728638000000,fcu
1536693605506344888,5356,1536693605505998904,,1536695729038000000,fcu
1536693605982878648,5357,1536693605978870616,,1536695729519000000,fcu
1536693606379030936,5358,1536693606378863640,,1536695729919000000,fcu
1536693606833062808,5359,1536693606832780088,,1536695730379000000,fcu
1536693607373019288,5360,1536693607371763416,,1536695730900000000,fcu
1536693607787827640,5361,1536693607787506296,,1536695731339000000,fcu
1536693608268242360,5362,1536693608268032504,,1536695731822000000,fcu
1536693608629895640,5363,1536693608629688600,,1536695732198000000,fcu
1536693609043795448,5364,1536693609043619096,,1536695732580000000,fcu
1536693609502717240,5365,1536693609502526680,,1536695733039000000,fcu
1536693609823488376,5366,1536693609823275992,,1536695733360000000,fcu
1536693610408983864,5367,1536693610408568120,,1536695733959000000,fcu
1536693610646806104,5368,1536693610646157912,,1536695734199000000,fcu
1536693611219036440,5369,1536693611218722872,,1536695734779000000,fcu
1536693611687008984,5370,1536693611684087096,,1536695735222000000,fcu
1536693612050691576,5371,1536693612050519224,,1536695735599000000,fcu
1536693612440714104,5372,1536693612430058776,,1536695735979000000,fcu
1536693612769822904,5373,1536693612769518040,,1536695736298000000,fcu
1536693613355678712,5374,1536693613355265752,,1536695736879000000,fcu
1536693613782418616,5375,1536693613782165336,,1536695737320000000,fcu
1536693614278500280,5376,1536693614278192728,,1536695737823000000,fcu
1536693614894423096,5377,1536693614893792472,,1536695738422000000,fcu
1536693615391963256,5378,1536693615390357336,,1536695738900000000,fcu
