%time,field.data
1536693691535370232,289.2
1536693691807517976,289.83
1536693692065609656,291.44
1536693692270835192,293.54
1536693692500749528,297.22
1536693692692162264,301.18
1536693692954257144,307.05
1536693693178789016,311.61
1536693693403965656,317.09
1536693693640366296,323.08
1536693693877857944,329.34
1536693694134624888,336.23
1536693694358728824,342.1
1536693694592546264,348.02
1536693694859605336,355.09
1536693695101548888,1.99
1536693695319106328,7.82
1536693695548870744,14.09
1536693695818768440,20.81
1536693696053474680,27.02
1536693696269786392,32.61
1536693696500484024,37.42
1536693696737666200,43.54
1536693696978155128,48.58
1536693697217234392,54.67
1536693697484476088,60.79
1536693697723654456,66.43
1536693697944981560,71.5
1536693698210622872,77.65
1536693698407920248,82.99
1536693698669716120,89.32
1536693698916109720,94.8
1536693699211377912,102.95
1536693699413190744,107.56
1536693699664964728,114.09
1536693699909363992,119.94
1536693700165126424,126.4
1536693700383529752,131.9
1536693700596650776,137.3
1536693700833765304,142.51
1536693701080852504,147.92
1536693701341966136,152.75
1536693701595389432,156.44
1536693701811410360,159.14
1536693702026515960,160.97
1536693702312432312,162.71
1536693702556105048,164.66
1536693702795158136,167.06
1536693703039458392,168.57
1536693703367042552,170.41
1536693703539995576,171.47
1536693703788484344,173.44
1536693704029063448,176.24
1536693704285007416,179.92
1536693704575341592,185.04
1536693704804689624,189.42
1536693705007062008,193.26
1536693705253157592,198.36
1536693705485311640,203.03
1536693705713359832,208.2
1536693705931911384,212.77
1536693706188874200,218.76
1536693706436294936,224.53
1536693706687441432,231.02
1536693706919155992,236.3
1536693707177238680,242.21
1536693707403053208,248.96
1536693707671545944,255.43
1536693707894847928,261.06
1536693708138764216,267.37
1536693708362110232,272.84
1536693708584358584,278.29
1536693708855643672,285.08
1536693709091983576,289.88
1536693709368465912,295.97
1536693709577708312,299.89
1536693709858911512,305.58
1536693710040958008,309.03
1536693710294654520,313.31
1536693710560534264,317.99
1536693710735588568,320.9
1536693710992195352,324.87
1536693711232945080,329.54
1536693711499203832,334.02
1536693711723358168,337.77
1536693711962905976,342.57
1536693712207169752,346.72
1536693712439408664,351.46
1536693712685972056,356.33
1536693712938164728,1.72
1536693713171093240,6.35
1536693713440373048,11.96
1536693713652758712,15.96
1536693713888034168,21.29
1536693714211150744,27.4
1536693714375553080,30.75
1536693714617570072,35.61
1536693714832092056,39.95
1536693715111983096,45.29
1536693715333975800,49.8
1536693715570316728,54.27
1536693715809117048,59.47
1536693716025430136,63.64
1536693716321363000,68.93
1536693716546521368,73.28
1536693716815121496,78.25
1536693717022248952,82.5
1536693717305575288,87.91
1536693717541917016,93.36
1536693717785415224,100.02
1536693718045367544,105.34
1536693718243266008,110.45
1536693718524730136,116.91
1536693718746545752,122.29
1536693719011906040,128.76
1536693719213623672,133.95
1536693719450382616,141.0
1536693719709353464,147.57
1536693719952108664,153.11
1536693720200048024,158.49
1536693720403207544,164.04
1536693720630187320,169.99
1536693720887691448,175.88
1536693721154686488,182.18
1536693721365200408,186.89
1536693721578580664,193.11
1536693721833823736,200.04
1536693722112129176,207.0
1536693722322858680,212.97
1536693722593957592,218.56
1536693722777702264,224.15
1536693723030550456,229.71
1536693723287797880,235.22
1536693723522648280,240.07
1536693723780860120,245.8
1536693724029988696,251.76
1536693724282132536,257.85
1536693724527386872,262.96
1536693724784552216,269.63
1536693725041515416,275.45
1536693725239517880,280.48
1536693725491595160,286.4
1536693725727479960,291.88
1536693725941024856,296.82
1536693726173442712,301.97
1536693726388761944,307.63
1536693726625008952,313.37
1536693726896553368,319.52
1536693727163725880,325.96
1536693727407398648,330.86
1536693727633741208,335.75
1536693727885930968,340.94
1536693728177278872,346.59
1536693728383002264,351.08
1536693728630360280,355.69
1536693728883476792,0.48
1536693729163461272,5.1
1536693729363130296,8.53
1536693729582473688,11.85
1536693729807629496,16.13
1536693730025861656,19.8
1536693730327882840,24.86
1536693730527206264,28.54
1536693730782657368,33.74
1536693731002966264,38.07
1536693731245424088,42.38
1536693731521793784,47.84
1536693731737700856,51.79
1536693731975675320,56.69
1536693732198123320,61.78
1536693732452890072,66.98
1536693732737646296,72.92
1536693732935271480,77.81
1536693733177278584,83.55
1536693733404543480,88.99
1536693733652178104,94.89
1536693733904136280,101.83
1536693734155662392,107.64
1536693734431395384,114.07
1536693734648171352,119.37
1536693734898408952,125.56
1536693735124078456,131.36
1536693735391677048,137.7
1536693735589634104,142.21
1536693735874485720,149.66
1536693736094171288,155.84
1536693736315752824,160.93
1536693736547962808,165.74
1536693736777311160,170.67
1536693737028281304,176.24
1536693737280173144,181.88
1536693737521174968,187.47
1536693737738594296,192.55
1536693737987658360,198.53
1536693738199372632,203.88
1536693738439514648,209.58
1536693738677001848,215.87
1536693738881993720,221.49
1536693739127648504,227.56
1536693739350155416,232.34
1536693739583947256,238.45
1536693739828400280,245.2
1536693740081222360,251.17
1536693740308058936,256.46
1536693740541572952,262.31
1536693740756767544,267.64
1536693740992828600,273.09
1536693741222879192,278.6
1536693741490975384,283.98
1536693741719872536,289.15
1536693741951331992,294.31
1536693742221062200,299.91
1536693742445340344,305.19
1536693742678771672,310.16
1536693742957165720,316.54
1536693743212280280,321.79
1536693743423244312,326.41
1536693743667646008,331.47
1536693743949296952,336.42
1536693744178742424,340.85
1536693744399742392,344.81
1536693744673608280,349.59
1536693744867350712,352.91
1536693745138834904,357.11
1536693745367812344,0.87
1536693745633356792,5.55
1536693745814336568,8.91
1536693746024404760,13.78
1536693746265616376,18.25
1536693746494753880,23.15
1536693746770447352,28.81
1536693747008044920,33.43
1536693747275199416,39.51
1536693747507522328,44.72
1536693747761631672,50.09
1536693747927759512,54.11
1536693748175566680,59.37
1536693748438937720,65.15
1536693748688370232,70.46
1536693748934020280,75.58
1536693749186482264,80.64
1536693749441578456,85.49
1536693749688096760,90.78
1536693749951892216,97.16
1536693750200529496,102.58
1536693750444667928,108.01
1536693750692361624,113.49
1536693750869438456,118.27
1536693751169200152,125.14
1536693751379231896,130.53
1536693751634435608,136.84
1536693751874483448,135.86
1536693752130149432,127.74
1536693752391554776,125.65
1536693752606628440,128.33
1536693752847219160,130.12
1536693753121177112,127.77
1536693753326474648,125.83
1536693753593426584,124.52
1536693753836146584,124.8
1536693754088284920,125.06
1536693754320673688,124.63
1536693754584891416,123.7
1536693754831696088,122.53
1536693755072911672,121.99
1536693755325551896,121.65
1536693755555379448,120.78
1536693755773965976,120.12
1536693756030435736,119.65
1536693756222504248,119.68
1536693756503961688,119.79
1536693756733941368,119.62
1536693757001628248,119.69
1536693757227919288,119.79
1536693757527944568,120.15
1536693757750986808,120.36
1536693758007857336,120.77
1536693758193786456,121.08
1536693758451750072,121.33
1536693758708001816,121.77
1536693758949095704,122.71
1536693759169271384,123.26
1536693759398526040,123.23
1536693759657546008,123.39
1536693759905225080,123.88
1536693760176088536,124.19
1536693760413294712,124.32
1536693760646515992,124.63
