%time,field.data
1536693691535326200,44.345
1536693691807482328,44.145
1536693692065576696,43.901
1536693692270771800,43.692
1536693692500529144,43.422
1536693692691765784,43.173
1536693692954238552,42.849
1536693693178773784,42.615
1536693693403946456,42.405
1536693693640304312,42.272
1536693693877847960,42.197
1536693694134389944,42.208
1536693694358696728,42.266
1536693694592545720,42.37
1536693694859313432,42.575
1536693695100779672,42.901
1536693695319090040,43.236
1536693695548868792,43.642
1536693695818727288,44.089
1536693696053473208,44.477
1536693696269603512,44.81
1536693696500433688,45.093
1536693696737656984,45.402
1536693696978143800,45.603
1536693697217195896,45.739
1536693697484454712,45.789
1536693697723624088,45.774
1536693697944959960,45.699
1536693698210491928,45.528
1536693698407899832,45.32
1536693698669665720,45.03
1536693698915673944,44.784
1536693699211305656,44.48
1536693699413154072,44.337
1536693699664944696,44.156
1536693699909073624,44.039
1536693700165110392,43.961
1536693700383474232,43.934
1536693700596574360,43.947
1536693700833730520,43.981
1536693701080783864,44.09
1536693701341958328,44.308
1536693701595370776,44.606
1536693701811133848,44.988
1536693702026504856,45.383
1536693702312061272,45.845
1536693702555705464,46.224
1536693702794839128,46.528
1536693703039439640,46.684
1536693703366909208,46.772
1536693703539951288,46.73
1536693703788467576,46.546
1536693704028680088,46.251
1536693704285004280,45.819
1536693704575262168,45.259
1536693704804686200,44.776
1536693705006939704,44.374
1536693705253125976,43.96
1536693705485298040,43.696
1536693705713350744,43.475
1536693705931901528,43.336
1536693706188860728,43.219
1536693706436254520,43.123
1536693706687333272,43.042
1536693706919046168,43.023
1536693707177158808,43.029
1536693707403036472,43.07
1536693707671524696,43.146
1536693707894746616,43.265
1536693708138760632,43.404
1536693708362081784,43.55
1536693708584349208,43.738
1536693708855613976,44.009
1536693709091954616,44.223
1536693709368451928,44.549
1536693709577698776,44.792
1536693709858540728,45.122
1536693710040874648,45.309
1536693710294640824,45.521
1536693710560532152,45.7
1536693710735596312,45.789
1536693710992152472,45.855
1536693711232901592,45.867
1536693711498680248,45.818
1536693711723059032,45.721
1536693711962894776,45.554
1536693712207144952,45.388
1536693712439382008,45.192
1536693712685954520,44.98
1536693712937776824,44.758
1536693713169295768,44.588
1536693713440243288,44.397
1536693713652295000,44.257
1536693713888006680,44.111
1536693714211132792,44.012
1536693714375499576,43.98
1536693714617534328,43.98
1536693714832058936,44.017
1536693715111949368,44.131
1536693715333854584,44.246
1536693715568768824,44.352
1536693715808456408,44.466
1536693716025148056,44.562
1536693716320843224,44.68
1536693716546346584,44.73
1536693716815085688,44.745
1536693717022209208,44.718
1536693717305459352,44.626
1536693717541877656,44.495
1536693717785481528,44.29
1536693718044699192,44.116
1536693718243239928,43.956
1536693718524703928,43.824
1536693718746393048,43.748
1536693719011840184,43.662
1536693719213587544,43.586
1536693719450374776,43.51
1536693719709318424,43.453
1536693719952071960,43.48
1536693720200031928,43.547
1536693720402889656,43.635
1536693720629713752,43.737
1536693720887338104,43.856
1536693721154579544,44.026
1536693721365068056,44.141
1536693721578570104,44.245
1536693721833800952,44.328
1536693722112028152,44.434
1536693722322822488,44.594
1536693722593917400,44.817
1536693722777592120,45.066
1536693723030455160,45.349
1536693723287221304,45.583
1536693723522628344,45.722
1536693723780823640,45.829
