%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1536693691520520312,24442,1536693691519866680,base_link,-558000.0,-55000.0,-924000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693691584411864,24443,1536693691583765336,base_link,-558000.0,-55000.0,-924000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693691688299640,24444,1536693691687698008,base_link,-587000.0,-73000.0,-925000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693691801639864,24445,1536693691800157176,base_link,-608000.0,-113000.0,-931000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693691885118168,24446,1536693691884404184,base_link,-608000.0,-113000.0,-931000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693691982047256,24447,1536693691981472472,base_link,-620000.0,-129000.0,-925000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693692080090104,24448,1536693692079585176,base_link,-666000.0,-141000.0,-952000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693692161520856,24449,1536693692159490104,base_link,-701000.0,-146000.0,-952000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693692267470040,24450,1536693692266645976,base_link,-743000.0,-151000.0,-1000000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693692417409688,24451,1536693692416669336,base_link,-459000.0,-168000.0,-1015000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693692475348376,24452,1536693692474230296,base_link,-701000.0,-162000.0,-1043000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693692550772728,24453,1536693692550155896,base_link,-701000.0,-162000.0,-1043000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693692670157624,24454,1536693692669387768,base_link,-974000.0,-171000.0,-1009000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693692769039032,24455,1536693692767942136,base_link,-876000.0,-174000.0,-1046000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693692869788728,24456,1536693692869142904,base_link,-389000.0,-173000.0,-1082000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536693692975892120,24457,1536693692970839704,base_link,-598000.0,-167000.0,-1076000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
