%time,field.header.seq,field.header.stamp,field.header.frame_id,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist
1536693691516992440,31553,1536693691516139800,NED,0.229999989271,-168.137939453,-34.9937019348,9
1536693691580730840,31554,1536693691579760248,NED,0.229999989271,-168.137939453,-34.9937019348,9
1536693691613529048,31555,1536693691607879800,NED,0.299999982119,-168.137939453,-33.2803192139,10
1536693691685314616,31556,1536693691684782744,NED,0.299999982119,-168.137939453,-33.2803192139,10
1536693691751506904,31557,1536693691748694680,NED,0.370000004768,-169.25201416,-31.541469574,12
1536693691818909336,31558,1536693691817265496,NED,0.449999988079,-169.25201416,-29.807598114,14
1536693691857917880,31559,1536693691855720536,NED,0.449999988079,-169.25201416,-29.807598114,14
1536693691933473272,31560,1536693691932477816,NED,0.539999961853,-170.668609619,-28.0673980713,16
1536693691977507096,31561,1536693691976571576,NED,0.539999961853,-170.668609619,-28.0673980713,16
1536693692025983960,31562,1536693692024375448,NED,0.639999985695,-170.668609619,-26.3062458038,17
1536693692077482360,31563,1536693692076152568,NED,0.639999985695,-170.668609619,-26.3062458038,17
1536693692109224280,31564,1536693692107864408,NED,0.729999959469,-170.783813477,-24.5867824554,19
1536693692157506040,31565,1536693692156156984,NED,0.729999959469,-170.783813477,-24.5867824554,19
1536693692208499064,31566,1536693692207801304,NED,0.839999973774,-170.783813477,-22.8373699188,21
1536693692263330616,31567,1536693692262598136,NED,0.839999973774,-170.783813477,-22.8373699188,21
1536693692333564952,31568,1536693692332943000,NED,0.939999997616,-163.3565979,-21.1286888123,22
1536693692437982424,31569,1536693692436181784,NED,1.04999995232,-163.3565979,-19.3855342865,24
1536693692496498232,31570,1536693692495769624,NED,1.16999995708,-163.3565979,-17.6391048431,26
1536693692537102776,31571,1536693692536481528,NED,1.16999995708,-163.3565979,-17.6391048431,26
1536693692579902104,31572,1536693692578112408,NED,1.16999995708,-163.3565979,-17.6391048431,26
1536693692609668568,31573,1536693692608648344,NED,1.28999996185,-172.514343262,-15.9035930634,28
1536693692665414104,31574,1536693692663583832,NED,1.28999996185,-172.514343262,-15.9035930634,28
1536693692687288952,31575,1536693692686782008,NED,1.41999995708,-181.922149658,-14.1669502258,29
1536693692765013272,31576,1536693692762534296,NED,1.41999995708,-181.922149658,-14.1669502258,29
1536693692780568504,31577,1536693692778943032,NED,1.41999995708,-181.922149658,-14.1669502258,29
1536693692843931608,31578,1536693692841579640,NED,1.53999996185,-181.922149658,-12.4511356354,31
1536693692866808440,31579,1536693692866334872,NED,1.53999996185,-181.922149658,-12.4511356354,31
1536693692913114040,31580,1536693692911816312,NED,1.66999995708,-192.737762451,-10.6993331909,33
