%time,field.header.seq,field.header.stamp,field.header.frame_id,field.connected,field.armed,field.guided,field.mode,field.system_status
1536693691597117816,2466,1536693691596634776,,1,1,1,GUIDED,4
1536693692587260760,2467,1536693692586996952,,1,1,1,GUIDED,4
1536693693580038904,2468,1536693693579749912,,1,1,1,GUIDED,4
1536693694596516376,2469,1536693694596319480,,1,1,1,GUIDED,4
1536693695606349656,2470,1536693695606112792,,1,1,1,GUIDED,4
1536693696592190520,2471,1536693696591989752,,1,1,1,GUIDED,4
1536693697597364696,2472,1536693697590591128,,1,1,1,GUIDED,4
1536693698611514488,2473,1536693698610788280,,1,1,1,GUIDED,4
1536693699604124792,2474,1536693699602987576,,1,1,1,GUIDED,4
1536693700592278776,2475,1536693700591997720,,1,1,1,GUIDED,4
1536693701599026968,2476,1536693701598652728,,1,1,1,GUIDED,4
1536693702582057688,2477,1536693702581779928,,1,1,1,GUIDED,4
1536693703580126872,2478,1536693703579960280,,1,1,1,GUIDED,4
1536693704636007896,2479,1536693704635692184,,1,1,1,GUIDED,4
1536693705570190360,2480,1536693705569981272,,1,1,1,GUIDED,4
1536693706585221784,2481,1536693706584958136,,1,1,1,GUIDED,4
1536693707599559256,2482,1536693707598742040,,1,1,1,GUIDED,4
1536693708587613912,2483,1536693708585581528,,1,1,1,GUIDED,4
1536693709578588408,2484,1536693709577804664,,1,1,1,GUIDED,4
1536693710610406936,2485,1536693710610087320,,1,1,1,GUIDED,4
1536693711590124760,2486,1536693711589833080,,1,1,1,GUIDED,4
1536693712595463544,2487,1536693712595211960,,1,1,1,GUIDED,4
1536693713595215224,2488,1536693713594905400,,1,1,1,GUIDED,4
1536693714617854904,2489,1536693714607989080,,1,1,1,GUIDED,4
1536693715607212056,2490,1536693715606881112,,1,1,1,GUIDED,4
1536693716607486584,2491,1536693716607074200,,1,1,1,GUIDED,4
1536693717570321752,2492,1536693717570041464,,1,1,1,GUIDED,4
1536693718589207352,2493,1536693718587447960,,1,1,1,GUIDED,4
1536693719609438648,2494,1536693719608995640,,1,1,1,GUIDED,4
1536693720594580152,2495,1536693720593911192,,1,1,1,GUIDED,4
1536693721592746040,2496,1536693721591040408,,1,1,1,GUIDED,4
1536693722606451736,2497,1536693722599941752,,1,1,1,GUIDED,4
1536693723591194328,2498,1536693723590656280,,1,1,1,GUIDED,4
1536693724604077016,2499,1536693724603856536,,1,1,1,GUIDED,4
1536693725634457080,2500,1536693725634206328,,1,1,1,GUIDED,4
1536693726585106936,2501,1536693726584791064,,1,1,1,GUIDED,4
1536693727604981528,2502,1536693727604416312,,1,1,1,GUIDED,4
1536693728574309336,2503,1536693728573994616,,1,1,1,GUIDED,4
1536693729590695672,2504,1536693729590433848,,1,1,1,GUIDED,4
1536693730633444408,2505,1536693730632893432,,1,1,1,GUIDED,4
1536693731599543160,2506,1536693731598978200,,1,1,1,GUIDED,4
1536693732601930488,2507,1536693732601628664,,1,1,1,GUIDED,4
1536693733594681816,2508,1536693733594455576,,1,1,1,GUIDED,4
1536693734608033016,2509,1536693734607733528,,1,1,1,GUIDED,4
1536693735593947128,2510,1536693735593684088,,1,1,1,GUIDED,4
1536693736598122776,2511,1536693736597432536,,1,1,1,GUIDED,4
1536693737609253816,2512,1536693737608921688,,1,1,1,GUIDED,4
1536693738591551288,2513,1536693738591162200,,1,1,1,GUIDED,4
1536693739584637016,2514,1536693739583615064,,1,1,1,GUIDED,4
1536693740619447256,2515,1536693740617561656,,1,1,1,GUIDED,4
1536693741586015064,2516,1536693741585679608,,1,1,1,GUIDED,4
1536693742597703192,2517,1536693742597086648,,1,1,1,GUIDED,4
1536693743574421208,2518,1536693743574119576,,1,1,1,GUIDED,4
1536693744599875768,2519,1536693744599579064,,1,1,1,GUIDED,4
1536693745638389176,2520,1536693745638113432,,1,1,1,GUIDED,4
1536693746614257400,2521,1536693746613722712,,1,1,1,GUIDED,4
1536693747602814360,2522,1536693747602538232,,1,1,1,GUIDED,4
1536693748598658520,2523,1536693748598408280,,1,1,1,GUIDED,4
1536693749581172472,2524,1536693749580807320,,1,1,1,GUIDED,4
1536693750599136600,2525,1536693750598941528,,1,1,1,GUIDED,4
1536693751598965016,2526,1536693751598597944,,1,1,1,GUIDED,4
1536693752603440664,2527,1536693752603148728,,1,1,1,GUIDED,4
1536693753596656536,2528,1536693753595036376,,1,1,1,GUIDED,4
1536693754586949304,2529,1536693754586590104,,1,1,1,GUIDED,4
1536693755578098968,2530,1536693755577884120,,1,1,1,GUIDED,4
1536693756604441880,2531,1536693756604121752,,1,1,1,GUIDED,4
1536693757578333176,2532,1536693757578161592,,1,1,1,GUIDED,4
1536693758591206008,2533,1536693758590856408,,1,1,1,GUIDED,4
1536693759610495192,2534,1536693759610006264,,1,1,1,GUIDED,4
1536693760601317368,2535,1536693760600831384,,1,1,1,GUIDED,4
