%time,field.data
1536701775255535472,1
1536701775776449232,1
1536701776253449657,1
1536701776759346733,1
1536701777252234891,1
1536701777763317063,1
1536701778256595449,1
1536701778759215510,1
1536701779259472374,1
1536701779761748433,1
1536701780258003112,1
1536701780757572836,1
1536701781270031688,1
1536701781758967537,1
1536701782280300911,1
1536701782756347376,1
1536701783270715814,1
1536701783766191062,1
1536701784270829870,1
1536701784761485889,1
1536701785265914986,1
1536701785765007250,1
1536701786260817057,1
1536701786756713969,1
1536701787263095387,1
1536701787763370242,1
1536701788270788853,1
1536701788755853414,1
1536701789256142226,1
1536701789757010713,1
1536701790257317932,1
1536701790752103256,1
1536701791269321059,1
1536701791753692270,1
1536701792257586285,1
1536701792752760171,1
1536701793259759712,1
1536701793756667245,1
1536701794262071335,1
1536701794757603981,1
1536701795257338760,1
1536701795762429739,1
1536701796261061636,1
1536701796764929881,1
1536701797264567439,1
1536701797780648780,1
1536701798263670905,1
1536701798756372594,1
1536701799271518285,1
1536701799754712155,1
1536701800261940166,1
1536701800755631316,1
1536701801263985737,1
1536701801750868874,1
1536701802254787570,1
