%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fluid_pressure,field.variance
1536701658954140689,4654,1536701658953830844,base_link,97579.1442871,0.0
1536701659046757905,4655,1536701659046553156,base_link,97573.5656738,0.0
1536701659171260901,4656,1536701659170675207,base_link,97562.3168945,0.0
1536701659276982846,4657,1536701659276399265,base_link,97556.5368652,0.0
1536701659351235104,4658,1536701659348405906,base_link,97548.5595703,0.0
1536701659457760328,4659,1536701659457471035,base_link,97545.7458496,0.0
1536701659565708107,4660,1536701659565496058,base_link,97545.0622559,0.0
1536701659656804299,4661,1536701659656445700,base_link,97548.0895996,0.0
1536701659761701260,4662,1536701659761200623,base_link,97544.3115234,0.0
1536701659858066004,4663,1536701659857215379,base_link,97542.96875,0.0
1536701659954063826,4664,1536701659950028348,base_link,97540.6677246,0.0
1536701660058943276,4665,1536701660058351180,base_link,97541.1315918,0.0
1536701660157315883,4666,1536701660157049094,base_link,97538.104248,0.0
1536701660259640768,4667,1536701660258891237,base_link,97539.9536133,0.0
1536701660382414727,4668,1536701660381880060,base_link,97540.234375,0.0
1536701660454709573,4669,1536701660451691952,base_link,97541.4733887,0.0
1536701660574675654,4670,1536701660574384183,base_link,97544.5373535,0.0
1536701660673264758,4671,1536701660673018489,base_link,97545.4284668,0.0
1536701660743778643,4672,1536701660743238503,base_link,97552.3254395,0.0
1536701660851032783,4673,1536701660850735999,base_link,97558.3557129,0.0
1536701660958109000,4674,1536701660957881714,base_link,97563.9526367,0.0
1536701661065179551,4675,1536701661065000443,base_link,97568.2250977,0.0
1536701661224561170,4676,1536701661224301872,base_link,97578.0151367,0.0
1536701661274648262,4677,1536701661274085394,base_link,97578.0151367,0.0
1536701661359925263,4678,1536701661359502416,base_link,97584.6008301,0.0
1536701661455952600,4679,1536701661455114203,base_link,97589.9902344,0.0
1536701661548050515,4680,1536701661547510215,base_link,97591.003418,0.0
1536701661687572372,4681,1536701661686985686,base_link,97599.0966797,0.0
1536701661755695657,4682,1536701661755187817,base_link,97602.8747559,0.0
1536701661864680532,4683,1536701661864403723,base_link,97608.2702637,0.0
1536701661969275715,4684,1536701661968803536,base_link,97613.9526367,0.0
1536701662075133007,4685,1536701662074701772,base_link,97622.076416,0.0
1536701662195347822,4686,1536701662194804608,base_link,97622.1069336,0.0
1536701662298258400,4687,1536701662297724886,base_link,97634.4665527,0.0
1536701662358815978,4688,1536701662358446494,base_link,97634.4665527,0.0
1536701662485897516,4689,1536701662485596090,base_link,97630.4443359,0.0
1536701662571683638,4690,1536701662571406381,base_link,97638.0187988,0.0
1536701662687214186,4691,1536701662686971726,base_link,97645.4406738,0.0
1536701662794668754,4692,1536701662794251700,base_link,97645.526123,0.0
1536701662889639883,4693,1536701662889323764,base_link,97643.3654785,0.0
1536701662955735714,4694,1536701662952211534,base_link,97648.3154297,0.0
1536701663066780119,4695,1536701663065571342,base_link,97650.2624512,0.0
1536701663161795073,4696,1536701663161330545,base_link,97650.4821777,0.0
1536701663265153789,4697,1536701663264533042,base_link,97648.8647461,0.0
1536701663366600133,4698,1536701663365978746,base_link,97647.6867676,0.0
1536701663467711728,4699,1536701663467432998,base_link,97650.6774902,0.0
1536701663593451479,4700,1536701663592698426,base_link,97651.3671875,0.0
1536701663660543366,4701,1536701663660217579,base_link,97648.1018066,0.0
1536701663774863057,4702,1536701663774556797,base_link,97646.8261719,0.0
1536701663881553336,4703,1536701663881235872,base_link,97645.703125,0.0
1536701663954976321,4704,1536701663954134306,base_link,97644.9951172,0.0
1536701664104758023,4705,1536701664101472269,base_link,97642.791748,0.0
1536701664164392660,4706,1536701664162588106,base_link,97642.791748,0.0
1536701664269706323,4707,1536701664269240003,base_link,97633.8989258,0.0
1536701664390352117,4708,1536701664387768740,base_link,97636.9567871,0.0
1536701664467931808,4709,1536701664467618442,base_link,97635.6323242,0.0
1536701664566944625,4710,1536701664566342734,base_link,97632.1533203,0.0
1536701664688129343,4711,1536701664687618590,base_link,97637.6831055,0.0
1536701664765870920,4712,1536701664765143669,base_link,97632.7697754,0.0
1536701664881010248,4713,1536701664880359570,base_link,97625.8911133,0.0
1536701664977405660,4714,1536701664976516428,base_link,97623.7487793,0.0
1536701665057579516,4715,1536701665056855082,base_link,97619.9768066,0.0
1536701665163351528,4716,1536701665163030447,base_link,97620.4101562,0.0
1536701665267088307,4717,1536701665263931273,base_link,97620.7641602,0.0
1536701665365549299,4718,1536701665364826242,base_link,97612.2192383,0.0
1536701665473166969,4719,1536701665472705290,base_link,97613.2324219,0.0
1536701665580401101,4720,1536701665579588890,base_link,97606.2194824,0.0
1536701665673270380,4721,1536701665672229827,base_link,97608.0383301,0.0
1536701665785186410,4722,1536701665784838791,base_link,97606.0668945,0.0
1536701665877544072,4723,1536701665876903350,base_link,97600.1159668,0.0
1536701666041747930,4724,1536701666040876400,base_link,97599.4750977,0.0
1536701666084128845,4725,1536701666083071261,base_link,97599.4750977,0.0
1536701666155348565,4726,1536701666155004339,base_link,97599.9328613,0.0
1536701666309198909,4727,1536701666308640618,base_link,97597.833252,0.0
1536701666363753738,4728,1536701666362536926,base_link,97597.833252,0.0
1536701666468019004,4729,1536701666467672345,base_link,97597.5830078,0.0
1536701666604485402,4730,1536701666603110162,base_link,97598.6999512,0.0
1536701666682257615,4731,1536701666671903653,base_link,97598.6999512,0.0
1536701666797707108,4732,1536701666797335960,base_link,97599.0600586,0.0
1536701666864570685,4733,1536701666864019053,base_link,97599.0600586,0.0
1536701666963250577,4734,1536701666962843639,base_link,97598.9013672,0.0
1536701667083958954,4735,1536701667083576506,base_link,97599.8046875,0.0
1536701667176746858,4736,1536701667175653485,base_link,97600.7324219,0.0
1536701667270689983,4737,1536701667270305998,base_link,97597.3937988,0.0
1536701667364833023,4738,1536701667363625623,base_link,97602.7038574,0.0
1536701667466692388,4739,1536701667466265027,base_link,97602.545166,0.0
1536701667576627350,4740,1536701667575739014,base_link,97601.184082,0.0
1536701667681691830,4741,1536701667681180021,base_link,97606.8115234,0.0
1536701667768343815,4742,1536701667766632256,base_link,97602.0202637,0.0
1536701667866080310,4743,1536701667865857825,base_link,97602.1362305,0.0
1536701667959373045,4744,1536701667958830183,base_link,97604.0588379,0.0
1536701668061063994,4745,1536701668060834531,base_link,97604.2175293,0.0
1536701668157188327,4746,1536701668156557112,base_link,97607.7575684,0.0
1536701668262213305,4747,1536701668260976325,base_link,97607.2631836,0.0
1536701668373665864,4748,1536701668372323116,base_link,97607.3547363,0.0
1536701668520892553,4749,1536701668520298344,base_link,97613.3178711,0.0
1536701668562177982,4750,1536701668558262966,base_link,97613.3178711,0.0
1536701668658707684,4751,1536701668658453732,base_link,97613.8244629,0.0
1536701668779078558,4752,1536701668777945650,base_link,97618.7866211,0.0
1536701668885112557,4753,1536701668884345675,base_link,97622.9248047,0.0
1536701668980744064,4754,1536701668980091913,base_link,97622.3388672,0.0
1536701669063386693,4755,1536701669062907632,base_link,97629.1015625,0.0
1536701669159769588,4756,1536701669158754677,base_link,97629.5471191,0.0
1536701669289385589,4757,1536701669288306205,base_link,97630.8410645,0.0
1536701669408599705,4758,1536701669408177786,base_link,97640.4296875,0.0
1536701669460387792,4759,1536701669460126221,base_link,97640.4296875,0.0
1536701669557954303,4760,1536701669557520731,base_link,97638.1591797,0.0
1536701669649586954,4761,1536701669649175150,base_link,97647.0275879,0.0
1536701669763832345,4762,1536701669763546381,base_link,97646.7163086,0.0
1536701669867425837,4763,1536701669866994922,base_link,97649.8352051,0.0
1536701669961813418,4764,1536701669961230510,base_link,97648.3886719,0.0
1536701670067140558,4765,1536701670066623914,base_link,97654.3334961,0.0
1536701670161379666,4766,1536701670160836101,base_link,97660.3942871,0.0
1536701670260926957,4767,1536701670259014042,base_link,97658.5449219,0.0
1536701670367799641,4768,1536701670366926895,base_link,97664.5629883,0.0
1536701670463236066,4769,1536701670462831273,base_link,97660.8581543,0.0
1536701670574742502,4770,1536701670574304512,base_link,97668.5241699,0.0
1536701670662610306,4771,1536701670660349388,base_link,97671.5759277,0.0
1536701670744067015,4772,1536701670743664783,base_link,97676.4221191,0.0
1536701670862914529,4773,1536701670862386682,base_link,97676.763916,0.0
1536701670976220045,4774,1536701670975880300,base_link,97676.184082,0.0
1536701671082433311,4775,1536701671081921822,base_link,97673.3947754,0.0
1536701671160146942,4776,1536701671159750600,base_link,97676.8127441,0.0
1536701671271317602,4777,1536701671271007885,base_link,97671.5209961,0.0
1536701671376199390,4778,1536701671375454308,base_link,97670.690918,0.0
1536701671517971217,4779,1536701671516906366,base_link,97658.581543,0.0
1536701671580935368,4780,1536701671580398813,base_link,97658.581543,0.0
1536701671657261370,4781,1536701671654449363,base_link,97661.8408203,0.0
1536701671763448163,4782,1536701671761172262,base_link,97662.9638672,0.0
1536701671877324902,4783,1536701671877009807,base_link,97654.6020508,0.0
1536701671970291209,4784,1536701671969978771,base_link,97653.3630371,0.0
1536701672072829935,4785,1536701672071826292,base_link,97647.2351074,0.0
1536701672157271388,4786,1536701672156918551,base_link,97645.0744629,0.0
1536701672262923739,4787,1536701672261134167,base_link,97639.9719238,0.0
1536701672368180900,4788,1536701672367674245,base_link,97638.6169434,0.0
1536701672476258103,4789,1536701672475927066,base_link,97628.4973145,0.0
1536701672554886640,4790,1536701672552536695,base_link,97631.9335938,0.0
1536701672686565084,4791,1536701672680034199,base_link,97628.2409668,0.0
1536701672771338598,4792,1536701672770125436,base_link,97629.3640137,0.0
1536701672886669519,4793,1536701672884240409,base_link,97624.5056152,0.0
1536701672982998634,4794,1536701672982383137,base_link,97621.2402344,0.0
1536701673078132641,4795,1536701673077805797,base_link,97618.8354492,0.0
1536701673173941559,4796,1536701673172703619,base_link,97615.435791,0.0
1536701673262844987,4797,1536701673262386285,base_link,97612.7502441,0.0
1536701673385828944,4798,1536701673385072723,base_link,97606.1767578,0.0
1536701673460391592,4799,1536701673459947552,base_link,97603.5827637,0.0
1536701673570753883,4800,1536701673570216143,base_link,97602.2644043,0.0
1536701673654137592,4801,1536701673653609841,base_link,97597.5524902,0.0
1536701673755817657,4802,1536701673753791163,base_link,97598.0224609,0.0
1536701673883684261,4803,1536701673883372911,base_link,97596.4111328,0.0
1536701674002484973,4804,1536701674001753208,base_link,97594.1223145,0.0
1536701674075182531,4805,1536701674074469622,base_link,97593.3776855,0.0
1536701674165333247,4806,1536701674165034350,base_link,97592.2790527,0.0
1536701674273611262,4807,1536701674271291441,base_link,97591.1560059,0.0
1536701674435254408,4808,1536701674434310147,base_link,97590.6616211,0.0
1536701674487735781,4809,1536701674487477667,base_link,97590.6616211,0.0
1536701674567071752,4810,1536701674566783707,base_link,97588.6291504,0.0
1536701674701749186,4811,1536701674700289914,base_link,97590.4968262,0.0
1536701674768237165,4812,1536701674766680161,base_link,97590.1245117,0.0
1536701674864504016,4813,1536701674864178133,base_link,97588.6535645,0.0
1536701674978654395,4814,1536701674978227546,base_link,97594.0002441,0.0
1536701675080004127,4815,1536701675079463667,base_link,97596.0693359,0.0
1536701675166089402,4816,1536701675165559794,base_link,97597.8515625,0.0
1536701675275339656,4817,1536701675274985251,base_link,97598.059082,0.0
1536701675373882344,4818,1536701675373246039,base_link,97605.2856445,0.0
1536701675522649839,4819,1536701675521916698,base_link,97612.7868652,0.0
1536701675557899675,4820,1536701675553485655,base_link,97612.7868652,0.0
1536701675667532570,4821,1536701675665220240,base_link,97615.7775879,0.0
1536701675766312659,4822,1536701675765483546,base_link,97615.1062012,0.0
1536701675848698616,4823,1536701675848341681,base_link,97622.2412109,0.0
1536701676005729874,4824,1536701676005209454,base_link,97625.1159668,0.0
1536701676077341358,4825,1536701676076988521,base_link,97625.1159668,0.0
1536701676160983437,4826,1536701676160434302,base_link,97624.9572754,0.0
1536701676271803918,4827,1536701676271171230,base_link,97631.5368652,0.0
1536701676369167631,4828,1536701676368746224,base_link,97633.984375,0.0
1536701676488364333,4829,1536701676487971225,base_link,97635.3881836,0.0
1536701676567689421,4830,1536701676566992229,base_link,97636.7858887,0.0
1536701676685138806,4831,1536701676679746720,base_link,97636.1083984,0.0
1536701676793530240,4832,1536701676792070073,base_link,97640.1123047,0.0
1536701676874503791,4833,1536701676872213677,base_link,97640.1123047,0.0
1536701677002822373,4834,1536701677002338350,base_link,97638.5131836,0.0
1536701677079463118,4835,1536701677078668770,base_link,97638.5131836,0.0
1536701677166593684,4836,1536701677163853896,base_link,97636.1877441,0.0
1536701677283811846,4837,1536701677283354681,base_link,97636.5600586,0.0
1536701677384890276,4838,1536701677384543328,base_link,97633.9599609,0.0
1536701677468887465,4839,1536701677464615706,base_link,97637.487793,0.0
1536701677562908059,4840,1536701677562438698,base_link,97637.5976562,0.0
1536701677671351064,4841,1536701677669624428,base_link,97641.3024902,0.0
1536701677772588306,4842,1536701677772181208,base_link,97643.0969238,0.0
1536701677877888332,4843,1536701677877596093,base_link,97646.1791992,0.0
1536701677980040928,4844,1536701677979066031,base_link,97648.614502,0.0
1536701678078766180,4845,1536701678077686572,base_link,97648.248291,0.0
1536701678160612764,4846,1536701678159299372,base_link,97647.0581055,0.0
1536701678279851242,4847,1536701678278133857,base_link,97649.0539551,0.0
1536701678362010009,4848,1536701678361451270,base_link,97644.7570801,0.0
1536701678484194176,4849,1536701678482696682,base_link,97650.1464844,0.0
1536701678580234125,4850,1536701678579926137,base_link,97646.7224121,0.0
1536701678691323507,4851,1536701678691053581,base_link,97642.4987793,0.0
1536701678780234266,4852,1536701678776376904,base_link,97641.1010742,0.0
1536701678875129943,4853,1536701678874150981,base_link,97634.7717285,0.0
