%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1536701659110293888,1436,1536701659106000329,base_link,0.00847617739148,-0.124906869891,-0.988456138478,-0.0853281347326,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.23681855202,0.032565176487,-0.153524383903,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.36284605,-0.26477955,6.5704555,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536701659379599137,1437,1536701659379327962,base_link,-0.00784285761748,-0.241973193292,-0.966568355674,-0.0844575462735,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.626153707504,-0.102254651487,0.115826554596,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-1.0787315,-0.20593965,10.198916,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536701659715551497,1438,1536701659715297096,base_link,-0.0226643452141,-0.32949335686,-0.941324313729,-0.0694909463452,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.277794152498,0.106693506241,0.0389253981411,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.97085835,0.71588545,11.4737805,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536701660153138368,1439,1536701660152708990,base_link,0.00585529868078,-0.359453126176,-0.926044962966,-0.114890783462,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00160464458168,0.151725977659,-0.440966576338,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-1.0787315,1.12776475,6.08992965,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536701660538456619,1440,1536701660534749170,base_link,0.0376851777226,-0.369519860892,-0.90503914166,-0.207217402379,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.100614830852,-0.132333859801,-0.427224010229,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-1.4121576,0.5295591,8.01203305,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536701660762178462,1441,1536701660761545967,base_link,0.0287933055133,-0.38302567772,-0.888034466861,-0.252699547746,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.161660820246,-0.18095459044,-0.223112493753,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-1.20621795,0.2745862,12.62115855,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536701661232967548,1442,1536701661232665354,base_link,-0.0113819093054,-0.386156272328,-0.866124392806,-0.317147160903,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0595078319311,-0.271034181118,-0.21871098876,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-1.0198916,0.89240515,13.34685065,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536701661664430377,1443,1536701661664191694,base_link,-0.0401874867437,-0.368057046836,-0.840087845917,-0.396448467428,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0026867967099,-0.26929217577,-0.282294869423,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.89240515,0.7256921,12.5721253,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536701662077533818,1444,1536701662077228999,base_link,-0.0829907611782,-0.351842017131,-0.804128518154,-0.47190788808,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0547700449824,-0.359313964844,-0.327437758446,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.588399,1.1375714,14.8472681,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536701662538431581,1445,1536701662537959082,base_link,-0.137770312276,-0.326596496015,-0.748825848798,-0.560012426664,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0551290623844,-0.423153936863,-0.172109693289,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.2353596,0.4903325,16.89685795,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
