%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1536701658932994008,800,1536701658932432516,NED,15.0,0.0
1536701658948454572,801,1536701658948180485,NED,15.0,0.0
1536701659007242009,802,1536701659006872493,NED,15.0,0.0
1536701659043712146,803,1536701659043411744,NED,15.0,0.0
1536701659096877489,804,1536701659096321759,NED,15.0,0.0
1536701659139715409,805,1536701659136044774,NED,15.0,0.0
1536701659187125841,806,1536701659186805112,NED,15.0,0.0
1536701659268014400,807,1536701659267700809,NED,15.0,0.0
1536701659316054094,808,1536701659315663002,NED,16.0,0.0
1536701659369072950,809,1536701659368623052,NED,16.0,0.0
1536701659412571664,810,1536701659412327636,NED,16.0,0.0
1536701659445787707,811,1536701659445316809,NED,16.0,0.0
1536701659505677640,812,1536701659505379095,NED,16.0,0.0
1536701659531060546,813,1536701659530560966,NED,16.0,0.0
1536701659637977855,814,1536701659635889898,NED,16.0,0.0
1536701659652451870,815,1536701659651301291,NED,16.0,0.0
1536701659712483681,816,1536701659711939219,NED,16.0,0.0
1536701659746132784,817,1536701659745784012,NED,16.0,0.0
1536701659818949139,818,1536701659818541817,NED,16.0,0.0
1536701659854893861,819,1536701659854178007,NED,16.0,0.0
1536701659935164682,820,1536701659933774653,NED,16.0,0.0
1536701659944790657,821,1536701659943084444,NED,16.0,0.0
1536701660026420295,822,1536701660025631613,NED,16.0,0.0
1536701660056189531,823,1536701660055166009,NED,16.0,0.0
1536701660104291873,824,1536701660102742744,NED,16.0,0.0
1536701660140399569,825,1536701660139873771,NED,16.0,0.0
1536701660202696300,826,1536701660202420420,NED,16.0,0.0
1536701660219121869,827,1536701660218128053,NED,16.0,0.0
1536701660304522021,828,1536701660303726136,NED,16.0,0.0
1536701660319436970,829,1536701660318703893,NED,16.0,0.0
1536701660394902038,830,1536701660394247199,NED,16.0,0.0
1536701660420498818,831,1536701660419560095,NED,16.0,0.0
1536701660494462166,832,1536701660493675693,NED,16.0,0.0
1536701660532784524,833,1536701660531432749,NED,16.0,0.0
1536701660571287685,834,1536701660570727249,NED,16.0,0.0
1536701660616573282,835,1536701660616185968,NED,16.0,0.0
1536701660664867056,836,1536701660664232384,NED,16.0,0.0
1536701660724358695,837,1536701660724022920,NED,16.0,0.0
1536701660740757854,838,1536701660740258561,NED,16.0,0.0
1536701660784956768,839,1536701660782676578,NED,16.0,0.0
1536701660848540289,840,1536701660847596413,NED,16.0,0.0
1536701660867478520,841,1536701660866804825,NED,16.0,0.0
1536701660928438361,842,1536701660926582556,NED,16.0,0.0
1536701660951881334,843,1536701660951580997,NED,16.0,0.0
1536701661018718790,844,1536701661018259352,NED,16.0,0.0
1536701661063865294,845,1536701661063264843,NED,16.0,0.0
1536701661109784827,846,1536701661109280540,NED,16.0,0.0
1536701661216085102,847,1536701661210736425,NED,16.0,0.0
1536701661271753408,848,1536701661270794678,NED,16.0,0.0
1536701661318282771,849,1536701661317173552,NED,16.0,0.0
1536701661349980352,850,1536701661340111854,NED,16.0,0.0
1536701661424796311,851,1536701661423785978,NED,16.0,0.0
1536701661455811203,852,1536701661450692308,NED,16.0,0.0
1536701661502526364,853,1536701661501537670,NED,16.0,0.0
1536701661534172150,854,1536701661533600477,NED,16.0,0.0
1536701661642125498,855,1536701661641815589,NED,16.0,0.0
1536701661723105515,856,1536701661722603885,NED,16.0,0.0
1536701661768008343,857,1536701661767590073,NED,16.0,0.0
1536701661797456914,858,1536701661796881401,NED,16.0,0.0
1536701661839292759,859,1536701661838889951,NED,16.0,0.0
1536701661909072607,860,1536701661908291736,NED,16.0,0.0
1536701661966574406,861,1536701661965328975,NED,16.0,0.0
1536701662013467330,862,1536701662011744599,NED,16.0,0.0
1536701662050249265,863,1536701662049187328,NED,16.0,0.0
1536701662116597544,864,1536701662116158402,NED,16.0,0.0
1536701662192570164,865,1536701662191978868,NED,16.0,0.0
1536701662216923849,866,1536701662214646156,NED,16.0,0.0
1536701662292109036,867,1536701662291054717,NED,16.0,0.0
1536701662321831214,868,1536701662321024829,NED,16.0,0.0
1536701662357180095,869,1536701662356559829,NED,16.0,0.0
1536701662398239423,870,1536701662397195893,NED,16.0,0.0
1536701662465165584,871,1536701662463308914,NED,16.0,0.0
1536701662530561502,872,1536701662529619834,NED,16.0,0.0
1536701662568158337,873,1536701662567732928,NED,16.0,0.0
1536701662609079629,874,1536701662607172060,NED,16.0,0.0
1536701662643341667,875,1536701662642265964,NED,16.0,0.0
1536701662705596462,876,1536701662703753590,NED,16.0,0.0
1536701662766390801,877,1536701662765881841,NED,16.0,0.0
1536701662806160618,878,1536701662804134508,NED,16.0,0.0
1536701662868329940,879,1536701662867182147,NED,16.0,0.0
1536701662924301369,880,1536701662921038311,NED,16.0,0.0
1536701662955794873,881,1536701662947754105,NED,16.0,0.0
1536701663034993480,882,1536701663034227143,NED,16.0,0.0
1536701663048264704,883,1536701663047214451,NED,16.0,0.0
1536701663110321185,884,1536701663108707263,NED,16.0,0.0
1536701663158635991,885,1536701663157535927,NED,16.0,0.0
1536701663202231445,886,1536701663199748330,NED,16.0,0.0
1536701663249182888,887,1536701663248598315,NED,16.0,0.0
1536701663336347674,888,1536701663335520290,NED,16.0,0.0
1536701663377981299,889,1536701663376337990,NED,16.0,0.0
1536701663430005475,890,1536701663429680072,NED,16.0,0.0
1536701663436705832,891,1536701663436293804,NED,16.0,0.0
1536701663519030773,892,1536701663518135875,NED,16.0,0.0
1536701663563490810,893,1536701663562879411,NED,16.0,0.0
1536701663621099369,894,1536701663617937822,NED,16.0,0.0
1536701663651637536,895,1536701663651293054,NED,16.0,0.0
1536701663763807582,896,1536701663758417481,NED,16.0,0.0
1536701663796444815,897,1536701663794570986,NED,16.0,0.0
1536701663878820751,898,1536701663878335032,NED,16.0,0.0
1536701663914487064,899,1536701663914217202,NED,16.0,0.0
1536701663941611077,900,1536701663941262113,NED,16.0,0.0
1536701664000149395,901,1536701663999260419,NED,16.0,0.0
1536701664047193609,902,1536701664046816891,NED,16.0,0.0
1536701664130474688,903,1536701664129990985,NED,16.0,0.0
1536701664161507154,904,1536701664153411870,NED,16.0,0.0
1536701664232475450,905,1536701664231487429,NED,16.0,0.0
1536701664250670039,906,1536701664249518852,NED,16.0,0.0
1536701664310168913,907,1536701664309477676,NED,16.0,0.0
1536701664363788124,908,1536701664361959305,NED,16.0,0.0
1536701664432639332,909,1536701664432192091,NED,16.0,0.0
1536701664448766804,910,1536701664447543046,NED,16.0,0.0
1536701664530581249,911,1536701664530203026,NED,16.0,0.0
1536701664563223795,912,1536701664562785805,NED,16.0,0.0
1536701664635564931,913,1536701664635093937,NED,16.0,0.0
1536701664681289414,914,1536701664680180290,NED,16.0,0.0
1536701664728726512,915,1536701664727719635,NED,16.0,0.0
1536701664762446553,916,1536701664761945500,NED,16.0,0.0
1536701664830718119,917,1536701664830215241,NED,16.0,0.0
1536701664861190149,918,1536701664860802546,NED,16.0,0.0
