%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1536701658931916033,815,1536701658930572869,NED,89.0,-84.7684860229
1536701658948131890,816,1536701658947658943,NED,89.0,-84.7684860229
1536701659006435080,817,1536701659005692527,NED,88.0,-84.7684860229
1536701659043181289,818,1536701659042337994,NED,88.0,-84.7684860229
1536701659096783118,819,1536701659094732550,NED,88.0,-84.7684860229
1536701659139018570,820,1536701659135699459,NED,88.0,-80.4045944214
1536701659185212222,821,1536701659184917231,NED,88.0,-80.4045944214
1536701659243665164,822,1536701659242896074,NED,89.0,-80.4045944214
1536701659298107791,823,1536701659295656016,NED,-15.0,-80.4045944214
1536701659345891356,824,1536701659343343641,NED,-15.0,-80.4045944214
1536701659368224053,825,1536701659365230186,NED,-15.0,-80.4045944214
1536701659408320265,826,1536701659407634982,NED,-14.0,-80.3796615601
1536701659443459723,827,1536701659442642646,NED,-14.0,-80.3796615601
1536701659502676890,828,1536701659502355969,NED,-13.0,-80.3796615601
1536701659517193129,829,1536701659516812697,NED,-13.0,-80.3796615601
1536701659630788834,830,1536701659630279585,NED,-12.0,-80.3796615601
1536701659650242491,831,1536701659648769742,NED,-12.0,-80.3796615601
1536701659711151337,832,1536701659710600953,NED,-12.0,-80.3796615601
1536701659743470978,833,1536701659742683864,NED,-12.0,-81.618522644
1536701659816613024,834,1536701659814854503,NED,-11.0,-81.618522644
1536701659851666113,835,1536701659850739651,NED,-11.0,-81.618522644
1536701659934668463,836,1536701659930349294,NED,-10.0,-81.618522644
1536701659940558593,837,1536701659939646568,NED,-10.0,-81.618522644
1536701660022623948,838,1536701660019291969,NED,-9.0,-81.618522644
1536701660051778712,839,1536701660051320139,NED,-9.0,-81.618522644
1536701660101324704,840,1536701660097802989,NED,-8.0,-81.618522644
1536701660138557049,841,1536701660135370052,NED,-8.0,-81.618522644
1536701660200556772,842,1536701660199288964,NED,-7.0,-77.9072265625
1536701660217703573,843,1536701660216270295,NED,-7.0,-77.9072265625
1536701660301820615,844,1536701660301346068,NED,-7.0,-77.9072265625
1536701660319364975,845,1536701660316837876,NED,-7.0,-77.9072265625
1536701660389311765,846,1536701660388779212,NED,-7.0,-77.9072265625
1536701660418690070,847,1536701660418142535,NED,-6.0,-77.9072265625
1536701660494378807,848,1536701660492209891,NED,-6.0,-77.9072265625
1536701660532467860,849,1536701660529358493,NED,-5.0,-77.9072265625
1536701660569770087,850,1536701660569353962,NED,-5.0,-69.1414794922
1536701660613034665,851,1536701660612603622,NED,-4.0,-69.1414794922
1536701660662661519,852,1536701660662263192,NED,-4.0,-69.1414794922
