%time,field.header.seq,field.header.stamp,field.header.frame_id,field.rssi,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7,field.channels8,field.channels9,field.channels10,field.channels11,field.channels12,field.channels13,field.channels14,field.channels15
1536701659010373272,1616,1536701659009989351,,0,1515,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701659271020080,1617,1536701659270744872,,0,1515,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701659486429437,1618,1536701659486256059,,0,1515,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701659805462025,1619,1536701659805048141,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701660150348322,1620,1536701660149680005,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701660499129146,1621,1536701660498877691,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701660730234836,1622,1536701660730010303,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701661080382353,1623,1536701661080127953,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701661465164978,1624,1536701661463360648,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701661828719387,1625,1536701661828370839,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701662197383439,1626,1536701662197011202,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701662573677831,1627,1536701662573378038,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701662892257929,1628,1536701662892031763,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701663253708406,1629,1536701663252817734,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701663524113751,1630,1536701663523816006,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701663838970521,1631,1536701663838728989,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701664187489935,1632,1536701664187249588,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701664471220123,1633,1536701664470728674,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701664834670013,1634,1536701664834478452,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701665226696207,1635,1536701665225615095,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701665475783990,1636,1536701665475572550,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701665902419106,1637,1536701665902175718,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701666223608158,1638,1536701666222001246,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701666644376448,1639,1536701666643792483,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701666943694481,1640,1536701666943368566,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701667288876473,1641,1536701667288677774,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701667594669881,1642,1536701667594335387,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701667994664016,1643,1536701667994480683,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701668358163460,1644,1536701668357722141,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701668655980765,1645,1536701668655769902,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701669041849369,1646,1536701669040726640,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701669442840264,1647,1536701669442340747,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701669729055072,1648,1536701669727893096,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701670023520646,1649,1536701670023231993,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701670361295999,1650,1536701670360990956,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701670709820023,1651,1536701670709376335,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701671023568982,1652,1536701671022595014,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701671275305318,1653,1536701671275072878,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701671715173340,1654,1536701671714916442,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536701671919696469,1655,1536701671919318311,,0,1514,1552,1803,1508,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
