%time,field.header.seq,field.header.stamp,field.header.frame_id,field.connected,field.armed,field.guided,field.mode,field.system_status
1536701659101692557,484,1536701659101081222,,1,1,1,GUIDED,4
1536701660104657643,485,1536701660103587799,,1,1,1,GUIDED,4
1536701661080940932,486,1536701661080744474,,1,1,1,GUIDED,4
1536701662099145635,487,1536701662098845105,,1,1,1,GUIDED,4
1536701663067496614,488,1536701663066593040,,1,1,1,GUIDED,4
1536701664104810587,489,1536701664104184655,,1,1,1,GUIDED,4
1536701665065626302,490,1536701665059031521,,1,1,1,GUIDED,4
1536701666087377465,491,1536701666087060129,,1,1,1,GUIDED,4
1536701667095689980,492,1536701667095265884,,1,1,1,GUIDED,4
1536701668073215659,493,1536701668071843652,,1,1,1,GUIDED,4
1536701669097207189,494,1536701669096654020,,1,1,1,GUIDED,4
1536701670069408423,495,1536701670069163306,,1,1,1,GUIDED,4
1536701671088147119,496,1536701671087707881,,1,1,1,GUIDED,4
1536701672110669838,497,1536701672109891144,,1,1,1,GUIDED,4
1536701673084565312,498,1536701673084223359,,1,1,1,GUIDED,4
1536701674079000454,499,1536701674078643487,,1,1,1,GUIDED,4
1536701675091021604,500,1536701675090561750,,1,1,1,GUIDED,4
1536701676079718545,501,1536701676078940939,,1,1,1,GUIDED,4
1536701677085044780,502,1536701677084723794,,1,1,1,GUIDED,4
1536701678090946080,503,1536701678090285606,,1,1,1,GUIDED,4
1536701679107370301,504,1536701679107093909,,1,1,1,GUIDED,4
1536701680110210380,505,1536701680109373616,,1,1,1,GUIDED,4
1536701681104090528,506,1536701681103803476,,1,1,1,GUIDED,4
1536701682109166365,507,1536701682107557628,,1,1,1,GUIDED,4
1536701683090828807,508,1536701683089636324,,1,1,1,GUIDED,4
1536701684113463120,509,1536701684103371977,,1,1,1,GUIDED,4
1536701685074251240,510,1536701685073766384,,1,1,1,GUIDED,4
1536701686068145857,511,1536701686067831851,,1,1,1,GUIDED,4
1536701687115599312,512,1536701687112882124,,1,1,1,GUIDED,4
1536701688100689930,513,1536701688100073985,,1,1,1,GUIDED,4
1536701689081665680,514,1536701689080636363,,1,1,1,GUIDED,4
1536701690111540458,515,1536701690110998205,,1,1,1,GUIDED,4
1536701691117599481,516,1536701691114452820,,1,1,1,GUIDED,4
1536701692093793137,517,1536701692092467099,,1,1,1,GUIDED,4
1536701693091144325,518,1536701693090832847,,1,1,1,GUIDED,4
1536701694083010368,519,1536701694075551581,,1,1,1,GUIDED,4
1536701695106409194,520,1536701695101659783,,1,1,1,GUIDED,4
1536701696106542394,521,1536701696106182514,,1,1,1,GUIDED,4
1536701697079635165,522,1536701697079340909,,1,1,1,GUIDED,4
1536701698114161941,523,1536701698112016554,,1,1,1,GUIDED,4
1536701699075059414,524,1536701699074637174,,1,1,1,GUIDED,4
1536701700111372049,525,1536701700110732703,,1,1,1,GUIDED,4
1536701701103283165,526,1536701701102842487,,1,1,1,GUIDED,4
1536701702122927868,527,1536701702121262150,,1,1,1,GUIDED,4
1536701703124428401,528,1536701703123971844,,1,1,1,GUIDED,4
1536701704099873165,529,1536701704099532460,,1,1,1,GUIDED,4
1536701705104002307,530,1536701705103194898,,1,1,1,GUIDED,4
1536701706116867327,531,1536701706116528191,,1,1,1,GUIDED,4
1536701707097852265,532,1536701707097168199,,1,1,1,GUIDED,4
1536701708078178266,533,1536701708077760572,,1,1,1,GUIDED,4
1536701709108460526,534,1536701709107973718,,1,1,1,GUIDED,4
1536701710105204413,535,1536701710104855673,,1,1,1,GUIDED,4
1536701711115465025,536,1536701711112443595,,1,1,1,GUIDED,4
1536701712109257460,537,1536701712108942076,,1,1,1,GUIDED,4
1536701713110279315,538,1536701713106633777,,1,1,1,GUIDED,4
1536701714120429133,539,1536701714119995786,,1,1,1,GUIDED,4
1536701715122400724,540,1536701715120239075,,1,1,1,GUIDED,4
1536701716121178019,541,1536701716120547445,,1,1,1,GUIDED,4
1536701717113664457,542,1536701717110941636,,1,1,1,GUIDED,4
1536701718088862280,543,1536701718088529706,,1,1,1,GUIDED,4
1536701719123508077,544,1536701719122870620,,1,1,1,GUIDED,4
1536701720102462039,545,1536701720102057406,,1,1,1,GUIDED,4
1536701721122027608,546,1536701721121373697,,1,1,1,GUIDED,4
1536701722115740173,547,1536701722114312721,,1,1,1,GUIDED,4
1536701723127360211,548,1536701723125141196,,1,1,1,GUIDED,4
1536701724121757066,549,1536701724121379419,,1,1,1,GUIDED,4
1536701725101368973,550,1536701725101067611,,1,1,1,GUIDED,4
1536701726144241976,551,1536701726143856358,,1,1,1,GUIDED,4
1536701727080323221,552,1536701727079946119,,1,1,1,GUIDED,4
1536701728127413914,553,1536701728126182985,,1,1,1,GUIDED,4
1536701729090550986,554,1536701729090008061,,1,1,1,GUIDED,4
1536701730129043421,555,1536701730128643974,,1,1,1,GUIDED,4
1536701731100573202,556,1536701731100084825,,1,1,1,GUIDED,4
1536701732108164292,557,1536701732107644992,,1,1,1,GUIDED,4
1536701733117408520,558,1536701733117006640,,1,1,1,GUIDED,4
1536701734130017507,559,1536701734129463570,,1,1,1,GUIDED,4
1536701735124184132,560,1536701735123819162,,1,1,1,GUIDED,4
1536701736124017667,561,1536701736123762850,,1,1,1,GUIDED,4
1536701737100974362,562,1536701737100685293,,1,1,1,GUIDED,4
1536701738129156980,563,1536701738128816147,,1,1,1,GUIDED,4
1536701739097614591,564,1536701739097006745,,1,1,1,GUIDED,4
1536701740113362621,565,1536701740112911251,,1,1,1,GUIDED,4
1536701741115947660,566,1536701741115602217,,1,1,1,GUIDED,4
1536701742127469324,567,1536701742127052303,,1,1,1,GUIDED,4
1536701743125586498,568,1536701743125308345,,1,1,1,GUIDED,4
1536701744093568057,569,1536701744092821567,,1,1,1,GUIDED,4
1536701745130029292,570,1536701745129040118,,1,1,1,GUIDED,4
1536701746139475292,571,1536701746138819812,,1,1,1,GUIDED,4
1536701747124370028,572,1536701747124094980,,1,1,1,GUIDED,4
1536701748113896307,573,1536701748113681025,,1,1,1,GUIDED,4
1536701749130951775,574,1536701749130626084,,1,1,1,GUIDED,4
1536701750147462589,575,1536701750145366725,,1,1,1,GUIDED,4
1536701751124168982,576,1536701751123531749,,1,1,1,GUIDED,4
1536701752139128810,577,1536701752137362639,,1,1,1,GUIDED,4
1536701753147966932,578,1536701753147382744,,1,1,1,GUIDED,4
1536701754120756901,579,1536701754120318143,,1,1,1,GUIDED,4
1536701755102626109,580,1536701755102318889,,1,1,1,GUIDED,4
1536701756122598552,581,1536701756122083125,,1,1,1,GUIDED,4
1536701757085342900,582,1536701757085014135,,1,1,1,GUIDED,4
1536701758137205092,583,1536701758136871622,,1,1,1,GUIDED,4
1536701759098049553,584,1536701759097668898,,1,1,1,GUIDED,4
1536701760134676387,585,1536701760134289937,,1,1,1,GUIDED,4
1536701761109753268,586,1536701761109383817,,1,1,1,GUIDED,4
1536701762099855733,587,1536701762099079023,,1,1,1,GUIDED,4
1536701763120682418,588,1536701763120276569,,1,1,1,GUIDED,4
1536701764142643196,589,1536701764141915657,,1,1,1,GUIDED,4
1536701765091797287,590,1536701765091502232,,1,1,1,GUIDED,4
1536701766120962068,591,1536701766120541685,,1,1,1,GUIDED,4
1536701767126153756,592,1536701767125735422,,1,1,1,GUIDED,4
1536701768156617524,593,1536701768156279093,,1,1,1,GUIDED,4
1536701769156290518,594,1536701769152027755,,1,1,1,GUIDED,4
1536701770123480130,595,1536701770123182354,,1,1,1,GUIDED,4
1536701771128779283,596,1536701771128505355,,1,1,1,GUIDED,4
