%time,field.data
1536701903751688384,3
1536701904265571390,3
1536701904751416502,3
1536701905264379033,3
1536701905763489351,3
1536701906257362810,3
1536701906751307592,3
1536701907261392171,3
1536701907751983845,3
1536701908254622377,3
1536701908761206785,3
1536701909251821988,3
1536701909749160181,3
1536701910253499740,3
1536701910753062838,3
1536701911250479396,3
1536701911757992058,3
1536701912255706233,3
1536701912756700303,3
1536701913256738877,3
1536701913763079416,3
1536701914251782121,3
1536701914768306061,3
1536701915251286283,3
1536701915752753044,3
1536701916252633061,3
1536701916751367782,3
1536701917252627425,3
1536701917756035688,3
1536701918255083679,3
1536701918753062081,3
1536701919259878673,3
1536701919759203792,3
1536701920263982429,3
1536701920765270819,3
1536701921257514478,3
1536701921770450630,3
1536701922260477355,3
1536701922757840069,3
1536701923254044457,3
1536701923762744577,3
1536701924253295852,3
1536701924763116939,3
1536701925252784616,3
1536701925750331047,3
1536701926250263533,3
1536701926754030747,3
1536701927250977432,3
1536701927752597307,3
1536701928259446967,3
1536701928750613611,3
1536701929250643029,3
1536701929758446361,3
1536701930249546388,3
1536701930753133534,3
1536701931256862911,3
1536701931751478218,3
1536701932252546300,3
1536701932751916749,3
1536701933250364193,3
1536701933752711991,3
1536701934255315310,3
1536701934758121201,3
1536701935251235589,3
1536701935767251786,3
1536701936256060803,3
1536701936751897692,3
1536701937254482476,3
1536701937754660494,3
1536701938252039630,3
1536701938754063274,3
1536701939249605331,3
