%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fluid_pressure,field.variance
1536701838024725032,6444,1536701838024002167,base_link,97467.8344727,0.0
1536701838123271081,6445,1536701838122903326,base_link,97472.5708008,0.0
1536701838217386590,6446,1536701838216584463,base_link,97472.9492188,0.0
1536701838310618374,6447,1536701838310096161,base_link,97473.840332,0.0
1536701838450455422,6448,1536701838437533610,base_link,97474.1760254,0.0
1536701838518517564,6449,1536701838518176988,base_link,97476.0498047,0.0
1536701838624085787,6450,1536701838620714433,base_link,97479.6081543,0.0
1536701838731483438,6451,1536701838730893839,base_link,97474.5361328,0.0
1536701838829624277,6452,1536701838829204278,base_link,97478.8330078,0.0
1536701838942557076,6453,1536701838942006147,base_link,97480.6213379,0.0
1536701839053582625,6454,1536701839052600014,base_link,97474.029541,0.0
1536701839137067717,6455,1536701839136809923,base_link,97473.1994629,0.0
1536701839230187074,6456,1536701839229830428,base_link,97468.4143066,0.0
1536701839324601225,6457,1536701839324178761,base_link,97469.0307617,0.0
1536701839422508440,6458,1536701839422235985,base_link,97470.0439453,0.0
1536701839537982167,6459,1536701839537480922,base_link,97470.8251953,0.0
1536701839631835786,6460,1536701839631368249,base_link,97470.5078125,0.0
1536701839734264902,6461,1536701839733739392,base_link,97470.5627441,0.0
1536701839820089599,6462,1536701839819739450,base_link,97475.6286621,0.0
1536701839929472575,6463,1536701839928917037,base_link,97476.6235352,0.0
1536701840057819648,6464,1536701840057397953,base_link,97478.1555176,0.0
1536701840117854596,6465,1536701840112933632,base_link,97485.9375,0.0
1536701840214903951,6466,1536701840214418616,base_link,97487.701416,0.0
1536701840350311869,6467,1536701840347720105,base_link,97493.4509277,0.0
1536701840423181684,6468,1536701840422694908,base_link,97500.012207,0.0
1536701840536354413,6469,1536701840535743334,base_link,97510.1745605,0.0
1536701840665227125,6470,1536701840664851047,base_link,97514.2089844,0.0
1536701840734715758,6471,1536701840734457965,base_link,97514.2089844,0.0
1536701840826392426,6472,1536701840825651698,base_link,97529.3151855,0.0
1536701840929746148,6473,1536701840926995060,base_link,97527.8747559,0.0
1536701841051638397,6474,1536701841049206694,base_link,97538.1408691,0.0
1536701841130258738,6475,1536701841126647261,base_link,97547.6745605,0.0
1536701841263373917,6476,1536701841263028347,base_link,97565.0146484,0.0
1536701841354974813,6477,1536701841354621111,base_link,97565.0146484,0.0
1536701841433183190,6478,1536701841432719239,base_link,97578.6560059,0.0
1536701841536849478,6479,1536701841536556119,base_link,97584.5581055,0.0
1536701841636135166,6480,1536701841635549729,base_link,97595.2575684,0.0
1536701841725177174,6481,1536701841724345692,base_link,97605.0598145,0.0
1536701841865059935,6482,1536701841864728162,base_link,97622.4365234,0.0
1536701841921594649,6483,1536701841921151217,base_link,97622.4365234,0.0
1536701842045874808,6484,1536701842040165482,base_link,97635.0036621,0.0
1536701842160355680,6485,1536701842159964204,base_link,97642.0532227,0.0
1536701842223270180,6486,1536701842222961808,base_link,97653.1799316,0.0
1536701842322538774,6487,1536701842321837645,base_link,97662.7807617,0.0
1536701842468775009,6488,1536701842467147642,base_link,97673.1933594,0.0
1536701842540776080,6489,1536701842539880829,base_link,97670.0744629,0.0
1536701842631949870,6490,1536701842631560635,base_link,97682.8430176,0.0
1536701842729522494,6491,1536701842729065073,base_link,97681.628418,0.0
1536701842821245548,6492,1536701842820524732,base_link,97691.9433594,0.0
1536701842943766419,6493,1536701842943243373,base_link,97694.7631836,0.0
1536701843021241207,6494,1536701843020404506,base_link,97694.2138672,0.0
1536701843111866821,6495,1536701843111507101,base_link,97695.4650879,0.0
1536701843231962679,6496,1536701843231380828,base_link,97698.9929199,0.0
1536701843318630766,6497,1536701843318309237,base_link,97703.338623,0.0
1536701843465886266,6498,1536701843463106143,base_link,97693.3776855,0.0
1536701843545344204,6499,1536701843544999113,base_link,97693.3776855,0.0
1536701843629918251,6500,1536701843629244557,base_link,97695.7092285,0.0
1536701843706540653,6501,1536701843706298994,base_link,97694.3481445,0.0
1536701843828160159,6502,1536701843827798166,base_link,97693.170166,0.0
1536701843929658363,6503,1536701843929163937,base_link,97686.6516113,0.0
1536701844009876941,6504,1536701844009575002,base_link,97685.2539062,0.0
1536701844120937672,6505,1536701844120651355,base_link,97689.5446777,0.0
1536701844235261876,6506,1536701844234882853,base_link,97679.7180176,0.0
1536701844320055782,6507,1536701844319351420,base_link,97679.9560547,0.0
1536701844424248637,6508,1536701844423612749,base_link,97678.1555176,0.0
1536701844538008212,6509,1536701844537239346,base_link,97672.4731445,0.0
1536701844621310739,6510,1536701844620952556,base_link,97665.7714844,0.0
1536701844712076663,6511,1536701844711813364,base_link,97663.9282227,0.0
1536701844825197789,6512,1536701844824840470,base_link,97659.1674805,0.0
1536701844936355388,6513,1536701844935964457,base_link,97658.013916,0.0
1536701845036098145,6514,1536701845035744476,base_link,97659.5703125,0.0
1536701845123481254,6515,1536701845123136484,base_link,97650.5554199,0.0
1536701845202612188,6516,1536701845202315436,base_link,97646.4355469,0.0
1536701845336177362,6517,1536701845335713570,base_link,97641.3635254,0.0
1536701845427064163,6518,1536701845426666637,base_link,97633.9660645,0.0
1536701845550559706,6519,1536701845549752265,base_link,97632.6293945,0.0
1536701845629454871,6520,1536701845627372612,base_link,97629.8156738,0.0
1536701845707953374,6521,1536701845707518266,base_link,97628.4606934,0.0
1536701845832675077,6522,1536701845832341254,base_link,97619.3908691,0.0
1536701845923885360,6523,1536701845923046867,base_link,97620.9716797,0.0
1536701846016898214,6524,1536701846016475750,base_link,97617.1020508,0.0
1536701846129157253,6525,1536701846128804928,base_link,97619.7692871,0.0
1536701846231167651,6526,1536701846229931088,base_link,97617.9870605,0.0
1536701846321273262,6527,1536701846321042454,base_link,97620.5993652,0.0
1536701846406142621,6528,1536701846405805853,base_link,97617.388916,0.0
1536701846524317112,6529,1536701846523178730,base_link,97619.2932129,0.0
1536701846631735443,6530,1536701846631381869,base_link,97618.8354492,0.0
1536701846738250647,6531,1536701846737771714,base_link,97616.9250488,0.0
1536701846831104272,6532,1536701846827093092,base_link,97615.9484863,0.0
1536701846926579560,6533,1536701846926295741,base_link,97616.0705566,0.0
1536701847022813087,6534,1536701847022592267,base_link,97618.9025879,0.0
1536701847114587392,6535,1536701847114143320,base_link,97621.2768555,0.0
1536701847241591013,6536,1536701847241135513,base_link,97622.3571777,0.0
1536701847367671277,6537,1536701847366609051,base_link,97623.828125,0.0
1536701847428529448,6538,1536701847427784686,base_link,97625.3967285,0.0
1536701847540608580,6539,1536701847540195720,base_link,97625.012207,0.0
1536701847621223403,6540,1536701847620845372,base_link,97629.5837402,0.0
1536701847739679153,6541,1536701847739186615,base_link,97626.7456055,0.0
1536701847820880085,6542,1536701847820194994,base_link,97625.9887695,0.0
1536701847919383430,6543,1536701847918680252,base_link,97629.7241211,0.0
1536701848059107283,6544,1536701848058819174,base_link,97624.7497559,0.0
1536701848114131633,6545,1536701848113063293,base_link,97629.8828125,0.0
1536701848225048758,6546,1536701848224731710,base_link,97627.734375,0.0
1536701848320751459,6547,1536701848320039286,base_link,97625.5737305,0.0
1536701848429366370,6548,1536701848428833368,base_link,97627.3010254,0.0
1536701848579981444,6549,1536701848579712574,base_link,97629.083252,0.0
1536701848640245406,6550,1536701848639654527,base_link,97629.083252,0.0
1536701848714660702,6551,1536701848714222616,base_link,97616.6992188,0.0
1536701848832052338,6552,1536701848831718003,base_link,97625.2319336,0.0
1536701848927204015,6553,1536701848926927399,base_link,97622.8881836,0.0
1536701849053301694,6554,1536701849052654281,base_link,97625.2685547,0.0
1536701849128583621,6555,1536701849128205654,base_link,97625.2685547,0.0
1536701849225264613,6556,1536701849224971158,base_link,97626.0681152,0.0
1536701849330859822,6557,1536701849329019062,base_link,97633.5388184,0.0
1536701849434646091,6558,1536701849434164181,base_link,97623.0285645,0.0
1536701849546335187,6559,1536701849545936028,base_link,97629.0344238,0.0
1536701849626923664,6560,1536701849626632610,base_link,97629.9926758,0.0
1536701849725960426,6561,1536701849725628781,base_link,97620.7092285,0.0
1536701849842492890,6562,1536701849842210127,base_link,97627.557373,0.0
1536701849915977529,6563,1536701849915177579,base_link,97623.7243652,0.0
1536701850050479345,6564,1536701850050045004,base_link,97617.7612305,0.0
1536701850117660578,6565,1536701850117321666,base_link,97621.2402344,0.0
1536701850221636775,6566,1536701850221276447,base_link,97619.0551758,0.0
1536701850358683808,6567,1536701850358326169,base_link,97616.5466309,0.0
1536701850411530599,6568,1536701850411242714,base_link,97615.9667969,0.0
1536701850520995847,6569,1536701850520747817,base_link,97608.4716797,0.0
1536701850625512056,6570,1536701850625272254,base_link,97612.5,0.0
1536701850715863615,6571,1536701850715504376,base_link,97613.067627,0.0
1536701850838528701,6572,1536701850837753304,base_link,97609.588623,0.0
1536701850937383346,6573,1536701850936871344,base_link,97608.2092285,0.0
1536701851034210697,6574,1536701851033631406,base_link,97608.5083008,0.0
1536701851128399450,6575,1536701851128060570,base_link,97612.5732422,0.0
1536701851231970950,6576,1536701851231352189,base_link,97616.2231445,0.0
1536701851339117722,6577,1536701851338524922,base_link,97611.5600586,0.0
1536701851427491158,6578,1536701851426949641,base_link,97614.9902344,0.0
1536701851549889070,6579,1536701851549600545,base_link,97615.0817871,0.0
1536701851613848445,6580,1536701851613339581,base_link,97613.2629395,0.0
1536701851716934354,6581,1536701851716323723,base_link,97613.5375977,0.0
1536701851825590560,6582,1536701851825111531,base_link,97614.2028809,0.0
1536701851908547420,6583,1536701851908022581,base_link,97617.0776367,0.0
1536701852016902456,6584,1536701852016587425,base_link,97614.7216797,0.0
1536701852153688879,6585,1536701852153176653,base_link,97619.732666,0.0
1536701852223337829,6586,1536701852223038580,base_link,97611.0351562,0.0
1536701852306930257,6587,1536701852306622429,base_link,97619.732666,0.0
