%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1536701838023168252,6444,1536701838021972536,base_link,27000.0,-223000.0,-487000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536701838121378877,6445,1536701838120591124,base_link,31000.0,-240000.0,-474000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536701838212449620,6446,1536701838211129569,base_link,35000.0,-254000.0,-457000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536701838304707212,6447,1536701838304040336,base_link,35000.0,-271000.0,-443000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536701838437763809,6448,1536701838436019374,base_link,40000.0,-281000.0,-437000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536701838492978951,6449,1536701838492498066,base_link,50000.0,-303000.0,-420000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536701838619231216,6450,1536701838618683457,base_link,49000.0,-291000.0,-429000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536701838728391613,6451,1536701838727887999,base_link,43000.0,-247000.0,-467000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536701838829189201,6452,1536701838828462110,base_link,31000.0,-192000.0,-505000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536701838939182904,6453,1536701838934014615,base_link,33000.0,-133000.0,-529000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536701839051011445,6454,1536701839049733650,base_link,33000.0,-64000.0,-551000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536701839132486081,6455,1536701839132035287,base_link,34000.0,-19000.0,-557000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536701839229193099,6456,1536701839228555097,base_link,37000.0,16000.0,-560000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536701839322613466,6457,1536701839322084946,base_link,42000.0,17000.0,-558000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536701839420763461,6458,1536701839420373873,base_link,37000.0,70000.0,-555000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536701839534994286,6459,1536701839534025248,base_link,42000.0,88000.0,-549000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536701839630571372,6460,1536701839629890635,base_link,44000.0,102000.0,-545000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536701839731731081,6461,1536701839731269690,base_link,46000.0,107000.0,-541000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
