%time,field.header.seq,field.header.stamp,field.header.frame_id,field.airspeed,field.groundspeed,field.heading,field.throttle,field.altitude,field.climb
1536701838099168306,1906,1536701838098678201,,0.0,17.0399932861,287,0.469999998808,410.579986572,0.425755977631
1536701838427528548,1907,1536701838426235932,,0.0,16.945066452,289,0.490000009537,410.380004883,-1.33110821247
1536701838853464232,1908,1536701838853116068,,0.0,16.8494472504,292,0.34999999404,410.049987793,-1.02999281883
1536701839198612932,1909,1536701839198114183,,0.0,16.8142147064,293,0.239999994636,409.859985352,1.15226435661
1536701839540560070,1910,1536701839540246991,,0.0,16.8010387421,290,0.180000007153,409.410003662,1.32703149319
1536701839872252899,1911,1536701839871259724,,0.0,16.8810501099,286,0.129999995232,408.559997559,-0.817778885365
1536701840284222408,1912,1536701840283868803,,0.0,17.1368999481,280,0.0900000035763,406.949981689,-3.36497187614
1536701840692191205,1913,1536701840691733464,,0.0,17.6215171814,275,0.0900000035763,404.940002441,-6.13283109665
1536701841084054170,1914,1536701841083571139,,0.0,17.9950370789,268,0.0900000035763,402.380004883,-5.87076759338
1536701841387606027,1915,1536701841387275534,,0.0,18.6352100372,262,0.189999997616,400.199981689,-8.21916866302
1536701841684059297,1916,1536701841681119177,,0.0,19.2746772766,260,0.310000002384,397.979980469,-8.89022636414
1536701842057668450,1917,1536701842057217079,,0.0,20.4237613678,254,0.430000007153,395.440002441,-8.7601776123
1536701842349304219,1918,1536701842348996391,,0.0,21.3058128357,249,0.5,393.949981689,-8.82226657867
1536701842662149829,1919,1536701842651966940,,0.0,21.6972522736,247,0.540000021458,393.079986572,-7.43727493286
1536701843045401987,1920,1536701843044788443,,0.0,21.711769104,244,0.579999983311,392.529998779,-3.90829849243
1536701843534512878,1921,1536701843533931378,,0.0,21.2175674438,241,0.579999983311,392.759979248,-1.43947660923
1536701843828889235,1922,1536701843828705901,,0.0,20.8229312897,241,0.579999983311,393.229980469,1.41946017742
1536701844324738673,1923,1536701844320856853,,0.0,19.9824943542,246,0.569999992847,394.089996338,1.53066396713
1536701844840708035,1924,1536701844840314671,,0.0,18.9713344574,246,0.540000021458,395.299987793,4.19400262833
1536701845267550046,1925,1536701845266882241,,0.0,18.2836399078,249,0.5,396.479980469,3.16929292679
1536701845583291918,1926,1536701845582938473,,0.0,17.9716091156,250,0.479999989271,397.179992676,4.67370891571
1536701845977413113,1927,1536701845977124780,,0.0,17.7345561981,253,0.479999989271,397.630004883,3.30385041237
1536701846263486587,1928,1536701846262983293,,0.0,17.6544799805,254,0.479999989271,397.690002441,0.552022993565
1536701846646740954,1929,1536701846646263910,,0.0,17.5887947083,254,0.490000009537,397.489990234,0.0939612090588
1536701847106442617,1930,1536701847105145135,,0.0,17.6225967407,254,0.519999980927,397.100006104,0.0586716122925
1536701847387383912,1931,1536701847387099900,,0.0,17.6589927673,252,0.519999980927,396.949981689,-1.64040434361
1536701847804286901,1932,1536701847804001674,,0.0,17.6402549744,251,0.519999980927,396.889984131,-1.03962242603
1536701848311365096,1933,1536701848311007552,,0.0,17.4661521912,251,0.519999980927,396.970001221,-0.187586650252
1536701848765363258,1934,1536701848764818509,,0.0,17.2970714569,250,0.519999980927,396.989990234,0.830890595913
1536701849077412919,1935,1536701849077109637,,0.0,17.2425708771,250,0.52999997139,396.910003662,-0.899626493454
1536701849494252557,1936,1536701849493900392,,0.0,17.1998996735,251,0.52999997139,396.850006104,-0.655108451843
1536701849995319199,1937,1536701849994819746,,0.0,16.9654941559,248,0.5,397.5,1.10512924194
1536701850248262839,1938,1536701850247804042,,0.0,16.8842468262,249,0.490000009537,397.819976807,1.66206920147
1536701850595996932,1939,1536701850595670889,,0.0,16.8393611908,251,0.479999989271,398.079986572,2.05431103706
1536701851035196733,1940,1536701851034878597,,0.0,16.8233413696,253,0.490000009537,398.039978027,0.661348938942
1536701851428529886,1941,1536701851427843323,,0.0,16.8557815552,254,0.5,397.809997559,-1.63658869267
1536701851984760131,1942,1536701851984337667,,0.0,16.7695865631,256,0.5,397.720001221,-0.355253815651
1536701852284345080,1943,1536701852281585221,,0.0,16.6572418213,256,0.490000009537,397.769989014,-0.188835859299
1536701852660271526,1944,1536701852659729113,,0.0,16.5122928619,257,0.490000009537,397.989990234,0.42928570509
1536701853040887840,1945,1536701853040511761,,0.0,16.349401474,257,0.479999989271,398.16998291,1.03986060619
1536701853340408253,1946,1536701853339835460,,0.0,16.2156448364,258,0.479999989271,398.289978027,-0.288741767406
1536701853741880162,1947,1536701853741280831,,0.0,16.0706291199,260,0.469999998808,398.410003662,0.569303572178
1536701854102316848,1948,1536701854095105034,,0.0,15.9961490631,263,0.479999989271,398.389984131,1.29287481308
1536701854496893607,1949,1536701854495019971,,0.0,15.9471244812,265,0.479999989271,398.279998779,-0.272328674793
1536701854811078603,1950,1536701854809331703,,0.0,15.9071073532,266,0.479999989271,398.220001221,-1.82568466663
1536701855266886442,1951,1536701855265116589,,0.0,15.9119024277,271,0.479999989271,398.190002441,-0.0216590818018
