%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1536703357994596333,3154,1536703357993600111,NED,-2.54999995232,-1.87518429756
1536703358043409243,3155,1536703358042873853,NED,-2.54999995232,-2.94562935829
1536703358077974259,3156,1536703358077353525,NED,0.219999998808,-2.94562935829
1536703358121775375,3157,1536703358114466597,NED,0.219999998808,-2.94562935829
1536703358164610766,3158,1536703358163289234,NED,-3.78999996185,-2.94562935829
1536703358206451248,3159,1536703358204731957,NED,-3.78999996185,-2.94562935829
1536703358288708345,3160,1536703358287729084,NED,-5.48000001907,-2.94562935829
1536703358366509742,3161,1536703358363006457,NED,-6.67000007629,-2.94562935829
1536703358409631981,3162,1536703358409209166,NED,-6.64999961853,-3.44458556175
1536703358440657199,3163,1536703358440336528,NED,-7.6299996376,-3.44458556175
1536703358534683796,3164,1536703358534047830,NED,-7.58999967575,-3.44458556175
1536703358591772136,3165,1536703358591116682,NED,-8.51000022888,-3.44458556175
1536703358624154599,3166,1536703358623748840,NED,-8.48999977112,-3.44458556175
1536703358680860700,3167,1536703358679938559,NED,-9.44999980927,-3.44458556175
1536703358718026540,3168,1536703358716221394,NED,-9.4299993515,-4.40571451187
1536703358772812679,3169,1536703358772478984,NED,-10.4099998474,-4.40571451187
1536703358791163472,3170,1536703358788850007,NED,-10.3999996185,-4.40571451187
1536703358844915406,3171,1536703358844453584,NED,-11.4399995804,-4.40571451187
1536703358914972764,3172,1536703358913317088,NED,-11.3999996185,-4.40571451187
1536703358967027455,3173,1536703358966028546,NED,-12.4399995804,-4.40571451187
1536703359011251128,3174,1536703359008302881,NED,-12.4200000763,-4.40571451187
1536703359054648493,3175,1536703359053999791,NED,-13.5,-6.09138250351
1536703359119763069,3176,1536703359119245087,NED,-13.4799995422,-6.09138250351
1536703359146926694,3177,1536703359146386216,NED,-14.5699996948,-6.09138250351
1536703359204336495,3178,1536703359203968240,NED,-14.5499992371,-6.09138250351
1536703359248815073,3179,1536703359248053347,NED,-15.6300001144,-6.09138250351
1536703359294044400,3180,1536703359293594065,NED,-15.6099996567,-6.09138250351
1536703359350869082,3181,1536703359350007581,NED,-16.6900005341,-6.09138250351
1536703359413182835,3182,1536703359410165245,NED,-16.6800003052,-6.09138250351
1536703359443435347,3183,1536703359435756715,NED,-16.6599998474,-9.61525344849
1536703359539360960,3184,1536703359536529801,NED,-17.609998703,-9.61525344849
1536703359579912190,3185,1536703359579313600,NED,-18.4899997711,-9.61525344849
1536703359630556860,3186,1536703359629585568,NED,-18.4599990845,-9.61525344849
1536703359670737180,3187,1536703359667781637,NED,-19.0599994659,-9.61525344849
1536703359725572141,3188,1536703359725011087,NED,-18.9399986267,-9.61525344849
1536703359768316996,3189,1536703359767780806,NED,-18.7799987793,-14.2209997177
1536703359827973061,3190,1536703359825718349,NED,-18.6900005341,-14.2209997177
1536703359901595386,3191,1536703359899223650,NED,-18.609998703,-14.2209997177
1536703359920616029,3192,1536703359918762851,NED,-18.5900001526,-14.2209997177
1536703359966857738,3193,1536703359966309739,NED,-18.5499992371,-14.2209997177
1536703360015298572,3194,1536703360014481519,NED,-18.5299987793,-14.2209997177
1536703360051503698,3195,1536703360050230486,NED,-18.5499992371,-14.2209997177
1536703360110855881,3196,1536703360107730548,NED,-18.609998703,-14.2209997177
1536703360166723788,3197,1536703360165458448,NED,-18.6599998474,-14.2209997177
1536703360207996000,3198,1536703360204154989,NED,-18.75,-14.2209997177
1536703360248814486,3199,1536703360248438744,NED,-18.8500003815,-18.5614376068
1536703360316175858,3200,1536703360315518837,NED,-19.0299987793,-18.5614376068
1536703360373392977,3201,1536703360373014834,NED,-19.2600002289,-18.5614376068
1536703360426617565,3202,1536703360424865443,NED,-19.5599994659,-18.5614376068
1536703360487789806,3203,1536703360487416495,NED,-19.8799991608,-18.5614376068
1536703360517325418,3204,1536703360516783212,NED,-19.9899997711,-18.5614376068
1536703360561466101,3205,1536703360560753431,NED,-20.1999988556,-18.5614376068
