%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1536703357994416621,3154,1536703357993597583,NED,-44.9399986267,-2.0955414772
1536703358043195068,3155,1536703358042870973,NED,-44.9300003052,-1.39680147171
1536703358077945619,3156,1536703358077350549,NED,24.0100002289,-1.39680147171
1536703358121665615,3157,1536703358114463749,NED,24.0100002289,-1.39680147171
1536703358163599665,3158,1536703358163287570,NED,44.7000007629,-1.39680147171
1536703358205279508,3159,1536703358204729269,NED,44.7000007629,-1.39680147171
1536703358288655481,3160,1536703358287725564,NED,44.7000007629,-1.39680147171
1536703358366312111,3161,1536703358363003001,NED,44.6899986267,-1.39680147171
1536703358409534989,3162,1536703358409206286,NED,44.6800003052,4.95237445831
1536703358440565295,3163,1536703358440333648,NED,44.6699981689,4.95237445831
1536703358534482517,3164,1536703358534044566,NED,44.6699981689,4.95237445831
1536703358591730664,3165,1536703358591113738,NED,44.6599998474,4.95237445831
1536703358624126535,3166,1536703358623746056,NED,44.6499977112,4.95237445831
1536703358680830044,3167,1536703358679934815,NED,44.6499977112,4.95237445831
1536703358718010892,3168,1536703358716218546,NED,44.6499977112,21.6110076904
1536703358772758024,3169,1536703358772476616,NED,44.6399993896,21.6110076904
1536703358790480978,3170,1536703358788847383,NED,44.6399993896,21.6110076904
1536703358844764751,3171,1536703358844450128,NED,44.6299972534,21.6110076904
1536703358914956380,3172,1536703358913312321,NED,44.5999984741,21.6110076904
1536703358967094783,3173,1536703358966025378,NED,44.5699996948,21.6110076904
1536703359011220600,3174,1536703359008300289,NED,44.5499992371,21.6110076904
1536703359054598509,3175,1536703359053996143,NED,44.5200004578,30.912021637
1536703359119743549,3176,1536703359119242143,NED,44.4899978638,30.912021637
1536703359146828103,3177,1536703359146383816,NED,44.469997406,30.912021637
1536703359204309775,3178,1536703359203965296,NED,44.4199981689,30.912021637
1536703359248821153,3179,1536703359248049827,NED,44.3899993896,30.912021637
1536703359294024848,3180,1536703359293590865,NED,44.3499984741,30.912021637
1536703359350645211,3181,1536703359350004509,NED,44.2799987793,30.912021637
1536703359412960948,3182,1536703359410162141,NED,44.2099990845,30.912021637
1536703359435974954,3183,1536703359435754571,NED,44.1299972534,36.9016799927
1536703359537109287,3184,1536703359536525993,NED,43.1299972534,36.9016799927
1536703359579824607,3185,1536703359579311392,NED,42.1299972534,36.9016799927
1536703359630313213,3186,1536703359629582432,NED,41.969997406,36.9016799927
1536703359670699196,3187,1536703359667778117,NED,41.0599975586,36.9016799927
1536703359725555341,3188,1536703359725007311,NED,40.9799995422,36.9016799927
1536703359768281892,3189,1536703359767778022,NED,39.9399986267,40.5397796631
1536703359826355883,3190,1536703359825714797,NED,39.8699989319,40.5397796631
1536703359901576378,3191,1536703359899220130,NED,38.6100006104,40.5397796631
1536703359920566301,3192,1536703359918760387,NED,38.5900001526,40.5397796631
1536703359966594186,3193,1536703359966306635,NED,37.1899986267,40.5397796631
1536703360015829418,3194,1536703360014478511,NED,37.0400009155,40.5397796631
1536703360051529778,3195,1536703360050227126,NED,35.6800003052,40.5397796631
1536703360110886153,3196,1536703360107728052,NED,35.5900001526,40.5397796631
1536703360166574092,3197,1536703360165455120,NED,34.2299995422,40.5397796631
1536703360207858209,3198,1536703360204151981,NED,34.1699981689,40.5397796631
1536703360248797654,3199,1536703360248436312,NED,32.5900001526,40.9594612122
1536703360316158931,3200,1536703360315515861,NED,32.5499992371,40.9594612122
1536703360373375793,3201,1536703360373011730,NED,30.8999996185,40.9594612122
1536703360426592125,3202,1536703360424862787,NED,30.8899993896,40.9594612122
1536703360487736270,3203,1536703360487412975,NED,29.0900001526,40.9594612122
1536703360517302250,3204,1536703360516780428,NED,29.0900001526,40.9594612122
1536703360561432885,3205,1536703360560750711,NED,27.1999988556,40.9594612122
1536703360606397021,3206,1536703360604531875,NED,27.2199993134,40.9594612122
1536703360677054798,3207,1536703360675952305,NED,25.0699996948,40.9594612122
1536703360723916335,3208,1536703360723402993,NED,25.0699996948,33.7630462646
1536703360762930315,3209,1536703360761583696,NED,22.9799995422,33.7630462646
1536703360788481589,3210,1536703360787763159,NED,22.9799995422,33.7630462646
1536703360850758786,3211,1536703360850296836,NED,20.6800003052,33.7630462646
