%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1536703357994599821,3154,1536703357993601263,NED,-80.0,-89.2643127441
1536703358043583258,3155,1536703358042875293,NED,86.0,-88.1715927124
1536703358077969619,3156,1536703358077354645,NED,86.0,-88.1715927124
1536703358121791439,3157,1536703358114467781,NED,86.0,-88.1715927124
1536703358164623150,3158,1536703358163290066,NED,-44.0,-88.1715927124
1536703358206451344,3159,1536703358204733365,NED,-44.0,-88.1715927124
1536703358288756536,3160,1536703358287730620,NED,-44.0,-88.1715927124
1536703358366530350,3161,1536703358363008313,NED,-44.0,-88.1715927124
1536703358409648301,3162,1536703358409210126,NED,-44.0,-88.134223938
1536703358440793935,3163,1536703358440337584,NED,-44.0,-88.134223938
1536703358534925075,3164,1536703358534049078,NED,-44.0,-88.134223938
1536703358591796584,3165,1536703358591118346,NED,-44.0,-88.134223938
1536703358624170951,3166,1536703358623750248,NED,-44.0,-88.134223938
1536703358680925148,3167,1536703358679940127,NED,-44.0,-88.134223938
1536703358718039660,3168,1536703358716222514,NED,-44.0,-88.1925354004
1536703358772871591,3169,1536703358772480168,NED,-44.0,-88.1925354004
1536703358791189168,3170,1536703358788851255,NED,-44.0,-88.1925354004
1536703358844948078,3171,1536703358844455024,NED,-44.0,-88.1925354004
1536703358914989339,3172,1536703358913318400,NED,-44.0,-88.1925354004
1536703358967046783,3173,1536703358966030594,NED,-44.0,-88.1925354004
1536703359011268696,3174,1536703359008303937,NED,-44.0,-88.1925354004
1536703359054701389,3175,1536703359054001199,NED,-44.0,-86.3627700806
1536703359119880061,3176,1536703359119246527,NED,-44.0,-86.3627700806
1536703359146942758,3177,1536703359146387304,NED,-44.0,-86.3627700806
1536703359205724874,3178,1536703359203969424,NED,-44.0,-86.3627700806
1536703359248834593,3179,1536703359248054755,NED,-44.0,-86.3627700806
1536703359294059280,3180,1536703359293595441,NED,-44.0,-86.3627700806
1536703359350895866,3181,1536703359350009117,NED,-44.0,-86.3627700806
1536703359413199251,3182,1536703359410166461,NED,-44.0,-86.3627700806
1536703359443579026,3183,1536703359435757579,NED,-44.0,-80.1147003174
1536703359540829915,3184,1536703359536531753,NED,-44.0,-80.1147003174
1536703359579926910,3185,1536703359579314688,NED,-44.0,-80.1147003174
1536703359630588060,3186,1536703359629586976,NED,-44.0,-80.1147003174
1536703359671040411,3187,1536703359667782949,NED,-44.0,-80.1147003174
1536703359728396996,3188,1536703359725012527,NED,-44.0,-80.1147003174
1536703359768432132,3189,1536703359767782054,NED,-44.0,-75.8120651245
1536703359827989061,3190,1536703359825719789,NED,-44.0,-75.8120651245
1536703359901614682,3191,1536703359899225250,NED,-44.0,-75.8120651245
1536703359920631485,3192,1536703359918764003,NED,-44.0,-75.8120651245
1536703359966875529,3193,1536703359966311019,NED,-44.0,-75.8120651245
1536703360015316876,3194,1536703360014482607,NED,-44.0,-75.8120651245
1536703360051516338,3195,1536703360050231830,NED,-44.0,-75.8120651245
1536703360110997320,3196,1536703360107731604,NED,-44.0,-75.8120651245
1536703360166822860,3197,1536703360165459856,NED,-44.0,-75.8120651245
1536703360208012224,3198,1536703360204156589,NED,-44.0,-75.8120651245
