%time,field.header.seq,field.header.stamp,field.header.frame_id,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1536703358121918255,1597,1536703358119196887,,1500,1525,1460,1543,1587,1587,1500,1926
1536703358421200138,1598,1536703358420810315,,1500,1545,1412,1563,1626,1626,1500,1926
1536703358720572901,1599,1536703358720086054,,1500,1546,1380,1537,1574,1574,1500,1926
1536703359129436478,1600,1536703359128365442,,1500,1546,1340,1521,1543,1543,1500,1926
1536703359445603756,1601,1536703359445235501,,1500,1541,1308,1512,1525,1525,1500,1926
1536703359785980588,1602,1536703359785652717,,1500,1525,1268,1498,1496,1496,1500,1926
1536703360122067587,1603,1536703360121850372,,1500,1512,1244,1490,1479,1479,1500,1926
1536703360522456089,1604,1536703360522283353,,1500,1519,1228,1487,1472,1472,1500,1926
1536703360821690757,1605,1536703360821440485,,1500,1530,1212,1484,1467,1467,1500,1926
1536703361160345166,1606,1536703361159852208,,1500,1533,1204,1481,1461,1461,1500,1926
1536703361425025246,1607,1536703361424493856,,1500,1525,1220,1477,1454,1454,1500,1926
1536703361743348208,1608,1536703361743075537,,1500,1506,1308,1476,1452,1452,1500,1926
1536703362016420191,1609,1536703362016098561,,1500,1497,1396,1476,1451,1451,1500,1926
1536703362361549650,1610,1536703362361416626,,1500,1491,1460,1479,1457,1457,1500,1926
1536703362672503205,1611,1536703362672272581,,1500,1495,1524,1487,1473,1473,1500,1926
1536703362985772399,1612,1536703362985499472,,1500,1511,1548,1495,1489,1489,1500,1926
1536703363329391052,1613,1536703363328253521,,1500,1523,1556,1504,1508,1508,1500,1926
1536703363665846019,1614,1536703363665701476,,1500,1538,1548,1510,1521,1521,1500,1926
1536703364082572913,1615,1536703364082327186,,1500,1553,1516,1519,1539,1539,1500,1926
1536703364437955966,1616,1536703364436938338,,1500,1555,1508,1508,1517,1517,1500,1926
1536703364853355284,1617,1536703364853021430,,1500,1550,1500,1529,1559,1559,1500,1926
1536703365139467109,1618,1536703365139173991,,1500,1543,1500,1517,1536,1536,1500,1926
1536703365536119938,1619,1536703365535852803,,1500,1516,1516,1509,1518,1518,1500,1926
1536703365943718352,1620,1536703365943058899,,1500,1486,1548,1501,1503,1503,1500,1926
1536703366330374942,1621,1536703366327494795,,1500,1472,1588,1498,1496,1496,1500,1926
1536703366645969631,1622,1536703366645678848,,1500,1473,1604,1498,1496,1496,1500,1926
1536703367029545612,1623,1536703367029197933,,1500,1469,1612,1500,1500,1500,1500,1926
1536703367345979857,1624,1536703367345716242,,1500,1459,1620,1500,1501,1501,1500,1926
1536703367654679835,1625,1536703367654051997,,1500,1454,1636,1500,1501,1501,1500,1926
1536703368010981318,1626,1536703368010840039,,1500,1457,1660,1502,1504,1504,1500,1926
1536703368387029495,1627,1536703368386734456,,1500,1462,1660,1502,1505,1505,1500,1926
1536703368730944962,1628,1536703368730578436,,1500,1462,1668,1500,1501,1501,1500,1926
1536703369035030119,1629,1536703369034672617,,1500,1469,1668,1500,1500,1500,1500,1926
1536703369439964870,1630,1536703369439724743,,1500,1481,1652,1497,1494,1494,1500,1926
1536703369751792949,1631,1536703369751541654,,1500,1486,1644,1495,1489,1489,1500,1926
1536703370122338827,1632,1536703370122145868,,1500,1497,1612,1496,1491,1491,1500,1926
1536703370468736852,1633,1536703370468321622,,1500,1501,1588,1494,1488,1488,1500,1926
1536703370838080774,1634,1536703370837657545,,1500,1502,1564,1496,1492,1492,1500,1926
1536703371149636361,1635,1536703371148124913,,1500,1500,1548,1496,1492,1492,1500,1926
1536703371437118864,1636,1536703371435990486,,1500,1497,1548,1496,1491,1491,1500,1926
1536703371780115695,1637,1536703371777561245,,1500,1492,1540,1496,1492,1492,1500,1926
1536703372021219561,1638,1536703372020973899,,1500,1489,1532,1496,1492,1492,1500,1926
1536703372324710344,1639,1536703372323533102,,1500,1481,1540,1492,1484,1484,1500,1926
1536703372684432178,1640,1536703372684205619,,1500,1482,1532,1482,1463,1463,1500,1926
1536703372988276559,1641,1536703372988008432,,1500,1488,1516,1473,1445,1445,1500,1926
1536703373282944655,1642,1536703373282554417,,1500,1498,1500,1466,1431,1431,1500,1926
1536703373626847382,1643,1536703373626343289,,1500,1509,1484,1461,1422,1422,1500,1926
1536703374041255944,1644,1536703374040393421,,1500,1530,1452,1464,1428,1428,1500,1926
1536703374461189564,1645,1536703374460835742,,1500,1541,1404,1475,1449,1449,1500,1926
1536703374789437990,1646,1536703374788896297,,1500,1541,1388,1482,1463,1463,1500,1926
1536703375160448573,1647,1536703375160151263,,1500,1541,1380,1488,1476,1476,1500,1926
1536703375505880907,1648,1536703375505603692,,1500,1540,1380,1497,1493,1493,1500,1926
1536703375821377547,1649,1536703375820132659,,1500,1535,1380,1500,1499,1499,1500,1926
1536703376171541184,1650,1536703376171354338,,1500,1530,1388,1492,1483,1483,1500,1926
1536703376421229026,1651,1536703376416204673,,1500,1529,1388,1479,1458,1458,1500,1926
1536703376715305938,1652,1536703376714989236,,1500,1526,1404,1476,1451,1451,1500,1926
1536703377126035010,1653,1536703377125882850,,1500,1524,1420,1477,1454,1454,1500,1926
1536703377481096898,1654,1536703377480649893,,1500,1525,1436,1482,1463,1463,1500,1926
1536703377815118247,1655,1536703377814401324,,1500,1525,1452,1489,1478,1478,1500,1926
