%time,field.header.seq,field.header.stamp,field.header.frame_id,field.coordinate_frame,field.type_mask,field.position.x,field.position.y,field.position.z,field.velocity.x,field.velocity.y,field.velocity.z,field.acceleration_or_force.x,field.acceleration_or_force.y,field.acceleration_or_force.z,field.yaw,field.yaw_rate
1536703358039696102,0,1536703358039060296,1,1,1472,-220.0,58.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1536703358056632947,1,1536703358056312308,1,1,1472,-220.0,62.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1536703358077473172,2,1536703358076315992,1,1,1472,-220.0,62.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1536703358098420693,3,1536703358097611224,1,1,1472,-220.0,62.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1536703358118278586,4,1536703358117324892,1,1,1472,-220.0,62.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1536703358138041374,5,1536703358137261568,1,1,1472,-220.0,62.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1536703358158206145,6,1536703358157362916,1,1,1472,-220.0,62.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1536703358177434600,7,1536703358177075881,1,1,1472,-220.0,62.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1536703358197435819,8,1536703358197023373,1,1,1472,-220.0,62.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1536703358217917710,9,1536703358217451695,1,1,1472,-220.0,62.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1536703358238330480,10,1536703358237970769,1,1,1472,-220.0,62.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1536703358258493204,11,1536703358257794326,1,1,1472,-220.0,62.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1536703358280108690,12,1536703358279574484,1,1,1472,-220.0,62.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1536703358299137017,13,1536703358298541435,1,1,1472,-220.0,62.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1536703358321769269,14,1536703358318140992,1,1,1472,-220.0,62.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1536703358338318691,15,1536703358337672965,1,1,1472,-220.0,62.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1536703358358657254,16,1536703358358115624,1,1,1472,-220.0,62.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1536703358378450826,17,1536703358377649485,1,1,1472,-220.0,62.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1536703358397803440,18,1536703358397223666,1,1,1472,-220.0,62.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1536703358417778580,19,1536703358417121366,1,1,1472,-220.0,62.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1536703358437635256,20,1536703358437270681,1,1,1472,-220.0,62.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
