%time,field.header.seq,field.header.stamp,field.header.frame_id,field.connected,field.armed,field.guided,field.mode,field.system_status
1536703357997901667,507,1536703357997452452,,1,1,1,GUIDED,4
1536703358995224170,508,1536703358986865667,,1,1,1,GUIDED,4
1536703359970250335,509,1536703359969823808,,1,1,1,GUIDED,4
1536703360963510981,510,1536703360962453288,,1,1,1,GUIDED,4
1536703361962126372,511,1536703361958751088,,1,1,1,GUIDED,4
1536703362968077585,512,1536703362967785874,,1,1,1,GUIDED,4
1536703363962298999,513,1536703363961735833,,1,1,1,GUIDED,4
1536703364950651493,514,1536703364950093031,,1,1,1,GUIDED,4
1536703365956998039,515,1536703365950388787,,1,1,1,GUIDED,4
1536703366968528928,516,1536703366968148450,,1,1,1,GUIDED,4
1536703367971129504,517,1536703367969645319,,1,1,1,GUIDED,4
1536703368936660453,518,1536703368936019497,,1,1,1,GUIDED,4
1536703369929740991,519,1536703369927780456,,1,1,1,GUIDED,4
1536703370974323721,520,1536703370972621586,,1,1,1,GUIDED,4
1536703371962949826,521,1536703371962370054,,1,1,1,GUIDED,4
1536703372972375270,522,1536703372968009214,,1,1,1,GUIDED,4
1536703373959605916,523,1536703373957743527,,1,1,1,GUIDED,4
1536703375014095561,524,1536703375012953744,,1,1,1,GUIDED,4
1536703375963450265,525,1536703375963098907,,1,1,1,GUIDED,4
1536703376946232519,526,1536703376945908713,,1,1,1,GUIDED,4
1536703377949988629,527,1536703377949681751,,1,1,1,GUIDED,4
1536703378964181566,528,1536703378963808161,,1,1,1,GUIDED,4
1536703379959512224,529,1536703379959205314,,1,1,1,GUIDED,4
1536703380953021363,530,1536703380952659349,,1,1,1,GUIDED,4
1536703381961665794,531,1536703381960607081,,1,1,1,GUIDED,4
1536703382959501759,532,1536703382958967747,,1,1,1,GUIDED,4
1536703383967969651,533,1536703383967747540,,1,1,1,GUIDED,4
1536703384984939404,534,1536703384984495311,,1,1,1,GUIDED,4
1536703385958091958,535,1536703385956339268,,1,1,1,GUIDED,4
1536703386968424818,536,1536703386967287610,,1,1,1,GUIDED,4
1536703387951581802,537,1536703387951116462,,1,1,1,GUIDED,4
1536703388967675243,538,1536703388967302222,,1,1,1,GUIDED,4
1536703389959524059,539,1536703389959163006,,1,1,1,GUIDED,4
