%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_ref,field.source
1536703358394657338,1174,1536703358394409818,,1536703358239000000,fcu
1536703358699046245,1175,1536703358694822930,,1536703358559000000,fcu
1536703359135868234,1176,1536703359134975308,,1536703359020000000,fcu
1536703359552562486,1177,1536703359551847288,,1536703359422000000,fcu
1536703359984148370,1178,1536703359983874003,,1536703359860000000,fcu
1536703360432285194,1179,1536703360432148042,,1536703360301000000,fcu
1536703360881936249,1180,1536703360881471034,,1536703360760000000,fcu
1536703361269045866,1181,1536703361268858475,,1536703361142000000,fcu
1536703361872961921,1182,1536703361872653347,,1536703361759000000,fcu
1536703362245990659,1183,1536703362245824612,,1536703362118000000,fcu
1536703362728434579,1184,1536703362728151380,,1536703362599000000,fcu
1536703363209886626,1185,1536703363209648195,,1536703363061000000,fcu
1536703363592267972,1186,1536703363592046053,,1536703363461000000,fcu
1536703364222089908,1187,1536703364221689334,,1536703364099000000,fcu
1536703364624131489,1188,1536703364623844771,,1536703364501000000,fcu
1536703365200890366,1189,1536703365200688479,,1536703365061000000,fcu
1536703365802680844,1190,1536703365801511281,,1536703365679000000,fcu
1536703366333551344,1191,1536703366333303089,,1536703366200000000,fcu
1536703366872580268,1192,1536703366872242798,,1536703366760000000,fcu
1536703367376653443,1193,1536703367376360196,,1536703367240000000,fcu
1536703367853383714,1194,1536703367852724293,,1536703367719000000,fcu
1536703368519399963,1195,1536703368519074812,,1536703368379000000,fcu
1536703368936646885,1196,1536703368935808970,,1536703368804000000,fcu
1536703369534592175,1197,1536703369534326384,,1536703369399000000,fcu
1536703369900749519,1198,1536703369900365009,,1536703369780000000,fcu
1536703370419888047,1199,1536703370419555473,,1536703370298000000,fcu
1536703370884959989,1200,1536703370884544919,,1536703370760000000,fcu
1536703371405597495,1201,1536703371405255929,,1536703371280000000,fcu
1536703371800992096,1202,1536703371799347529,,1536703371698000000,fcu
1536703372262934843,1203,1536703372262380126,,1536703372139000000,fcu
1536703372570555907,1204,1536703372570217605,,1536703372441000000,fcu
1536703373066759509,1205,1536703373066349719,,1536703372940000000,fcu
1536703373581023897,1206,1536703373580699099,,1536703373440000000,fcu
1536703374117468844,1207,1536703374117054767,,1536703373979000000,fcu
1536703374634077166,1208,1536703374633624593,,1536703374499000000,fcu
