%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1536703528966710702,6570,1536703528965376553,base_link,316000.0,-369000.0,-332000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536703529070418743,6571,1536703529066153903,base_link,276000.0,-343000.0,-340000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536703529151302485,6572,1536703529150659331,base_link,304000.0,-400000.0,-316000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536703529255777901,6573,1536703529254288620,base_link,321000.0,-450000.0,-280000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536703529379429882,6574,1536703529377226664,base_link,336000.0,-490000.0,-262000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536703529457704078,6575,1536703529457218136,base_link,392000.0,-557000.0,-192000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536703529573041414,6576,1536703529572569840,base_link,467000.0,-633000.0,-120000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536703529667363247,6577,1536703529666404099,base_link,550000.0,-750000.0,-19000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536703529818035952,6578,1536703529816139287,base_link,700000.0,-868000.0,104000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536703529860888253,6579,1536703529860263626,base_link,758000.0,-968000.0,148000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536703529951756749,6580,1536703529951198937,base_link,840000.0,-1014000.0,242000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536703530051078477,6581,1536703530047212733,base_link,948000.0,-1067000.0,313000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536703530232404973,6582,1536703530231804026,base_link,1032000.0,-1150000.0,390000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536703530256039493,6583,1536703530255669005,base_link,984000.0,-1114000.0,358000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536703530361792254,6584,1536703530356212401,base_link,974000.0,-1116000.0,344000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536703530448378690,6585,1536703530445090118,base_link,966000.0,-1119000.0,352000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536703530564828862,6586,1536703530562942948,base_link,974000.0,-1106000.0,335000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536703530697502634,6587,1536703530695872204,base_link,971000.0,-1103000.0,344000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536703530768926759,6588,1536703530767999003,base_link,965000.0,-1102000.0,338000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536703530861956423,6589,1536703530859045155,base_link,978000.0,-1100000.0,341000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536703530952882833,6590,1536703530952246558,base_link,976000.0,-1096000.0,328000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536703531060252006,6591,1536703531059875725,base_link,965000.0,-1096000.0,310000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536703531184542265,6592,1536703531184052004,base_link,952000.0,-1081000.0,303000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536703531263441145,6593,1536703531260313497,base_link,949000.0,-1064000.0,292000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
