%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1536703528930142269,5995,1536703528929457803,NED,-2.26999998093,-2.80202746391
1536703528958289115,5996,1536703528957275024,NED,-1.92999994755,-2.80202746391
1536703529001957274,5997,1536703529001108811,NED,-1.91999995708,-2.80202746391
1536703529041700327,5998,1536703529039917516,NED,-1.54999995232,-3.94709682465
1536703529131692169,5999,1536703529123921449,NED,-1.51999998093,-3.94709682465
1536703529143765681,6000,1536703529142752901,NED,0.77999997139,-3.94709682465
1536703529205950064,6001,1536703529205404475,NED,0.810000002384,-3.94709682465
1536703529252823466,6002,1536703529252324564,NED,3.05999994278,-3.94709682465
1536703529305435534,6003,1536703529304884698,NED,3.09999990463,-3.94709682465
1536703529348807441,6004,1536703529348330523,NED,5.27999973297,-2.52288365364
1536703529400202798,6005,1536703529399631834,NED,5.31999969482,-2.52288365364
1536703529442324427,6006,1536703529436942362,NED,7.39999961853,-2.52288365364
1536703529500702424,6007,1536703529500059909,NED,7.44000005722,-2.52288365364
1536703529571136557,6008,1536703529568426213,NED,9.38999938965,-2.52288365364
1536703529599097581,6009,1536703529598279518,NED,9.40999984741,-2.52288365364
1536703529662160954,6010,1536703529661707108,NED,11.2599992752,-2.52288365364
1536703529714826110,6011,1536703529710543382,NED,11.279999733,-2.52288365364
1536703529811973421,6012,1536703529807836898,NED,13.0599994659,1.27638232708
1536703529847705324,6013,1536703529847059450,NED,14.6899995804,1.27638232708
1536703529900886181,6014,1536703529900056822,NED,14.7199993134,1.27638232708
1536703529943030945,6015,1536703529941384259,NED,16.2700004578,1.27638232708
1536703530011695194,6016,1536703530011177381,NED,16.2899990082,1.27638232708
1536703530042119494,6017,1536703530041470131,NED,17.7899990082,2.80163478851
1536703530093395683,6018,1536703530091019764,NED,17.7999992371,2.80163478851
1536703530202604116,6019,1536703530197072103,NED,17.9400005341,2.80163478851
1536703530250037569,6020,1536703530249589994,NED,17.9599990845,2.80163478851
1536703530318082276,6021,1536703530316915612,NED,17.9699993134,2.80163478851
1536703530352202404,6022,1536703530351668783,NED,17.9799995422,2.80163478851
1536703530400962677,6023,1536703530400547133,NED,17.9799995422,2.80163478851
1536703530443794049,6024,1536703530441264469,NED,17.9799995422,2.80163478851
1536703530497589418,6025,1536703530496196839,NED,17.9899997711,5.58986330032
