%time,field.header.seq,field.header.stamp,field.header.frame_id,field.rssi,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7,field.channels8,field.channels9,field.channels10,field.channels11,field.channels12,field.channels13,field.channels14,field.channels15
1536703528936700119,2125,1536703528936001157,,0,1514,1553,1612,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536703529211468606,2126,1536703529211287682,,0,1514,1553,1612,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536703529481302088,2127,1536703529481095884,,0,1514,1553,1612,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536703529866862018,2128,1536703529866529993,,0,1514,1553,1612,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536703530241403411,2129,1536703530241037723,,0,1514,1553,1612,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536703530583671768,2130,1536703530583517820,,0,1514,1553,1612,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536703530833725070,2131,1536703530833482963,,0,1514,1553,1612,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536703531139274178,2132,1536703531138525618,,0,1514,1553,1612,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536703531411785915,2133,1536703531411519456,,0,1514,1553,1612,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536703531777881026,2134,1536703531777522249,,0,1514,1553,1612,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536703532151602085,2135,1536703532151354346,,0,1514,1553,1612,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536703532493840841,2136,1536703532493678605,,0,1514,1553,1612,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536703532721257308,2137,1536703532720939715,,0,1514,1553,1612,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536703532973062453,2138,1536703532972838105,,0,1514,1553,1612,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536703533379808398,2139,1536703533376741485,,0,1514,1553,1612,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536703533726236267,2140,1536703533725797204,,0,1514,1553,1612,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536703534084758505,2141,1536703534082018786,,0,1514,1553,1612,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536703534429428603,2142,1536703534429011300,,0,1514,1553,1612,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536703534818453552,2143,1536703534817911580,,0,1514,1553,1612,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536703535113737954,2144,1536703535113493767,,0,1514,1553,1612,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536703535547514303,2145,1536703535546751567,,0,1514,1553,1612,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536703535877726926,2146,1536703535877477043,,0,1514,1553,1612,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536703536220482926,2147,1536703536220032279,,0,1514,1553,1612,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
