%time,field.header.seq,field.header.stamp,field.header.frame_id,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1536703528934269064,2123,1536703528933845233,,1500,1530,1452,1546,1592,1592,1500,1926
1536703529209455144,2124,1536703529209184493,,1500,1520,1468,1551,1602,1602,1500,1926
1536703529478527745,2125,1536703529478253831,,1500,1498,1564,1531,1563,1563,1500,1926
1536703529865438111,2126,1536703529864736046,,1500,1477,1668,1518,1537,1537,1500,1926
1536703530235657482,2127,1536703530234525153,,1500,1463,1700,1509,1519,1519,1500,1926
1536703530582053050,2128,1536703530581858238,,1500,1465,1700,1497,1494,1494,1500,1926
1536703530831352095,2129,1536703530831062277,,1500,1464,1700,1485,1470,1470,1500,1926
1536703531137521191,2130,1536703531135952263,,1500,1478,1700,1471,1441,1441,1500,1926
1536703531409514602,2131,1536703531409261679,,1500,1489,1700,1457,1413,1413,1500,1926
1536703531774866560,2132,1536703531774113424,,1500,1499,1700,1456,1411,1411,1500,1926
1536703532132435474,2133,1536703532131623043,,1500,1504,1700,1469,1438,1438,1500,1926
1536703532492335881,2134,1536703532492096750,,1500,1513,1700,1482,1464,1464,1500,1926
1536703532719269765,2135,1536703532718684465,,1500,1516,1700,1490,1480,1480,1500,1926
1536703532964026448,2136,1536703532963383998,,1500,1519,1700,1496,1492,1492,1500,1926
1536703533379869452,2137,1536703533373800523,,1500,1527,1700,1516,1532,1532,1500,1926
1536703533709370826,2138,1536703533708418973,,1500,1528,1700,1523,1546,1546,1500,1926
1536703534079842512,2139,1536703534079557654,,1500,1569,1612,1514,1528,1528,1500,1926
1536703534427150442,2140,1536703534426754355,,1500,1587,1540,1508,1516,1516,1500,1926
1536703534803687460,2141,1536703534802309857,,1500,1595,1460,1517,1535,1535,1500,1926
1536703535101141129,2142,1536703535100751953,,1500,1589,1412,1518,1536,1536,1500,1926
1536703535543499603,2143,1536703535543067388,,1500,1557,1372,1543,1587,1587,1500,1926
1536703535864550977,2144,1536703535863592117,,1500,1519,1388,1520,1540,1540,1500,1926
1536703536216973303,2145,1536703536216760668,,1500,1489,1412,1510,1520,1520,1500,1926
1536703536541111031,2146,1536703536540694175,,1500,1470,1436,1505,1511,1511,1500,1926
1536703537008542206,2147,1536703537008361570,,1500,1453,1476,1507,1514,1514,1500,1926
1536703537293153324,2148,1536703537292865778,,1500,1448,1508,1509,1519,1519,1500,1926
1536703537563306953,2149,1536703537562925937,,1500,1450,1524,1511,1522,1522,1500,1926
1536703537927227447,2150,1536703537926305546,,1500,1462,1556,1516,1533,1533,1500,1926
1536703538257966481,2151,1536703538257178498,,1500,1471,1564,1515,1530,1530,1500,1926
1536703538594251795,2152,1536703538593836540,,1500,1470,1580,1511,1523,1523,1500,1926
1536703538940578307,2153,1536703538936949295,,1500,1472,1588,1509,1518,1518,1500,1926
1536703539283812006,2154,1536703539283041174,,1500,1473,1596,1505,1511,1511,1500,1926
1536703539679069855,2155,1536703539678483435,,1500,1462,1612,1501,1502,1502,1500,1926
1536703539982616035,2156,1536703539981299711,,1500,1461,1628,1498,1496,1496,1500,1926
1536703540238547273,2157,1536703540238339821,,1500,1463,1628,1500,1499,1499,1500,1926
1536703540672481791,2158,1536703540672277283,,1500,1457,1628,1498,1495,1495,1500,1926
1536703541091082165,2159,1536703541090731772,,1500,1451,1644,1494,1487,1487,1500,1926
1536703541390154717,2160,1536703541389971265,,1500,1458,1628,1497,1494,1494,1500,1926
1536703541702920675,2161,1536703541702651273,,1500,1462,1636,1496,1492,1492,1500,1926
1536703542033804009,2162,1536703542031694326,,1500,1463,1628,1494,1488,1488,1500,1926
