%time,field.header.seq,field.header.stamp,field.header.frame_id,field.airspeed,field.groundspeed,field.heading,field.throttle,field.altitude,field.climb
1536703529007866592,1836,1536703529007427017,,0.0,19.113243103,283,0.449999988079,371.579986572,0.134048551321
1536703529321785342,1837,1536703529314299928,,0.0,19.0497608185,285,0.5,371.259979248,1.92717540264
1536703529717810464,1838,1536703529717394313,,0.0,18.927520752,288,0.660000026226,371.039978027,-1.22937726974
1536703530019232190,1839,1536703530018963076,,0.0,19.0039997101,293,0.75,371.089996338,-3.74247264862
1536703530482236775,1840,1536703530481909646,,0.0,19.2356624603,304,0.75,371.429992676,-1.55191791058
1536703530835297773,1841,1536703530834667002,,0.0,19.2465133667,312,0.75,371.859985352,-0.084663361311
1536703531188431049,1842,1536703531187963251,,0.0,18.986158371,322,0.75,372.609985352,1.40872097015
1536703531481288476,1843,1536703531481067489,,0.0,18.590839386,327,0.75,373.649993896,3.87353205681
1536703531938491462,1844,1536703531938234603,,0.0,17.8922786713,332,0.75,375.660003662,3.40648317337
1536703532365744043,1845,1536703532365381426,,0.0,17.1262149811,334,0.75,377.910003662,4.91342687607
1536703532677177294,1846,1536703532676589659,,0.0,16.4311141968,334,0.75,379.619995117,5.68000555038
1536703533122001886,1847,1536703533121724131,,0.0,15.6376371384,333,0.75,382.269989014,6.57546854019
1536703533458750404,1848,1536703533458476618,,0.0,14.9114227295,331,0.75,384.449981689,6.50257253647
1536703533930463157,1849,1536703533929415339,,0.0,14.1239643097,331,0.709999978542,387.600006104,7.10931396484
1536703534385879718,1850,1536703534385522702,,0.0,13.4040203094,328,0.550000011921,390.579986572,10.3638877869
1536703534889474536,1851,1536703534888149252,,0.0,12.8776750565,329,0.430000007153,393.069976807,9.54348182678
1536703535313896110,1852,1536703535313439447,,0.0,12.6373186111,329,0.360000014305,394.470001221,5.4260225296
1536703535659199522,1853,1536703535658673869,,0.0,12.5572280884,330,0.34999999404,394.989990234,2.61511445045
1536703536181512829,1854,1536703536181132773,,0.0,12.7542953491,336,0.389999985695,394.690002441,-1.03383481503
1536703536552761795,1855,1536703536552212110,,0.0,13.1581840515,345,0.430000007153,393.859985352,-3.15135955811
1536703537022763636,1856,1536703537022319261,,0.0,14.0322494507,355,0.469999998808,392.269989014,-4.45217609406
1536703537389629796,1857,1536703537389402569,,0.0,14.9819259644,5,0.519999980927,391.039978027,-5.57850217819
1536703537723010899,1858,1536703537722195620,,0.0,15.9253969193,15,0.550000011921,389.880004883,-4.55041074753
1536703538124328107,1859,1536703538124027761,,0.0,16.9767150879,27,0.569999992847,388.899993896,-4.91533088684
1536703538569713271,1860,1536703538569329759,,0.0,17.5689735413,38,0.600000023842,388.519989014,-2.5451066494
1536703538816586993,1861,1536703538816334647,,0.0,17.8931617737,44,0.610000014305,388.440002441,-0.341865718365
1536703539234592179,1862,1536703539234148956,,0.0,18.2906017303,56,0.620000004768,388.410003662,-1.267968297
1536703539713600231,1863,1536703539713289486,,0.0,18.7741527557,69,0.639999985695,388.519989014,0.287365168333
1536703540098870254,1864,1536703540098302778,,0.0,19.3521881104,79,0.660000026226,388.559997559,-0.117739796638
1536703540442861263,1865,1536703540440813082,,0.0,19.8663425446,89,0.660000026226,388.649993896,-0.231909170747
1536703540870066483,1866,1536703540869683707,,0.0,20.4329986572,100,0.670000016689,388.789978027,0.0134621076286
1536703541334438936,1867,1536703541334085727,,0.0,21.1705589294,115,0.670000016689,388.949981689,-0.503318011761
1536703541638551253,1868,1536703541636464353,,0.0,21.5361442566,124,0.670000016689,389.100006104,0.147496551275
1536703542070751834,1869,1536703542070383682,,0.0,21.8980312347,135,0.660000026226,389.389984131,1.57564997673
1536703542481517717,1870,1536703542480887138,,0.0,22.1475944519,147,0.639999985695,389.690002441,0.633919239044
1536703542710288194,1871,1536703542709224057,,0.0,22.1523666382,153,0.600000023842,389.899993896,1.20185637474
1536703543031261931,1872,1536703543030848116,,0.0,21.9406967163,159,0.550000011921,390.440002441,2.25823163986
1536703543282330581,1873,1536703543281855647,,0.0,21.6931667328,163,0.5,390.91998291,3.0026113987
1536703543714259644,1874,1536703543713961251,,0.0,21.1069946289,165,0.460000008345,391.889984131,3.86326026917
1536703544222714752,1875,1536703544222115437,,0.0,20.243057251,160,0.409999996424,393.309997559,2.55852341652
1536703544580357858,1876,1536703544579726799,,0.0,19.8450641632,158,0.389999985695,394.259979248,3.84851813316
1536703544865458348,1877,1536703544865126131,,0.0,19.6608276367,155,0.370000004768,394.690002441,2.44086837769
1536703545263385513,1878,1536703545262644185,,0.0,19.4946670532,149,0.370000004768,394.910003662,0.749560534954
1536703545723229719,1879,1536703545722675075,,0.0,19.4335231781,142,0.389999985695,394.690002441,0.288697481155
1536703546180097437,1880,1536703546177005919,,0.0,19.4258537292,135,0.409999996424,394.199981689,-1.73551189899
1536703546451068412,1881,1536703546450626502,,0.0,19.4143009186,131,0.419999986887,393.850006104,-2.02453327179
1536703546817918619,1882,1536703546817163915,,0.0,19.4061431885,125,0.439999997616,393.319976807,-1.18174314499
1536703547122253260,1883,1536703547121887668,,0.0,19.3935527802,120,0.449999988079,392.889984131,-2.11826562881
1536703547591127345,1884,1536703547586666193,,0.0,19.226890564,116,0.460000008345,392.579986572,-1.64094936848
1536703548006547471,1885,1536703548006202647,,0.0,18.9745903015,115,0.460000008345,392.470001221,-1.05739355087
1536703548497243565,1886,1536703548493657658,,0.0,18.6415233612,114,0.469999998808,392.380004883,-0.14869569242
