%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1538765324994050056,1915,1538765324993637032,map,24.2915839795,1.17530751949,0.0,0.0,0.0,0.0
1538765325215284904,1916,1538765325214601000,map,23.8994175739,0.166852121121,0.0,0.0,0.0,0.0
1538765325388041032,1917,1538765325387699720,map,23.5779685509,-0.753325304817,0.0,0.0,0.0,0.0
1538765325607748104,1918,1538765325607410120,map,23.2223589728,-2.0194414421,0.0,0.0,0.0,0.0
1538765325782900200,1919,1538765325782634984,map,22.6854047654,-3.12768454743,0.0,0.0,0.0,0.0
1538765326002605960,1920,1538765326002082600,map,22.2208157962,-4.23080906588,0.0,0.0,0.0,0.0
1538765326188436744,1921,1538765326187969544,map,21.7142730651,-5.41800196162,0.0,0.0,0.0,0.0
1538765326420155880,1922,1538765326419681160,map,21.0765372708,-6.87666173895,0.0,0.0,0.0,0.0
1538765326608905896,1923,1538765326608503976,map,20.3117320125,-8.21472109408,0.0,0.0,0.0,0.0
1538765326825745832,1924,1538765326825460392,map,19.4201532041,-9.61491287174,0.0,0.0,0.0,0.0
1538765326973832264,1925,1538765326972397608,map,18.5181147749,-10.6054243283,0.0,0.0,0.0,0.0
1538765327231320616,1926,1538765327230693128,map,17.8578365556,-11.2761728239,0.0,0.0,0.0,0.0
1538765327473608168,1927,1538765327471127304,map,17.0159361262,-12.0836591209,0.0,0.0,0.0,0.0
1538765327632740456,1928,1538765327632236200,map,16.0813897443,-12.7459524513,0.0,0.0,0.0,0.0
1538765327836699944,1929,1538765327836101352,map,14.9885474435,-13.5717296442,0.0,0.0,0.0,0.0
1538765328108248904,1930,1538765328107851272,map,13.9644541077,-14.4152322727,0.0,0.0,0.0,0.0
1538765328236573096,1931,1538765328236072520,map,12.825224279,-15.0323392123,0.0,0.0,0.0,0.0
1538765328394615368,1932,1538765328394313832,map,11.6855344153,-15.723116276,0.0,0.0,0.0,0.0
1538765328631311240,1933,1538765328630947304,map,10.5963180155,-16.2982098561,0.0,0.0,0.0,0.0
1538765328847408936,1934,1538765328846819816,map,9.27081390614,-16.8705219101,0.0,0.0,0.0,0.0
1538765328999840232,1935,1538765328999521288,map,7.98428957169,-17.3511129336,0.0,0.0,0.0,0.0
1538765329189819528,1936,1538765329189186184,map,6.84252329512,-17.7144002144,0.0,0.0,0.0,0.0
1538765329436854248,1937,1538765329436473032,map,5.57291925852,-18.0701596821,0.0,0.0,0.0,0.0
1538765329630666824,1938,1538765329630270184,map,4.34381817231,-18.2193343371,0.0,0.0,0.0,0.0
1538765329836500136,1939,1538765329836046920,map,2.64856130432,-18.4710780145,0.0,0.0,0.0,0.0
1538765330087184712,1940,1538765330085859880,map,1.11508869457,-18.496417956,0.0,0.0,0.0,0.0
1538765330237656520,1941,1538765330237236232,map,-0.491820705747,-18.4134329334,0.0,0.0,0.0,0.0
1538765330423997384,1942,1538765330422605544,map,-2.05340170356,-18.335376774,0.0,0.0,0.0,0.0
1538765330637397512,1943,1538765330636421384,map,-3.67895632188,-18.0182513131,0.0,0.0,0.0,0.0
1538765330830509288,1944,1538765330830204808,map,-5.1370974477,-17.647510584,0.0,0.0,0.0,0.0
1538765330996031528,1945,1538765330995298696,map,-6.48238406965,-17.2096134987,0.0,0.0,0.0,0.0
1538765331243353192,1946,1538765331242860456,map,-8.03278488808,-16.542867555,0.0,0.0,0.0,0.0
1538765331439216168,1947,1538765331438518376,map,-9.6903304971,-15.6532934189,0.0,0.0,0.0,0.0
1538765331656089288,1948,1538765331655790056,map,-11.1077984546,-14.7566159228,0.0,0.0,0.0,0.0
1538765331820727336,1949,1538765331820041992,map,-12.5827225073,-13.6979959959,0.0,0.0,0.0,0.0
1538765332062672744,1950,1538765332062136392,map,-13.8422131207,-12.4986253612,0.0,0.0,0.0,0.0
1538765332237066408,1951,1538765332236551528,map,-15.2012489849,-10.9594538777,0.0,0.0,0.0,0.0
1538765332436132712,1952,1538765332435631656,map,-16.3796709352,-9.52936934192,0.0,0.0,0.0,0.0
1538765332626477288,1953,1538765332625758280,map,-17.0025680107,-8.32211397664,0.0,0.0,0.0,0.0
1538765332832616616,1954,1538765332831529736,map,-17.930204459,-6.66818326527,0.0,0.0,0.0,0.0
1538765333014705128,1955,1538765333014232072,map,-18.5757798535,-5.20043294671,0.0,0.0,0.0,0.0
1538765333226048008,1956,1538765333225234088,map,-18.9934821662,-3.95064997212,0.0,0.0,0.0,0.0
1538765333443535464,1957,1538765333442893928,map,-19.2113277076,-3.16319264532,0.0,0.0,0.0,0.0
1538765333632006120,1958,1538765333630857256,map,-19.5218661292,-1.63243463367,0.0,0.0,0.0,0.0
1538765333827095080,1959,1538765333825668872,map,-19.76999729,0.0103515473206,0.0,0.0,0.0,0.0
1538765334043778728,1960,1538765334042709448,map,-19.8802307326,1.40759582961,0.0,0.0,0.0,0.0
1538765334246422408,1961,1538765334243990632,map,-19.8861020811,2.85500333128,0.0,0.0,0.0,0.0
1538765334395608520,1962,1538765334395208616,map,-19.7915889018,4.18878368288,0.0,0.0,0.0,0.0
1538765334635726152,1963,1538765334635018632,map,-19.5810415657,6.03513970021,0.0,0.0,0.0,0.0
1538765334825328840,1964,1538765334824567368,map,-19.1256886025,7.9182091082,0.0,0.0,0.0,0.0
1538765335021578280,1965,1538765335020958696,map,-18.5896258962,9.66065779543,0.0,0.0,0.0,0.0
1538765335252675208,1966,1538765335251620840,map,-17.9498967459,11.1858708562,0.0,0.0,0.0,0.0
1538765335441431976,1967,1538765335440535720,map,-17.4638102664,11.8416777096,0.0,0.0,0.0,0.0
1538765335609527304,1968,1538765335609115112,map,-16.8910189156,12.6452947768,0.0,0.0,0.0,0.0
1538765335858982120,1969,1538765335858048840,map,-16.3809387309,13.4890046443,0.0,0.0,0.0,0.0
1538765336033733288,1970,1538765336033134280,map,-15.7590808199,14.0457634791,0.0,0.0,0.0,0.0
