%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1538765324997724072,9410,1538765324996919816,base_link,-147000.0,37000.0,-572000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765325118870472,9411,1538765325118431336,base_link,-147000.0,8000.0,-576000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765325195115784,9412,1538765325194660296,base_link,-149000.0,-18000.0,-571000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765325296020552,9413,1538765325293772040,base_link,-153000.0,-37000.0,-559000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765325409028296,9414,1538765325408418824,base_link,-161000.0,-46000.0,-557000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765325499121800,9415,1538765325498631656,base_link,-164000.0,-53000.0,-557000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765325613614440,9416,1538765325612496648,base_link,-175000.0,-54000.0,-558000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765325707158216,9417,1538765325703291080,base_link,-174000.0,-55000.0,-547000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765325800986216,9418,1538765325799927112,base_link,-182000.0,-56000.0,-556000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765325895684040,9419,1538765325894894568,base_link,-187000.0,-64000.0,-560000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765326021000872,9420,1538765326019905512,base_link,-194000.0,-73000.0,-551000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765326098442728,9421,1538765326096156584,base_link,-201000.0,-80000.0,-550000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765326193113992,9422,1538765326192583528,base_link,-206000.0,-80000.0,-543000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765326300370216,9423,1538765326299775880,base_link,-220000.0,-80000.0,-547000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765326397527208,9424,1538765326396940520,base_link,-227000.0,-83000.0,-547000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
