%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status0.level,field.status0.name,field.status0.message,field.status0.hardware_id,field.status0.values0.key,field.status0.values0.value,field.status0.values1.key,field.status0.values1.value,field.status0.values2.key,field.status0.values2.value,field.status0.values3.key,field.status0.values3.value,field.status0.values4.key,field.status0.values4.value,field.status0.values5.key,field.status0.values5.value,field.status0.values6.key,field.status0.values6.value,field.status0.values7.key,field.status0.values7.value,field.status0.values8.key,field.status0.values8.value,field.status0.values9.key,field.status0.values9.value,field.status1.level,field.status1.name,field.status1.message,field.status1.hardware_id,field.status1.values0.key,field.status1.values0.value,field.status1.values1.key,field.status1.values1.value,field.status1.values2.key,field.status1.values2.value,field.status1.values3.key,field.status1.values3.value,field.status2.level,field.status2.name,field.status2.message,field.status2.hardware_id,field.status2.values0.key,field.status2.values0.value,field.status2.values1.key,field.status2.values1.value,field.status2.values2.key,field.status2.values2.value,field.status2.values3.key,field.status2.values3.value,field.status2.values4.key,field.status2.values4.value,field.status2.values5.key,field.status2.values5.value,field.status3.level,field.status3.name,field.status3.message,field.status3.hardware_id,field.status3.values0.key,field.status3.values0.value,field.status3.values1.key,field.status3.values1.value,field.status3.values2.key,field.status3.values2.value,field.status3.values3.key,field.status3.values3.value,field.status3.values4.key,field.status3.values4.value,field.status3.values5.key,field.status3.values5.value,field.status3.values6.key,field.status3.values6.value,field.status3.values7.key,field.status3.values7.value,field.status3.values8.key,field.status3.values8.value,field.status3.values9.key,field.status3.values9.value,field.status3.values10.key,field.status3.values10.value,field.status3.values11.key,field.status3.values11.value,field.status3.values12.key,field.status3.values12.value,field.status3.values13.key,field.status3.values13.value,field.status3.values14.key,field.status3.values14.value,field.status3.values15.key,field.status3.values15.value,field.status3.values16.key,field.status3.values16.value,field.status3.values17.key,field.status3.values17.value,field.status3.values18.key,field.status3.values18.value,field.status3.values19.key,field.status3.values19.value,field.status3.values20.key,field.status3.values20.value,field.status3.values21.key,field.status3.values21.value,field.status3.values22.key,field.status3.values22.value,field.status3.values23.key,field.status3.values23.value,field.status3.values24.key,field.status3.values24.value,field.status3.values25.key,field.status3.values25.value,field.status4.level,field.status4.name,field.status4.message,field.status4.hardware_id,field.status4.values0.key,field.status4.values0.value,field.status4.values1.key,field.status4.values1.value,field.status4.values2.key,field.status4.values2.value
1538765739218490344,1061,1538765739218075272,,0,mavros: FCU connection,connected,udp://127.0.0.1:14551@14555,Received packets:,49881,Dropped packets:,0,Buffer overruns:,0,Parse errors:,0,Rx sequence number:,210,Tx sequence number:,77,Rx total bytes:,6676307,Tx total bytes:,272363,Rx speed:,8924.000000,Tx speed:,3162.000000,0,mavros: GPS,3D fix,udp://127.0.0.1:14551@14555,Satellites visible,15,Fix type,4,EPH (m),0.73,EPV (m),1.01,0,mavros: Heartbeat,Normal,udp://127.0.0.1:14551@14555,Heartbeats since startup,1385,Frequency (Hz),0.999962,Vehicle type,Fixed wing aircraft,Autopilot type,ArduPilotMega / ArduCopter,Mode,GUIDED,System status,Active,2,mavros: System,Sensor helth,udp://127.0.0.1:14551@14555,Sensor present,0x0361FC3F,Sensor enabled,0x0161FC3F,Sensor helth,0x0171FC2F,3D gyro,Ok,3D accelerometer,Ok,3D magnetometer,Ok,absolute pressure,Ok,differential pressure,Fail,GPS,Ok,3D angular rate control,Ok,attitude stabilization,Ok,yaw position,Ok,z/altitude control,Ok,x/y position control,Ok,motor outputs / control,Ok,rc receiver,Ok,AHRS subsystem health,Ok,Terrain subsystem health,Ok,Logging,Ok,CPU Load (%),24.9,Drop rate (%),0.0,Errors comm,0,Errors count #1,0,Errors count #2,0,Errors count #3,0,Errors count #4,0,1,mavros: Battery,Low voltage,udp://127.0.0.1:14551@14555,Voltage,0.00,Current,-0.0,Remaining,-1.0
1538765740221028712,1062,1538765740220783784,,0,mavros: FCU connection,connected,udp://127.0.0.1:14551@14555,Received packets:,50100,Dropped packets:,0,Buffer overruns:,0,Parse errors:,0,Rx sequence number:,171,Tx sequence number:,128,Rx total bytes:,6682662,Tx total bytes:,275634,Rx speed:,6355.000000,Tx speed:,3271.000000,0,mavros: GPS,3D fix,udp://127.0.0.1:14551@14555,Satellites visible,15,Fix type,4,EPH (m),0.73,EPV (m),1.01,0,mavros: Heartbeat,Normal,udp://127.0.0.1:14551@14555,Heartbeats since startup,1386,Frequency (Hz),0.999763,Vehicle type,Fixed wing aircraft,Autopilot type,ArduPilotMega / ArduCopter,Mode,GUIDED,System status,Active,2,mavros: System,Sensor helth,udp://127.0.0.1:14551@14555,Sensor present,0x0361FC3F,Sensor enabled,0x0161FC3F,Sensor helth,0x0171FC2F,3D gyro,Ok,3D accelerometer,Ok,3D magnetometer,Ok,absolute pressure,Ok,differential pressure,Fail,GPS,Ok,3D angular rate control,Ok,attitude stabilization,Ok,yaw position,Ok,z/altitude control,Ok,x/y position control,Ok,motor outputs / control,Ok,rc receiver,Ok,AHRS subsystem health,Ok,Terrain subsystem health,Ok,Logging,Ok,CPU Load (%),26.5,Drop rate (%),0.0,Errors comm,0,Errors count #1,0,Errors count #2,0,Errors count #3,0,Errors count #4,0,1,mavros: Battery,Low voltage,udp://127.0.0.1:14551@14555,Voltage,0.00,Current,-0.0,Remaining,-1.0
1538765741718708808,1063,1538765741718250248,,0,mavros: FCU connection,connected,udp://127.0.0.1:14551@14555,Received packets:,50383,Dropped packets:,0,Buffer overruns:,0,Parse errors:,0,Rx sequence number:,196,Tx sequence number:,204,Rx total bytes:,6691011,Tx total bytes:,280530,Rx speed:,8349.000000,Tx speed:,4896.000000,0,mavros: GPS,3D fix,udp://127.0.0.1:14551@14555,Satellites visible,15,Fix type,4,EPH (m),0.73,EPV (m),1.01,0,mavros: Heartbeat,Normal,udp://127.0.0.1:14551@14555,Heartbeats since startup,1387,Frequency (Hz),0.999965,Vehicle type,Fixed wing aircraft,Autopilot type,ArduPilotMega / ArduCopter,Mode,GUIDED,System status,Active,2,mavros: System,Sensor helth,udp://127.0.0.1:14551@14555,Sensor present,0x0361FC3F,Sensor enabled,0x0161FC3F,Sensor helth,0x0171FC2F,3D gyro,Ok,3D accelerometer,Ok,3D magnetometer,Ok,absolute pressure,Ok,differential pressure,Fail,GPS,Ok,3D angular rate control,Ok,attitude stabilization,Ok,yaw position,Ok,z/altitude control,Ok,x/y position control,Ok,motor outputs / control,Ok,rc receiver,Ok,AHRS subsystem health,Ok,Terrain subsystem health,Ok,Logging,Ok,CPU Load (%),28.9,Drop rate (%),0.0,Errors comm,0,Errors count #1,0,Errors count #2,0,Errors count #3,0,Errors count #4,0,1,mavros: Battery,Low voltage,udp://127.0.0.1:14551@14555,Voltage,0.00,Current,-0.0,Remaining,-1.0
1538765742720753544,1064,1538765742718385992,,0,mavros: FCU connection,connected,udp://127.0.0.1:14551@14555,Received packets:,50580,Dropped packets:,0,Buffer overruns:,0,Parse errors:,0,Rx sequence number:,135,Tx sequence number:,255,Rx total bytes:,6696785,Tx total bytes:,283801,Rx speed:,5774.000000,Tx speed:,3271.000000,0,mavros: GPS,3D fix,udp://127.0.0.1:14551@14555,Satellites visible,15,Fix type,4,EPH (m),0.73,EPV (m),1.01,0,mavros: Heartbeat,Normal,udp://127.0.0.1:14551@14555,Heartbeats since startup,1388,Frequency (Hz),0.959917,Vehicle type,Fixed wing aircraft,Autopilot type,ArduPilotMega / ArduCopter,Mode,GUIDED,System status,Active,2,mavros: System,Sensor helth,udp://127.0.0.1:14551@14555,Sensor present,0x0361FC3F,Sensor enabled,0x0161FC3F,Sensor helth,0x0171FC2F,3D gyro,Ok,3D accelerometer,Ok,3D magnetometer,Ok,absolute pressure,Ok,differential pressure,Fail,GPS,Ok,3D angular rate control,Ok,attitude stabilization,Ok,yaw position,Ok,z/altitude control,Ok,x/y position control,Ok,motor outputs / control,Ok,rc receiver,Ok,AHRS subsystem health,Ok,Terrain subsystem health,Ok,Logging,Ok,CPU Load (%),26.3,Drop rate (%),0.0,Errors comm,0,Errors count #1,0,Errors count #2,0,Errors count #3,0,Errors count #4,0,1,mavros: Battery,Low voltage,udp://127.0.0.1:14551@14555,Voltage,0.00,Current,-0.0,Remaining,-1.0
1538765743718795656,1065,1538765743718376968,,0,mavros: FCU connection,connected,udp://127.0.0.1:14551@14555,Received packets:,50790,Dropped packets:,0,Buffer overruns:,0,Parse errors:,0,Rx sequence number:,87,Tx sequence number:,50,Rx total bytes:,6702837,Tx total bytes:,287072,Rx speed:,6052.000000,Tx speed:,3271.000000,0,mavros: GPS,3D fix,udp://127.0.0.1:14551@14555,Satellites visible,15,Fix type,4,EPH (m),0.73,EPV (m),1.01,0,mavros: Heartbeat,Normal,udp://127.0.0.1:14551@14555,Heartbeats since startup,1389,Frequency (Hz),0.959958,Vehicle type,Fixed wing aircraft,Autopilot type,ArduPilotMega / ArduCopter,Mode,GUIDED,System status,Active,2,mavros: System,Sensor helth,udp://127.0.0.1:14551@14555,Sensor present,0x0361FC3F,Sensor enabled,0x0161FC3F,Sensor helth,0x0171FC2F,3D gyro,Ok,3D accelerometer,Ok,3D magnetometer,Ok,absolute pressure,Ok,differential pressure,Fail,GPS,Ok,3D angular rate control,Ok,attitude stabilization,Ok,yaw position,Ok,z/altitude control,Ok,x/y position control,Ok,motor outputs / control,Ok,rc receiver,Ok,AHRS subsystem health,Ok,Terrain subsystem health,Ok,Logging,Ok,CPU Load (%),25.9,Drop rate (%),0.0,Errors comm,0,Errors count #1,0,Errors count #2,0,Errors count #3,0,Errors count #4,0,1,mavros: Battery,Low voltage,udp://127.0.0.1:14551@14555,Voltage,0.00,Current,-0.0,Remaining,-1.0
1538765745217542024,1066,1538765745217143240,,0,mavros: FCU connection,connected,udp://127.0.0.1:14551@14555,Received packets:,51088,Dropped packets:,0,Buffer overruns:,0,Parse errors:,0,Rx sequence number:,125,Tx sequence number:,127,Rx total bytes:,6711497,Tx total bytes:,291989,Rx speed:,8660.000000,Tx speed:,4917.000000,0,mavros: GPS,3D fix,udp://127.0.0.1:14551@14555,Satellites visible,15,Fix type,4,EPH (m),0.73,EPV (m),1.01,0,mavros: Heartbeat,Normal,udp://127.0.0.1:14551@14555,Heartbeats since startup,1391,Frequency (Hz),1.040005,Vehicle type,Fixed wing aircraft,Autopilot type,ArduPilotMega / ArduCopter,Mode,GUIDED,System status,Active,2,mavros: System,Sensor helth,udp://127.0.0.1:14551@14555,Sensor present,0x0361FC3F,Sensor enabled,0x0161FC3F,Sensor helth,0x0171FC2F,3D gyro,Ok,3D accelerometer,Ok,3D magnetometer,Ok,absolute pressure,Ok,differential pressure,Fail,GPS,Ok,3D angular rate control,Ok,attitude stabilization,Ok,yaw position,Ok,z/altitude control,Ok,x/y position control,Ok,motor outputs / control,Ok,rc receiver,Ok,AHRS subsystem health,Ok,Terrain subsystem health,Ok,Logging,Ok,CPU Load (%),25.2,Drop rate (%),0.0,Errors comm,0,Errors count #1,0,Errors count #2,0,Errors count #3,0,Errors count #4,0,1,mavros: Battery,Low voltage,udp://127.0.0.1:14551@14555,Voltage,0.00,Current,-0.0,Remaining,-1.0
1538765746717708584,1067,1538765746717093928,,0,mavros: FCU connection,connected,udp://127.0.0.1:14551@14555,Received packets:,51394,Dropped packets:,0,Buffer overruns:,0,Parse errors:,0,Rx sequence number:,174,Tx sequence number:,203,Rx total bytes:,6720488,Tx total bytes:,296885,Rx speed:,8991.000000,Tx speed:,4896.000000,0,mavros: GPS,3D fix,udp://127.0.0.1:14551@14555,Satellites visible,15,Fix type,4,EPH (m),0.73,EPV (m),1.01,0,mavros: Heartbeat,Normal,udp://127.0.0.1:14551@14555,Heartbeats since startup,1392,Frequency (Hz),1.000056,Vehicle type,Fixed wing aircraft,Autopilot type,ArduPilotMega / ArduCopter,Mode,GUIDED,System status,Active,2,mavros: System,Sensor helth,udp://127.0.0.1:14551@14555,Sensor present,0x0361FC3F,Sensor enabled,0x0161FC3F,Sensor helth,0x0171FC2F,3D gyro,Ok,3D accelerometer,Ok,3D magnetometer,Ok,absolute pressure,Ok,differential pressure,Fail,GPS,Ok,3D angular rate control,Ok,attitude stabilization,Ok,yaw position,Ok,z/altitude control,Ok,x/y position control,Ok,motor outputs / control,Ok,rc receiver,Ok,AHRS subsystem health,Ok,Terrain subsystem health,Ok,Logging,Ok,CPU Load (%),25.0,Drop rate (%),0.0,Errors comm,0,Errors count #1,0,Errors count #2,0,Errors count #3,0,Errors count #4,0,1,mavros: Battery,Low voltage,udp://127.0.0.1:14551@14555,Voltage,0.00,Current,-0.0,Remaining,-1.0
1538765748217566440,1068,1538765748217134120,,0,mavros: FCU connection,connected,udp://127.0.0.1:14551@14555,Received packets:,51698,Dropped packets:,0,Buffer overruns:,0,Parse errors:,0,Rx sequence number:,218,Tx sequence number:,24,Rx total bytes:,6729294,Tx total bytes:,301802,Rx speed:,8806.000000,Tx speed:,4917.000000,0,mavros: GPS,3D fix,udp://127.0.0.1:14551@14555,Satellites visible,14,Fix type,4,EPH (m),0.75,EPV (m),1.03,0,mavros: Heartbeat,Normal,udp://127.0.0.1:14551@14555,Heartbeats since startup,1394,Frequency (Hz),1.037172,Vehicle type,Fixed wing aircraft,Autopilot type,ArduPilotMega / ArduCopter,Mode,GUIDED,System status,Active,2,mavros: System,Sensor helth,udp://127.0.0.1:14551@14555,Sensor present,0x0361FC3F,Sensor enabled,0x0161FC3F,Sensor helth,0x0171FC2F,3D gyro,Ok,3D accelerometer,Ok,3D magnetometer,Ok,absolute pressure,Ok,differential pressure,Fail,GPS,Ok,3D angular rate control,Ok,attitude stabilization,Ok,yaw position,Ok,z/altitude control,Ok,x/y position control,Ok,motor outputs / control,Ok,rc receiver,Ok,AHRS subsystem health,Ok,Terrain subsystem health,Ok,Logging,Ok,CPU Load (%),25.9,Drop rate (%),0.0,Errors comm,0,Errors count #1,0,Errors count #2,0,Errors count #3,0,Errors count #4,0,1,mavros: Battery,Low voltage,udp://127.0.0.1:14551@14555,Voltage,0.00,Current,-0.0,Remaining,-1.0
1538765749223782568,1069,1538765749217878408,,0,mavros: FCU connection,connected,udp://127.0.0.1:14551@14555,Received packets:,51887,Dropped packets:,0,Buffer overruns:,0,Parse errors:,0,Rx sequence number:,149,Tx sequence number:,75,Rx total bytes:,6734828,Tx total bytes:,305073,Rx speed:,5534.000000,Tx speed:,3271.000000,0,mavros: GPS,3D fix,udp://127.0.0.1:14551@14555,Satellites visible,14,Fix type,4,EPH (m),0.75,EPV (m),1.03,0,mavros: Heartbeat,Normal,udp://127.0.0.1:14551@14555,Heartbeats since startup,1395,Frequency (Hz),0.999951,Vehicle type,Fixed wing aircraft,Autopilot type,ArduPilotMega / ArduCopter,Mode,GUIDED,System status,Active,2,mavros: System,Sensor helth,udp://127.0.0.1:14551@14555,Sensor present,0x0361FC3F,Sensor enabled,0x0161FC3F,Sensor helth,0x0171FC2F,3D gyro,Ok,3D accelerometer,Ok,3D magnetometer,Ok,absolute pressure,Ok,differential pressure,Fail,GPS,Ok,3D angular rate control,Ok,attitude stabilization,Ok,yaw position,Ok,z/altitude control,Ok,x/y position control,Ok,motor outputs / control,Ok,rc receiver,Ok,AHRS subsystem health,Ok,Terrain subsystem health,Ok,Logging,Ok,CPU Load (%),25.6,Drop rate (%),0.0,Errors comm,0,Errors count #1,0,Errors count #2,0,Errors count #3,0,Errors count #4,0,1,mavros: Battery,Low voltage,udp://127.0.0.1:14551@14555,Voltage,0.00,Current,-0.0,Remaining,-1.0
1538765750221393768,1070,1538765750218104904,,0,mavros: FCU connection,connected,udp://127.0.0.1:14551@14555,Received packets:,52084,Dropped packets:,0,Buffer overruns:,0,Parse errors:,0,Rx sequence number:,88,Tx sequence number:,126,Rx total bytes:,6740611,Tx total bytes:,308344,Rx speed:,5783.000000,Tx speed:,3271.000000,0,mavros: GPS,3D fix,udp://127.0.0.1:14551@14555,Satellites visible,14,Fix type,4,EPH (m),0.75,EPV (m),1.03,0,mavros: Heartbeat,Normal,udp://127.0.0.1:14551@14555,Heartbeats since startup,1396,Frequency (Hz),1.039920,Vehicle type,Fixed wing aircraft,Autopilot type,ArduPilotMega / ArduCopter,Mode,GUIDED,System status,Active,2,mavros: System,Sensor helth,udp://127.0.0.1:14551@14555,Sensor present,0x0361FC3F,Sensor enabled,0x0161FC3F,Sensor helth,0x0171FC2F,3D gyro,Ok,3D accelerometer,Ok,3D magnetometer,Ok,absolute pressure,Ok,differential pressure,Fail,GPS,Ok,3D angular rate control,Ok,attitude stabilization,Ok,yaw position,Ok,z/altitude control,Ok,x/y position control,Ok,motor outputs / control,Ok,rc receiver,Ok,AHRS subsystem health,Ok,Terrain subsystem health,Ok,Logging,Ok,CPU Load (%),25.1,Drop rate (%),0.0,Errors comm,0,Errors count #1,0,Errors count #2,0,Errors count #3,0,Errors count #4,0,1,mavros: Battery,Low voltage,udp://127.0.0.1:14551@14555,Voltage,0.00,Current,-0.0,Remaining,-1.0
