%time,field.data
1538765738260028104,265.33
1538765738498046376,267.24
1538765738758836840,269.87
1538765738962212136,272.31
1538765739294059752,277.58
1538765739476054152,281.42
1538765739692722888,285.05
1538765739900610056,287.61
1538765740137859656,290.03
1538765740400081064,293.14
1538765740660926472,296.27
1538765740893817864,298.8
1538765741140780648,301.79
1538765741404644872,304.23
1538765741700014824,305.65
1538765741906421576,305.76
1538765742159795208,306.28
1538765742429448904,307.32
1538765742643766696,307.62
1538765742891618088,308.59
1538765743116304424,310.1
1538765743354741256,310.71
1538765743576681736,311.28
1538765743803153640,313.32
1538765744045151784,315.48
1538765744311598696,319.79
1538765744535844904,324.54
1538765744809639752,330.22
1538765745027091688,334.96
1538765745252356584,340.18
1538765745494442120,345.87
1538765745718878280,351.62
1538765745935729000,356.43
1538765746200140072,0.27
1538765746450212680,4.89
1538765746716648296,10.8
1538765746978976744,16.62
1538765747186931496,20.75
1538765747430935080,26.2
1538765747685132840,32.45
1538765747906462536,38.88
1538765748146962024,44.68
1538765748414523688,50.91
1538765748638567592,57.69
1538765748902492520,64.99
1538765749145848520,70.31
1538765749420733704,75.94
1538765749655212328,82.41
1538765749906653576,89.16
1538765750139941000,95.28
1538765750395883176,99.75
1538765750650826504,103.51
1538765750911073160,109.83
1538765751135661960,115.07
1538765751426402824,121.55
1538765751623764360,127.37
1538765751853854376,132.52
1538765752132521224,138.87
1538765752311350408,142.5
1538765752564922728,149.23
1538765752808112264,153.94
1538765753058997608,157.5
1538765753294089256,162.37
1538765753543114728,167.18
1538765753776818920,170.43
1538765753987012392,171.58
1538765754208922472,171.8
1538765754439206696,172.89
1538765754696099400,174.96
1538765754984699240,176.34
1538765755201021864,176.76
1538765755438854504,176.27
1538765755700912360,174.84
1538765755934715816,173.37
1538765756196063272,172.76
1538765756444870440,172.1
1538765756669373544,172.23
1538765756889100360,172.48
1538765757130211080,171.45
1538765757356862280,169.93
1538765757604835336,168.4
1538765757858917384,167.45
1538765758063998504,166.59
1538765758311135336,165.79
1538765758572576232,164.07
1538765758802218344,164.54
1538765759052836072,165.17
1538765759273292584,165.05
1538765759503646280,167.14
1538765759745644136,171.24
1538765759998803880,176.0
1538765760265125384,179.8
1538765760483376264,183.41
1538765760742377736,188.97
1538765760960544936,193.13
