%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1538765738260014408,5797,1538765738258361000,map,base_link,-4775296.53326,4128331.25579,78.148,0.0623360982887,-0.151070045446,-0.985736581401,0.0401925902005,0.532900027847,0.0,0.0,0.0,0.0,0.0,0.0,0.532900027847,0.0,0.0,0.0,0.0,0.0,0.0,2.13160011139,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,2.43,-18.02,0.98,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765738497985800,5798,1538765738495008584,map,base_link,-4775296.77365,4128331.49402,77.915,0.0623360982887,-0.151070045446,-0.985736581401,0.0401925902005,0.532900027847,0.0,0.0,0.0,0.0,0.0,0.0,0.532900027847,0.0,0.0,0.0,0.0,0.0,0.0,2.13160011139,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,3.18,-18.11,0.78,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765738758809000,5799,1538765738757779272,map,base_link,-4775296.92136,4128331.97753,77.725,0.0468789399755,-0.221182020917,-0.974085604495,0.00617363145987,0.532900027847,0.0,0.0,0.0,0.0,0.0,0.0,0.532900027847,0.0,0.0,0.0,0.0,0.0,0.0,2.13160011139,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,4.2,-18.11,0.71,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765738962175496,5800,1538765738960300936,map,base_link,-4775296.89051,4128332.51237,77.575,0.0468789399755,-0.221182020917,-0.974085604495,0.00617363145987,0.532900027847,0.0,0.0,0.0,0.0,0.0,0.0,0.532900027847,0.0,0.0,0.0,0.0,0.0,0.0,2.13160011139,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,5.03,-18.04,0.9,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765739293839464,5801,1538765739290116104,map,base_link,-4775296.51734,4128333.50665,77.189,0.0408540687977,-0.291319282444,-0.955086961199,-0.0356779663931,0.532900027847,0.0,0.0,0.0,0.0,0.0,0.0,0.532900027847,0.0,0.0,0.0,0.0,0.0,0.0,2.13160011139,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,6.15,-17.82,1.76,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765739475971464,5802,1538765739475278568,map,base_link,-4775296.04849,4128334.15711,76.784,0.0558085508206,-0.320180321844,-0.940558215879,-0.0985911238454,0.532900027847,0.0,0.0,0.0,0.0,0.0,0.0,0.532900027847,0.0,0.0,0.0,0.0,0.0,0.0,2.13160011139,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,6.91,-17.63,2.4,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765739692499880,5803,1538765739690998056,map,base_link,-4775295.29341,4128334.92658,76.204,0.0558085508206,-0.320180321844,-0.940558215879,-0.0985911238454,0.532900027847,0.0,0.0,0.0,0.0,0.0,0.0,0.532900027847,0.0,0.0,0.0,0.0,0.0,0.0,2.13160011139,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,7.83,-17.4,3.02,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765739900518536,5804,1538765739899507400,map,base_link,-4775294.31013,4128335.76326,75.492,0.072211186016,-0.31088779292,-0.933028509192,-0.166108777198,0.532900027847,0.0,0.0,0.0,0.0,0.0,0.0,0.532900027847,0.0,0.0,0.0,0.0,0.0,0.0,2.13160011139,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,8.7,-17.15,3.65,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765740137825416,5805,1538765740136585640,map,base_link,-4775293.01153,4128336.7358,74.606,0.072211186016,-0.31088779292,-0.933028509192,-0.166108777198,0.532900027847,0.0,0.0,0.0,0.0,0.0,0.0,0.532900027847,0.0,0.0,0.0,0.0,0.0,0.0,2.13160011139,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,9.62,-16.88,4.17,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765740400064520,5806,1538765740398648168,map,base_link,-4775291.37317,4128337.91625,73.555,0.0818103549649,-0.294071538005,-0.929601436339,-0.20656758195,0.532900027847,0.0,0.0,0.0,0.0,0.0,0.0,0.532900027847,0.0,0.0,0.0,0.0,0.0,0.0,2.13160011139,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,10.62,-16.61,4.56,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
