%time,field.data
1538765738260011944,78.148
1538765738498005256,77.915
1538765738758823464,77.725
1538765738962179816,77.575
1538765739293872008,77.189
1538765739476047208,76.784
1538765739692495848,76.204
1538765739900590248,75.492
1538765740137851240,74.606
1538765740400063496,73.555
1538765740660910376,72.385
1538765740893776680,71.309
1538765741140737064,69.989
1538765741404374376,68.727
1538765741699991592,67.097
1538765741906406184,65.871
1538765742159769192,64.507
1538765742429425128,62.903
1538765742643641608,61.771
1538765742891543464,60.474
1538765743116251784,59.227
1538765743354741256,57.868
1538765743576179688,56.609
1538765743803062664,55.482
1538765744045139976,54.139
1538765744311582792,52.556
1538765744535800744,51.237
1538765744809623688,49.784
1538765745027079784,48.861
1538765745251915688,48.116
1538765745494440584,47.56
1538765745718176776,47.237
1538765745935722344,47.175
1538765746200137192,47.29
1538765746450197672,47.565
1538765746716635368,47.944
1538765746979353992,48.262
1538765747186843912,48.46
1538765747430919400,48.709
1538765747685070824,48.931
1538765747903611176,49.167
1538765748146919208,49.361
1538765748414516232,49.656
1538765748638554152,50.05
1538765748902476360,50.418
1538765749145752104,50.751
1538765749420710536,51.052
1538765749654979048,51.314
1538765749906632552,51.507
1538765750139454696,51.63
1538765750395853032,51.804
1538765750650676424,52.106
1538765750911052584,52.393
1538765751135439848,52.538
1538765751426399976,52.528
1538765751623653160,52.335
1538765751853826120,52.092
1538765752132012936,51.756
1538765752311239528,51.615
1538765752564895272,51.443
1538765752808066056,51.362
1538765753058972008,51.303
1538765753294058920,51.277
1538765753543115144,51.3
1538765753776799688,51.42
1538765753986992456,51.622
1538765754208904072,51.976
1538765754439187656,52.456
1538765754695826472,52.853
1538765754984687816,53.222
1538765755200985768,53.429
1538765755438825032,53.606
1538765755700898888,53.836
1538765755934674920,53.997
1538765756196046888,53.955
1538765756444475592,53.931
1538765756669351496,53.942
1538765756889088104,53.846
1538765757130187592,53.572
1538765757356797064,53.169
1538765757604822408,52.737
1538765757858847752,52.351
1538765758063984232,52.119
1538765758311121800,51.901
1538765758572521128,51.607
1538765758802191400,51.229
1538765759052818856,50.854
1538765759273009512,50.677
1538765759503484040,50.559
1538765759745640264,50.325
1538765759998725928,49.903
1538765760265052680,49.484
1538765760483339592,49.098
1538765760742374920,48.566
1538765760960528968,48.22
1538765761212103368,47.93
1538765761466982216,47.775
1538765761720153064,47.698
1538765761910116168,47.655
1538765762179097192,47.626
1538765762432650600,47.647
1538765762677989064,47.726
1538765762920182952,47.898
1538765763172829256,48.111
1538765763423888456,48.371
1538765763644033128,48.67
1538765763905718856,49.074
1538765764140740904,49.443
1538765764398382152,49.829
1538765764670208648,50.192
1538765764899685608,50.448
1538765765137384552,50.677
1538765765392865960,50.831
1538765765674328520,51.002
1538765765903145864,51.143
1538765766182066632,51.194
1538765766414401544,51.13
1538765766648761832,50.965
1538765766876937800,50.818
1538765767102184264,50.715
1538765767367190024,50.531
1538765767585650952,50.322
1538765767819744584,50.073
1538765768073927272,49.926
1538765768300626664,49.965
1538765768559120008,50.11
1538765768803613992,50.399
1538765769051299112,50.767
1538765769251874248,51.115
1538765769481029032,51.537
1538765769700162280,51.933
1538765769962822120,52.238
1538765770204397448,52.358
1538765770494198920,52.324
1538765770696139784,52.186
1538765770920287752,51.937
1538765771180442152,51.618
1538765771394413448,51.307
1538765771651013224,50.944
1538765771885091912,50.661
1538765772141236520,50.293
1538765772393964008,49.825
