%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fluid_pressure,field.variance
1538765738231092520,13542,1538765738229803560,base_link,97160.1074219,0.0
1538765738277076072,13543,1538765738276861000,base_link,97157.1289062,0.0
1538765738392663784,13544,1538765738392167400,base_link,97160.7727051,0.0
1538765738493790632,13545,1538765738493196872,base_link,97159.8327637,0.0
1538765738592326120,13546,1538765738591322760,base_link,97161.0656738,0.0
1538765738724314472,13547,1538765738723805384,base_link,97157.989502,0.0
1538765738781927752,13548,1538765738781594344,base_link,97161.8835449,0.0
1538765738893971496,13549,1538765738893401832,base_link,97160.8581543,0.0
1538765738987307368,13550,1538765738982219432,base_link,97158.3251953,0.0
1538765739083986216,13551,1538765739083705832,base_link,97159.7412109,0.0
1538765739179012680,13552,1538765739178608680,base_link,97161.0473633,0.0
1538765739306146824,13553,1538765739305823784,base_link,97158.7036133,0.0
1538765739373310408,13554,1538765739372779784,base_link,97162.2192383,0.0
1538765739483427336,13555,1538765739482000264,base_link,97163.2507324,0.0
1538765739632757480,13556,1538765739632111592,base_link,97162.0239258,0.0
1538765739689617896,13557,1538765739689246888,base_link,97166.3574219,0.0
1538765739794763048,13558,1538765739794458600,base_link,97167.5231934,0.0
1538765739885570664,13559,1538765739884507560,base_link,97169.152832,0.0
1538765739981799464,13560,1538765739981536168,base_link,97173.7304688,0.0
1538765740094976616,13561,1538765740094679336,base_link,97176.550293,0.0
1538765740198191432,13562,1538765740197374472,base_link,97179.0222168,0.0
1538765740288426440,13563,1538765740287934024,base_link,97183.9904785,0.0
1538765740385523784,13564,1538765740385134760,base_link,97188.1530762,0.0
1538765740493098088,13565,1538765740490952264,base_link,97192.6086426,0.0
1538765740589972168,13566,1538765740589404232,base_link,97196.5026855,0.0
1538765740719058248,13567,1538765740718581736,base_link,97199.4018555,0.0
1538765740807073896,13568,1538765740804347496,base_link,97206.8786621,0.0
1538765740892573128,13569,1538765740892177448,base_link,97210.6933594,0.0
1538765741000104744,13570,1538765740999498504,base_link,97219.2810059,0.0
1538765741122065160,13571,1538765741121674760,base_link,97222.2473145,0.0
1538765741195993832,13572,1538765741194002248,base_link,97234.0942383,0.0
1538765741287186472,13573,1538765741284392072,base_link,97233.9538574,0.0
1538765741404324744,13574,1538765741401208008,base_link,97245.1171875,0.0
1538765741501215720,13575,1538765741500760040,base_link,97246.8322754,0.0
1538765741598273512,13576,1538765741597148296,base_link,97254.4067383,0.0
1538765741712576040,13577,1538765741711444744,base_link,97259.8022461,0.0
1538765741836429480,13578,1538765741835938312,base_link,97270.6604004,0.0
1538765741892948872,13579,1538765741892673192,base_link,97275.8972168,0.0
1538765741981427848,13580,1538765741980781320,base_link,97281.6833496,0.0
1538765742094494344,13581,1538765742093813736,base_link,97287.8234863,0.0
1538765742199078792,13582,1538765742195610984,base_link,97294.5007324,0.0
1538765742339410376,13583,1538765742338726856,base_link,97303.4606934,0.0
1538765742418379400,13584,1538765742418020936,base_link,97313.0065918,0.0
1538765742503717416,13585,1538765742503420360,base_link,97316.1132812,0.0
1538765742602786440,13586,1538765742602180648,base_link,97321.6491699,0.0
1538765742722450056,13587,1538765742721800200,base_link,97329.1748047,0.0
1538765742793019688,13588,1538765742789040744,base_link,97333.404541,0.0
1538765742889208808,13589,1538765742888528360,base_link,97344.7875977,0.0
1538765742978579336,13590,1538765742977712456,base_link,97345.9594727,0.0
1538765743088067816,13591,1538765743087099624,base_link,97356.262207,0.0
1538765743188787624,13592,1538765743188391976,base_link,97363.5192871,0.0
1538765743290851304,13593,1538765743289885288,base_link,97364.2150879,0.0
1538765743392101032,13594,1538765743389857224,base_link,97371.685791,0.0
1538765743486604680,13595,1538765743485880776,base_link,97381.1096191,0.0
1538765743600669896,13596,1538765743600418056,base_link,97391.6015625,0.0
1538765743697272328,13597,1538765743696598536,base_link,97391.4245605,0.0
1538765743800932168,13598,1538765743800327528,base_link,97397.644043,0.0
1538765743893884744,13599,1538765743893472232,base_link,97407.5744629,0.0
1538765743985892776,13600,1538765743984960552,base_link,97413.5437012,0.0
1538765744096427592,13601,1538765744095902792,base_link,97420.4101562,0.0
1538765744211769672,13602,1538765744210956360,base_link,97428.7963867,0.0
1538765744309858536,13603,1538765744309318216,base_link,97436.0534668,0.0
1538765744393334280,13604,1538765744388361000,base_link,97442.8039551,0.0
1538765744488383240,13605,1538765744483859496,base_link,97451.965332,0.0
1538765744591291080,13606,1538765744590537288,base_link,97460.1013184,0.0
1538765744699706536,13607,1538765744699297992,base_link,97461.5966797,0.0
1538765744834993384,13608,1538765744834264136,base_link,97469.7387695,0.0
1538765744898170728,13609,1538765744896940712,base_link,97477.5512695,0.0
1538765744978097256,13610,1538765744977753384,base_link,97489.1235352,0.0
1538765745060768488,13611,1538765745060464456,base_link,97490.9423828,0.0
1538765745166271912,13612,1538765745165896392,base_link,97497.5708008,0.0
1538765745272123656,13613,1538765745271629096,base_link,97499.8474121,0.0
1538765745415599944,13614,1538765745406846568,base_link,97503.6315918,0.0
1538765745483875368,13615,1538765745483561032,base_link,97511.5234375,0.0
1538765745603944008,13616,1538765745602984552,base_link,97510.8093262,0.0
1538765745685539880,13617,1538765745685094920,base_link,97513.9770508,0.0
1538765745781257832,13618,1538765745780732712,base_link,97515.246582,0.0
1538765745891406152,13619,1538765745890874408,base_link,97519.0185547,0.0
1538765746020235336,13620,1538765746016417000,base_link,97518.3898926,0.0
1538765746090681480,13621,1538765746090359624,base_link,97522.1130371,0.0
1538765746190792392,13622,1538765746190488072,base_link,97520.1782227,0.0
1538765746297579912,13623,1538765746296663368,base_link,97518.4997559,0.0
1538765746427857576,13624,1538765746427544296,base_link,97519.9584961,0.0
1538765746489612488,13625,1538765746489309480,base_link,97515.8081055,0.0
1538765746609755560,13626,1538765746607516936,base_link,97515.5822754,0.0
1538765746715061480,13627,1538765746714678504,base_link,97509.2529297,0.0
1538765746799596424,13628,1538765746798269576,base_link,97506.1645508,0.0
1538765746889559208,13629,1538765746889162440,base_link,97509.4299316,0.0
1538765747013444744,13630,1538765747005000168,base_link,97501.6906738,0.0
1538765747079590120,13631,1538765747079240488,base_link,97508.1848145,0.0
