%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1538765738227054408,13542,1538765738224743816,base_link,-19000.0,-225000.0,-478000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765738276096904,13543,1538765738275407880,base_link,-21000.0,-230000.0,-479000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765738390647912,13544,1538765738389794088,base_link,-14000.0,-248000.0,-471000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765738493759208,13545,1538765738490955080,base_link,-13000.0,-255000.0,-463000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765738577257800,13546,1538765738576642152,base_link,-14000.0,-269000.0,-440000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765738688825512,13547,1538765738688347624,base_link,-13000.0,-283000.0,-424000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765738781244232,13548,1538765738780224488,base_link,-5000.0,-301000.0,-424000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765738892097704,13549,1538765738891009000,base_link,6000.0,-312000.0,-391000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765738987221544,13550,1538765738980704104,base_link,12000.0,-321000.0,-381000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765739082589672,13551,1538765739081924904,base_link,26000.0,-326000.0,-373000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538765739167191592,13552,1538765739166535816,base_link,36000.0,-336000.0,-379000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
